#Ontology	count	count_pct	abundance	abundance_pct	depth_M1	depth_pct_M1	depth_M2	depth_pct_M2	depth_M3	depth_pct_M3	depth_M4	depth_pct_M4	plevel_pct_P1	plevel_pct_P2	plevel_pct_P3	plevel_pct_P4
"19_Saccharide and derivated synthesis";"Polysaccharide biosynthesis and assembly of cell surface structure";"Peptidoglycan biosynthesis";	67	1.54	425659.45	1.52	100575.51	1.52	129043.11	1.51	70847.85	1.54	125192.90	1.52	0.51	0.53	0.42	0.56
"19_Saccharide and derivated synthesis";"Polysaccharide biosynthesis and assembly of cell surface structure";"Mucin type O-glycan biosynthesis";	47	1.08	296116.74	1.06	70011.78	1.06	89697.94	1.05	49307.36	1.07	87099.60	1.06	0.40	0.40	0.35	0.44
"19_Saccharide and derivated synthesis";"Polysaccharide biosynthesis and assembly of cell surface structure";"Lipopolysaccharide biosynthesis";	90	2.07	572842.76	2.05	135288.59	2.05	173947.92	2.04	95145.05	2.06	168461.15	2.04	0.79	0.75	0.77	0.78
"19_Saccharide and derivated synthesis";"Polysaccharide biosynthesis and assembly of cell surface structure";"N-glycan biosynthesis";	57	1.31	360212.49	1.29	85123.81	1.29	109162.10	1.28	59978.13	1.30	105948.39	1.29	0.42	0.42	0.36	0.46
"19_Saccharide and derivated synthesis";"Polysaccharide biosynthesis and assembly of cell surface structure";"Murein";	10	0.23	63886.62	0.23	15105.43	0.23	19379.45	0.23	10668.18	0.23	18733.58	0.23	0.01	0.01	0.01	0.01
"19_Saccharide and derivated synthesis";"Disaccaride phosphorylase";"Sucrose";	2	0.05	12826.36	0.05	3027.76	0.05	3921.42	0.05	2082.82	0.05	3794.36	0.05	0	0	0	0
"19_Saccharide and derivated synthesis";"Disaccaride phosphorylase";"Maltose";	8	0.18	52113.81	0.19	12292.76	0.19	15906.80	0.19	8576.18	0.19	15338.05	0.19	0.09	0.07	0.12	0.08
"16_Embden Meyerhof-Parnos (EMP)";"Glycolysis III (EMP)";	21	0.48	137380.16	0.49	32460.35	0.49	41854.82	0.49	22766.36	0.49	40298.56	0.49	0.09	0.10	0.10	0.08
"16_Embden Meyerhof-Parnos (EMP)";"EMP modified pathway";	3	0.07	19212.03	0.07	4569.22	0.07	5860.87	0.07	3121.56	0.07	5660.38	0.07	0.01	0.01	0.02	0.01
"16_Embden Meyerhof-Parnos (EMP)";"EMP  in archea";	14	0.32	90846.44	0.32	21443.22	0.32	27807.72	0.33	14812.16	0.32	26783.32	0.33	0.06	0.07	0.06	0.05
"16_Embden Meyerhof-Parnos (EMP)";"EMP";	20	0.46	130095.19	0.46	30722.39	0.46	39716.66	0.47	21395.79	0.46	38260.29	0.46	0.09	0.10	0.09	0.07
"06_Amino acid utilization biosynthesis metabolism";"Phenylalanine, tyrosine and tryptophan biosynthesis";	44	1.01	284182.47	1.01	67203.30	1.02	86164.13	1.01	47375.74	1.03	83439.40	1.01	0.21	0.19	0.16	0.18
"06_Amino acid utilization biosynthesis metabolism";"Phenylalanine metabolism";	23	0.53	149350.03	0.53	35247.99	0.53	45260.50	0.53	24679.26	0.53	44162.25	0.54	0.12	0.13	0.11	0.11
"06_Amino acid utilization biosynthesis metabolism";"Lysine biosynthesis";	32	0.74	211141.16	0.75	49956.02	0.76	64227.04	0.75	34975.52	0.76	61982.59	0.75	0.13	0.20	0.10	0.16
"06_Amino acid utilization biosynthesis metabolism";"Histidine biosynthesis, pRpp => histidine";	29	0.67	188026.56	0.67	44312.93	0.67	57316.68	0.67	31089.10	0.67	55307.82	0.67	0.60	0.57	0.66	0.49
"06_Amino acid utilization biosynthesis metabolism";"Cysteine and methionine metabolism";	37	0.85	239791.29	0.86	56563.68	0.86	72576.42	0.85	40133.69	0.87	70517.48	0.86	0.41	0.50	0.36	0.36
"06_Amino acid utilization biosynthesis metabolism";"Lysine degradation VII";	3	0.07	20888.45	0.07	4987.23	0.08	6576.94	0.08	3128.47	0.07	6195.83	0.08	0	0	0	0
"06_Amino acid utilization biosynthesis metabolism";"Valine, leucine and isoleucine degradation";	18	0.41	111820.09	0.40	26456.88	0.40	34539.09	0.40	17702.38	0.38	33121.71	0.40	1.90	1.99	1.85	2.41
"06_Amino acid utilization biosynthesis metabolism";"Lysine degradation VIII";	1	0.02	6546.36	0.02	1555.54	0.02	2086.19	0.02	952.10	0.02	1952.53	0.02	0	0	0	0
"06_Amino acid utilization biosynthesis metabolism";"Oxydation deamination";	5	0.11	32401.32	0.12	7646.79	0.12	9865.22	0.12	5312.63	0.12	9576.69	0.12	0.01	0.01	0.01	0.01
"06_Amino acid utilization biosynthesis metabolism";"Glycine, serine and threonine metabolism";	37	0.85	243164.64	0.87	57334.74	0.87	73939.51	0.87	40214.59	0.87	71675.84	0.87	2.05	2.29	1.94	2.66
"06_Amino acid utilization biosynthesis metabolism";"Methionine biosynthesis";	10	0.23	65023.28	0.23	15310.39	0.23	19872.77	0.23	10698.06	0.23	19142.01	0.23	0.00	0.00	0	0.00
"06_Amino acid utilization biosynthesis metabolism";"Lysine degradation II";	3	0.07	19440.88	0.07	4604.06	0.07	5869.72	0.07	3284.58	0.07	5682.52	0.07	0.01	0.02	0.01	0.01
"06_Amino acid utilization biosynthesis metabolism";"Lysine degradation v";	3	0.07	20888.45	0.07	4987.23	0.08	6576.94	0.08	3128.47	0.07	6195.83	0.08	0	0	0	0
"06_Amino acid utilization biosynthesis metabolism";"Aminoacid dehydratase";	1	0.02	6209.59	0.02	1460.09	0.02	1926.12	0.02	949.72	0.02	1873.66	0.02	0.00	0.00	0.00	0.00
"06_Amino acid utilization biosynthesis metabolism";"Transamination";	5	0.11	32587.57	0.12	7693.04	0.12	10003.96	0.12	5287.37	0.11	9603.22	0.12	0.07	0.07	0.08	0.06
"06_Amino acid utilization biosynthesis metabolism";"D-arginine and D-ornithine metabolism";	1	0.02	6421.77	0.02	1524.41	0.02	1932.13	0.02	1074.97	0.02	1890.27	0.02	0	0	0	0
"06_Amino acid utilization biosynthesis metabolism";"Lysine degradation Iv";	3	0.07	20888.45	0.07	4987.23	0.08	6576.94	0.08	3128.47	0.07	6195.83	0.08	0	0	0	0
