#metacyc_pathway_id	metacyc_pathway_type	metacyc_pathway_name	total_family_in_pathway	total_family_found_in_pathway	ec	gene_num
PWY-6353	Purine-Degradation; Super-Pathways;	purine nucleotides degradation II (aerobic);	7	6	1.1.1.205	4
PWY-6353	Purine-Degradation; Super-Pathways;	purine nucleotides degradation II (aerobic);	7	6	1.17.1.4	1
PWY-6353	Purine-Degradation; Super-Pathways;	purine nucleotides degradation II (aerobic);	7	6	2.4.2.1	5
PWY-6353	Purine-Degradation; Super-Pathways;	purine nucleotides degradation II (aerobic);	7	6	3.1.3.5	7
PWY-6353	Purine-Degradation; Super-Pathways;	purine nucleotides degradation II (aerobic);	7	6	3.5.4.3	1
PWY-6353	Purine-Degradation; Super-Pathways;	purine nucleotides degradation II (aerobic);	7	6	3.5.4.4	3
HEMESYN2-PWY	Heme-b-Biosynthesis;	heme <i>b</i> biosynthesis II (anaerobic);	4	3	1.3.99.22	4
HEMESYN2-PWY	Heme-b-Biosynthesis;	heme <i>b</i> biosynthesis II (anaerobic);	4	3	4.1.1.37	4
HEMESYN2-PWY	Heme-b-Biosynthesis;	heme <i>b</i> biosynthesis II (anaerobic);	4	3	4.99.1.1	2
PWY-5466	LIGNAN-SYN;	matairesinol biosynthesis;	3	3	1.1.1.-	1
PWY-5466	LIGNAN-SYN;	matairesinol biosynthesis;	3	3	1.10.3.-	1
PWY-5466	LIGNAN-SYN;	matairesinol biosynthesis;	3	3	1.3.1.-	1
PWY-5080	Fatty-acid-biosynthesis;	very long chain fatty acid biosynthesis I;	4	3	1.1.1.36	3
PWY-5080	Fatty-acid-biosynthesis;	very long chain fatty acid biosynthesis I;	4	3	2.3.1.-	2
PWY-5080	Fatty-acid-biosynthesis;	very long chain fatty acid biosynthesis I;	4	3	4.2.1.119	1
PWY-6309	Super-Pathways; TRYPTOPHAN-DEG;	L-tryptophan degradation XI (mammalian, via kynurenine);	9	5	1.13.11.11	1
PWY-6309	Super-Pathways; TRYPTOPHAN-DEG;	L-tryptophan degradation XI (mammalian, via kynurenine);	9	5	1.14.13.9	1
PWY-6309	Super-Pathways; TRYPTOPHAN-DEG;	L-tryptophan degradation XI (mammalian, via kynurenine);	9	5	1.2.1.32	1
PWY-6309	Super-Pathways; TRYPTOPHAN-DEG;	L-tryptophan degradation XI (mammalian, via kynurenine);	9	5	3.7.1.3	1
PWY-6309	Super-Pathways; TRYPTOPHAN-DEG;	L-tryptophan degradation XI (mammalian, via kynurenine);	9	5	4.1.1.45	1
PWY-5918	Heme-b-Biosynthesis; Super-Pathways;	superpathay of heme <i>b</i> biosynthesis from glutamate;	10	10	1.2.1.70	4
PWY-5918	Heme-b-Biosynthesis; Super-Pathways;	superpathay of heme <i>b</i> biosynthesis from glutamate;	10	10	1.3.3.3	2
PWY-5918	Heme-b-Biosynthesis; Super-Pathways;	superpathay of heme <i>b</i> biosynthesis from glutamate;	10	10	1.3.3.4	3
PWY-5918	Heme-b-Biosynthesis; Super-Pathways;	superpathay of heme <i>b</i> biosynthesis from glutamate;	10	10	2.5.1.61	3
PWY-5918	Heme-b-Biosynthesis; Super-Pathways;	superpathay of heme <i>b</i> biosynthesis from glutamate;	10	10	4.1.1.37	4
PWY-5918	Heme-b-Biosynthesis; Super-Pathways;	superpathay of heme <i>b</i> biosynthesis from glutamate;	10	10	4.2.1.24	2
