#Enzyme_id	Name	Count	Count_pct	Abund	Abund_pct	Abund_DLM2	Abund_pct_DLM2	Abund_GEM2	Abund_pct_GEM2	Abund_LCM1	Abund_pct_LCM1	Abund_PLM2	Abund_pct_PLM2
1.12.-.-	"Acting on hydrogen as donors."	1	0.01	74.07	0.00	0.00	0.00	0.01	0.00	74.05	0.01	0.01	0.00
2.5.1.55	"3-deoxy-8-phosphooctulonate synthase."	1	0.01	195.59	0.01	0.01	0.00	0.42	0.00	194.83	0.02	0.33	0.00
4.2.1.59	"3-hydroxyacyl-[acyl-carrier-protein] dehydratase."	3	0.03	112.72	0.01	2.69	0.00	20.22	0.01	86.70	0.01	3.10	0.00
2.10.1.1	"Molybdopterin molybdotransferase."	1	0.01	72.73	0.00	0.00	0.00	0.02	0.00	72.68	0.01	0.03	0.00
6.1.1.10	"Methionine--tRNA ligase."	3	0.03	255.00	0.02	2.38	0.00	0.42	0.00	250.28	0.03	1.91	0.00
7.6.2.10	"ABC-type glycerol 3-phosphate transporter."	1	0.01	16.62	0.00	4.96	0.00	0.04	0.00	11.44	0.00	0.19	0.00
2.7.1.8	"Glucosamine kinase."	1	0.01	204.63	0.01	0.01	0.00	0.65	0.00	203.32	0.02	0.64	0.00
3.3.2.12	"Oxepin-CoA hydrolase."	2	0.02	52.45	0.00	0.13	0.00	3.60	0.00	47.73	0.01	0.99	0.00
1.1.1.40	"Malate dehydrogenase (oxaloacetate-decarboxylating) (NADP(+))."	1	0.01	30.93	0.00	0.03	0.00	3.52	0.00	26.54	0.00	0.84	0.00
6.3.4.4	"Adenylosuccinate synthase."	4	0.04	2093.41	0.13	325.58	0.25	585.86	0.27	290.94	0.03	891.03	0.29
3.1.1.1	"Carboxylesterase."	5	0.05	192.84	0.01	0.33	0.00	4.01	0.00	187.48	0.02	1.02	0.00
1.1.1.94	"Glycerol-3-phosphate dehydrogenase (NAD(P)(+))."	7	0.07	534.52	0.03	31.48	0.02	23.07	0.01	461.26	0.05	18.71	0.01
6.3.2.-	"Acid--amino-acid ligases (peptide synthases)."	14	0.13	561.22	0.04	10.63	0.01	8.16	0.00	537.48	0.06	4.96	0.00
2.5.1.48	"Cystathionine gamma-synthase."	2	0.02	40.46	0.00	0.26	0.00	0.19	0.00	38.58	0.00	1.44	0.00
1.3.5.2	"Dihydroorotate dehydrogenase (quinone)."	1	0.01	9.65	0.00	0.00	0.00	0.00	0.00	9.65	0.00	0.00	0.00
2.3.1.179	"Beta-ketoacyl-[acyl-carrier-protein] synthase II."	5	0.05	1922.92	0.12	300.93	0.23	564.28	0.26	204.37	0.02	853.33	0.28
