#GO_id	Name	Count	Count_pct	Abund	Abund_pct	Abund_DLM2	Abund_pct_DLM2	Abund_GEM2	Abund_pct_GEM2	Abund_LCM1	Abund_pct_LCM1	Abund_PLM2	Abund_pct_PLM2
GO:0000820	"regulation of glutamine family amino acid metabolic process"	1	0.01	202.80	0.01	0.00	0.00	0.43	0.00	202.04	0.02	0.33	0.00
GO:0008785	"alkyl hydroperoxide reductase activity"	3	0.03	105.36	0.01	7.47	0.01	0.24	0.00	97.40	0.01	0.25	0.00
GO:0004751	"ribose-5-phosphate isomerase activity"	1	0.01	25.68	0.00	0.12	0.00	0.11	0.00	25.33	0.00	0.13	0.00
GO:0046933	"proton-transporting ATP synthase activity, rotational mechanism"	26	0.25	1320.11	0.08	37.00	0.03	10.93	0.01	1253.46	0.14	18.72	0.01
GO:0102500	"beta-maltose 4-alpha-glucanotransferase activity"	3	0.03	109.72	0.01	1.53	0.00	19.85	0.01	85.06	0.01	3.28	0.00
GO:0005342	"organic acid transmembrane transporter activity"	1	0.01	27.05	0.00	0.01	0.00	3.50	0.00	22.65	0.00	0.88	0.00
GO:0071266	"'de novo' L-methionine biosynthetic process"	6	0.06	282.73	0.02	7.99	0.01	0.26	0.00	274.02	0.03	0.46	0.00
GO:0005198	"structural molecule activity"	13	0.13	970.21	0.06	0.28	0.00	8.87	0.00	958.26	0.10	2.79	0.00
GO:0042866	"pyruvate biosynthetic process"	6	0.06	150.09	0.01	0.49	0.00	0.71	0.00	145.72	0.02	3.17	0.00
GO:0046274	"lignin catabolic process"	2	0.02	42.44	0.00	0.21	0.00	0.30	0.00	41.76	0.00	0.16	0.00
GO:0006825	"copper ion transport"	3	0.03	123.40	0.01	9.91	0.01	1.37	0.00	109.39	0.01	2.73	0.00
GO:0008237	"metallopeptidase activity"	42	0.40	2326.09	0.15	73.26	0.06	43.06	0.02	2182.90	0.24	26.87	0.01
GO:0006808	"regulation of nitrogen utilization"	2	0.02	42.89	0.00	0.03	0.00	3.62	0.00	36.83	0.00	2.41	0.00
GO:0070497	"6-carboxy-5,6,7,8-tetrahydropterin synthase activity"	2	0.02	238.15	0.02	12.04	0.01	40.30	0.02	128.96	0.01	56.86	0.02
GO:0009072	"aromatic amino acid family metabolic process"	1	0.01	27.05	0.00	0.01	0.00	3.50	0.00	22.65	0.00	0.88	0.00
GO:0046930	"pore complex"	5	0.05	584.68	0.04	0.06	0.00	4.77	0.00	578.09	0.06	1.75	0.00
GO:0008484	"sulfuric ester hydrolase activity"	1	0.01	12.91	0.00	0.21	0.00	0.00	0.00	12.65	0.00	0.04	0.00
GO:0036042	"long-chain fatty acyl-CoA binding"	1	0.01	27.87	0.00	10.00	0.01	1.26	0.00	13.88	0.00	2.73	0.00
