#Pathway_id	Name	KOs	total_family	total_family_found	Count	Count_pct	Abund	Abund_pct	Abund_DLM2	Abund_pct_DLM2	Abund_GEM2	Abund_pct_GEM2	Abund_LCM1	Abund_pct_LCM1	Abund_PLM2	Abund_pct_PLM2
00780	"Biotin metabolism"	K00652+K01423	11	2	3	0.03	176.34	0.01	0.03	0.00	0.34	0.00	175.87	0.02	0.10	0.00
00785	"Lipoic acid metabolism"	K03644+K03800+K03801	4	3	7	0.07	452.63	0.03	11.82	0.01	33.32	0.02	400.35	0.04	7.14	0.00
00641	"3-Chloroacrylic acid degradation"	K00001+K00128+K01563	4	3	40	0.38	2927.05	0.19	12.68	0.01	45.90	0.02	2853.58	0.31	14.90	0.00
04080	"Neuroactive ligand-receptor interaction"	K05770	297	1	1	0.01	25.47	0.00	0.12	0.00	0.14	0.00	25.10	0.00	0.12	0.00
00650	"Butanoate metabolism"	K00004+K00019+K00022+K00023+K00074+K00100+K00114+K00128+K00135+K00139+K00161+K00162+K00163+K00170+K00171+K00172+K00239+K00240+K00241+K00242+K00244+K00245+K00246+K00248+K00626+K00634+K00929+K01028+K01029+K01034+K01035+K01039+K01640+K01652+K01653+K01692+K01715+K01782+K01896+K03366+K03821+K07511+K07514+K07515+K07516	67	45	291	2.80	27537.07	1.76	1854.27	1.45	3403.21	1.58	17634.53	1.92	4645.07	1.53
00351	"1,1,1-Trichloro-2,2-bis(4-chlorophenyl)ethane (DDT) degradation"	K00206+K00465	8	2	6	0.06	450.85	0.03	2.63	0.00	1.08	0.00	444.80	0.05	2.34	0.00
01040	"Biosynthesis of unsaturated fatty acids"	K00059+K00232+K00507+K07513+K07515+K10255+K10257+K10804+K10805	27	9	83	0.80	6161.41	0.39	360.80	0.28	691.21	0.32	4179.11	0.46	930.29	0.31
05014	"Amyotrophic lateral sclerosis (ALS)"	K00491+K03781+K04426+K04565+K08738	43	5	12	0.12	1000.61	0.06	14.02	0.01	7.33	0.00	972.03	0.11	7.22	0.00
03010	"Ribosome"	K02863+K02864+K02867+K02871+K02874+K02876+K02878+K02879+K02881+K02884+K02886+K02887+K02888+K02890+K02892+K02895+K02897+K02899+K02902+K02904+K02906+K02907+K02909+K02911+K02916+K02926+K02931+K02933+K02935+K02939+K02945+K02948+K02952+K02954+K02956+K02959+K02961+K02963+K02965+K02967+K02968+K02970+K02982+K02986+K02988+K02990+K02994+K02996	147	48	109	1.05	52753.03	3.37	8595.27	6.70	15280.24	7.10	5707.22	0.62	23170.31	7.63
00281	"Geraniol degradation"	K00022+K00155+K00632+K01041+K01692+K01913+K07508+K07509+K07511+K07513+K07514+K07515+K07516	14	13	92	0.88	8796.07	0.56	707.67	0.55	1387.40	0.64	4834.46	0.53	1866.54	0.61
00550	"Peptidoglycan biosynthesis"	K00824+K01000+K01446+K01447+K01448+K01449+K01915+K01921+K01924+K01925+K01928+K01929+K02563+K03587+K05362+K05364+K05365+K06153+K11066	21	19	126	1.21	11468.57	0.73	1046.61	0.82	1779.94	0.83	6044.44	0.66	2597.58	0.86
00280	"Valine, leucine and isoleucine degradation"	K00020+K00022+K00128+K00140+K00157+K00166+K00167+K00186+K00248+K00249+K00253+K00263+K00382+K00626+K00632+K00822+K00826+K01028+K01029+K01640+K01692+K01847+K01848+K01849+K01964+K01965+K01966+K01968+K01969+K05605+K05606+K07508+K07509+K07511+K07513+K07514+K07515+K07516+K08683+K09478+K09699+K11381+K11410	51	43	250	2.40	20162.54	1.29	1278.58	1.00	2012.97	0.94	14076.53	1.53	2794.48	0.92
00710	"Carbon fixation in photosynthetic organisms"	K00025+K00026+K00029+K00615+K00812+K00813+K00873+K00927+K01006+K01595+K01623+K01624+K01783+K01803+K01807+K02446+K03841+K11532	34	18	160	1.54	20666.13	1.32	2033.72	1.59	3650.83	1.70	9628.93	1.05	5352.65	1.76
00471	"D-Glutamine and D-glutamate metabolism"	K00261+K01425+K01776+K01924+K01925	6	5	62	0.60	4642.51	0.30	50.58	0.04	182.46	0.08	4341.22	0.47	68.26	0.02
00680	"Methane metabolism"	K00114+K00121+K00122+K00123+K00124+K00125+K00127+K00192+K00197+K00297+K00430+K00436+K00492+K00532+K00533+K00600+K01070+K03396+K03518+K03519+K03520+K03781+K03782+K05299+K08348+K08349+K08350+K08685	49	28	105	1.01	12738.67	0.81	1095.01	0.85	1907.03	0.89	6936.41	0.76	2800.23	0.92
04115	"p53 signaling pathway"	K06641+K08738+K10133	57	3	7	0.07	695.99	0.04	2.60	0.00	1.66	0.00	688.73	0.08	3.00	0.00
04011	"MAPK signaling pathway - yeast"	K01759+K11228+K11231	39	3	197	1.89	24693.50	1.58	2321.17	1.81	4283.63	1.99	11845.75	1.29	6242.95	2.06
00252	"Alanine and aspartate metabolism"	K00161+K00162+K00163+K00278+K00382+K00609+K00610+K00627+K00812+K00813+K00822+K01270+K01424+K01579+K01744+K01755+K01756+K01775+K01779+K01872+K01876+K01893+K01939+K01940+K01953+K01959+K01960+K02433+K02434+K02435	45	30	226	2.17	21598.33	1.38	1474.42	1.15	3235.46	1.50	13770.02	1.50	3118.43	1.03
00251	"Glutamate metabolism"	K00135+K00139+K00260+K00261+K00262+K00264+K00265+K00266+K00294+K00383+K00764+K00812+K00813+K00820+K00926+K01425+K01583+K01585+K01776+K01885+K01886+K01915+K01919+K01920+K01948+K01950+K01951+K01955+K01956+K02433+K02434+K02435	47	32	219	2.11	17604.50	1.12	748.18	0.58	1714.31	0.80	13915.49	1.52	1226.53	0.40
00072	"Synthesis and degradation of ketone bodies"	K00019+K00626+K01028+K01029+K01640	7	5	28	0.27	3311.86	0.21	336.37	0.26	634.43	0.29	1437.43	0.16	903.63	0.30
00640	"Propanoate metabolism"	K00016+K00114+K00128+K00140+K00170+K00171+K00172+K00249+K00625+K00626+K00822+K00925+K01034+K01035+K01659+K01692+K01720+K01847+K01848+K01849+K01895+K01899+K01900+K01902+K01903+K01905+K01913+K01961+K01962+K01963+K01964+K01965+K01966+K02160+K03416+K03417+K05605+K05606+K07511+K07514+K07515	59	41	234	2.25	20384.03	1.30	1261.29	0.98	2167.88	1.01	14119.67	1.54	2835.20	0.93
04150	"mTOR signaling pathway"	K03259+K04373+K04688	30	3	20	0.19	1114.92	0.07	3.27	0.00	1.68	0.00	1108.67	0.12	1.29	0.00
01030	"Glycan structures - biosynthesis 1"	K00710+K00728+K00733+K03844+K07432+K07441+K09667	105	7	52	0.50	7131.75	0.46	722.99	0.56	1187.35	0.55	3426.27	0.37	1795.13	0.59
00051	"Fructose and mannose metabolism"	K00066+K00100+K00847+K00848+K00850+K00882+K00895+K00966+K00971+K01103+K01623+K01624+K01711+K01803+K01809+K01840+K02377+K02446+K03332+K03841+K11532	50	21	84	0.81	7338.71	0.47	364.78	0.28	636.37	0.30	5442.63	0.59	894.92	0.29
02010	"ABC transporters - General"	K01995+K01996+K01997+K01998+K01999+K02000+K02001+K02002+K02003+K02004+K02006+K02010+K02011+K02012+K02013+K02015+K02016+K02017+K02018+K02020+K02031+K02032+K02033+K02034+K02035+K02036+K02037+K02038+K02040+K02041+K02042+K02045+K02046+K02047+K02048+K02049+K02050+K02051+K02062+K02063+K02064+K02065+K02066+K02067+K02068+K02071+K02072+K02073+K02193+K02194+K02195+K02424+K05685+K05776+K05777+K05813+K05815+K05816+K05845+K05846+K05847+K06073+K06857+K06858+K09686+K09687+K09689+K09690+K09691+K09693+K09695+K09697+K09808+K09810+K09811+K09812+K09813+K09814+K09815+K09816+K09817+K09819+K09969+K09970+K09971+K09972+K10000+K10004+K10009+K10010+K10017+K10019+K10021+K10025+K10038+K10041+K10107+K10109+K10111+K10112+K10117+K10119+K10190+K10191+K10195+K10199+K10230+K10232+K10233+K10235+K10239+K10243+K10439+K10440+K10441+K10539+K10542+K10543+K10544+K10545+K10551+K10558+K10562+K11070+K11071+K11072+K11073+K11074+K11075+K11076+K11080+K11084+K11085	293	133	425	4.09	42576.32	2.72	2509.17	1.96	4402.23	2.05	29465.66	3.21	6199.26	2.04
00562	"Inositol phosphate metabolism"	K00010+K01092+K01858	31	3	7	0.07	426.54	0.03	2.52	0.00	0.86	0.00	419.85	0.05	3.31	0.00
00521	"Streptomycin biosynthesis"	K00067+K00845+K00973+K01092+K01710+K01790+K01835+K01858	14	8	39	0.38	2787.07	0.18	37.83	0.03	31.27	0.01	2701.26	0.29	16.71	0.01
04111	"Cell cycle - yeast"	K02178+K02831+K03114	103	3	15	0.14	830.95	0.05	3.27	0.00	1.35	0.00	825.18	0.09	1.14	0.00
01031	"Glycan structures - biosynthesis 2"	K02527+K02840+K02844+K03276+K03279+K03857+K08098	78	7	31	0.30	1874.80	0.12	14.97	0.01	53.54	0.02	1793.79	0.20	12.50	0.00
00310	"Lysine degradation"	K00022+K00128+K00143+K00149+K00164+K00252+K00471+K00626+K00658+K00824+K00825+K01423+K01692+K01843+K01844+K07511+K07514+K07515+K07516	46	19	243	2.34	21384.76	1.37	1485.03	1.16	2751.51	1.28	13469.37	1.47	3678.86	1.21
00660	"C5-Branched dibasic acid metabolism"	K01652+K01653+K01902+K01903+K10218	9	5	57	0.55	4031.09	0.26	50.63	0.04	188.33	0.09	3722.34	0.41	69.78	0.02
00040	"Pentose and glucuronate interconversions"	K00012+K00065+K00848+K00853+K00854+K00874+K00880+K00963+K01625+K01728+K01730+K01783	41	12	78	0.75	4480.20	0.29	47.36	0.04	49.28	0.02	4351.68	0.47	31.88	0.01
00340	"Histidine metabolism"	K00013+K00128+K00492+K00599+K00603+K00765+K00817+K01089+K01270+K01458+K01468+K01479+K01496+K01523+K01593+K01693+K01712+K01745+K01814+K01892+K02501+K04486+K05602	34	23	180	1.73	23937.16	1.53	2301.99	1.80	4254.14	1.98	11093.58	1.21	6287.44	2.07
03410	"Base excision repair"	K01151+K01246+K01247+K01971+K01972+K02335+K03575+K03648+K03649+K03652+K03660+K05522+K07462+K10563+K10747+K10771+K10772+K10773+K10800+K10801	34	20	57	0.55	7010.34	0.45	703.96	0.55	1199.95	0.56	3329.85	0.36	1776.58	0.59
03430	"Mismatch repair"	K01141+K01971+K01972+K03111+K03555+K03572+K03601+K03602+K03657+K07456+K07462+K10747	32	12	36	0.35	2285.72	0.15	47.88	0.04	30.80	0.01	2194.12	0.24	12.91	0.00
01051	"Biosynthesis of ansamycins"	K00615	2	1	20	0.19	2871.19	0.18	343.58	0.27	610.26	0.28	1002.27	0.11	915.07	0.30
00940	"Phenylpropanoid biosynthesis"	K00430+K00517+K01188+K01904+K05349	19	5	64	0.62	9765.66	0.62	969.73	0.76	1942.60	0.90	4132.03	0.45	2721.29	0.90
00030	"Pentose phosphate pathway"	K00033+K00034+K00036+K00615+K00616+K00850+K00851+K00852+K00874+K00948+K01057+K01619+K01623+K01624+K01625+K01690+K01783+K01807+K01810+K01835+K01839+K02446+K03841+K11532	42	24	76	0.73	11267.50	0.72	1260.19	0.98	2380.08	1.11	4046.35	0.44	3580.87	1.18
00530	"Aminosugars metabolism"	K00075+K00326+K00698+K00790+K00820+K00972+K01183+K01207+K01443+K01836+K02472+K02474+K02564+K03431+K04042+K07106+K11528	38	17	123	1.18	10876.64	0.69	680.33	0.53	1229.24	0.57	7181.19	0.78	1785.88	0.59
