#KO	Name	Definition	Count	Count_pct	Abund	Abund_pct	Abund_DLM2	Abund_pct_DLM2	Abund_GEM2	Abund_pct_GEM2	Abund_LCM1	Abund_pct_LCM1	Abund_PLM2	Abund_pct_PLM2
K00411	UQCRFS1, RIP1, petA	"ubiquinol-cytochrome c reductase iron-sulfur subunit [EC:7.1.1.8]"	1	0.01	13.15	0.00	0.26	0.00	0.00	0.00	12.83	0.00	0.06	0.00
K10009	tcyB, yecS	"L-cystine transport system permease protein"	2	0.02	73.59	0.00	2.47	0.00	0.00	0.00	71.08	0.01	0.04	0.00
K03624	greA	"transcription elongation factor GreA"	5	0.05	362.26	0.02	9.90	0.01	4.05	0.00	346.80	0.04	1.50	0.00
K08350	fdnI	"formate dehydrogenase-N, gamma subunit"	1	0.01	217.06	0.01	0.01	0.00	0.47	0.00	216.16	0.02	0.42	0.00
K13303	SGK2	"serum/glucocorticoid-regulated kinase 2 [EC:2.7.11.1]"	15	0.14	881.41	0.06	3.04	0.00	1.50	0.00	875.76	0.10	1.11	0.00
K02851	wecA, tagO, rfe	"UDP-GlcNAc:undecaprenyl-phosphate/decaprenyl-phosphate GlcNAc-1-phosphate transferase [EC:2.7.8.33 2.7.8.35]"	1	0.01	49.69	0.00	2.47	0.00	0.00	0.00	47.19	0.01	0.04	0.00
K02417	fliNY, fliN	"flagellar motor switch protein FliN/FliY"	2	0.02	69.27	0.00	0.03	0.00	3.61	0.00	64.88	0.01	0.76	0.00
K07175	phoH2	"PhoH-like ATPase"	1	0.01	171.43	0.01	12.03	0.01	40.15	0.02	62.43	0.01	56.82	0.02
K00698	CHS1	"chitin synthase [EC:2.4.1.16]"	13	0.13	1232.76	0.08	21.22	0.02	13.27	0.01	1162.45	0.13	35.82	0.01
K01950	E6.3.5.1, NADSYN1, QNS1, nadE	"NAD+ synthase (glutamine-hydrolysing) [EC:6.3.5.1]"	1	0.01	61.15	0.00	0.00	0.00	0.15	0.00	60.99	0.01	0.01	0.00
K01961	accC	"acetyl-CoA carboxylase, biotin carboxylase subunit [EC:6.4.1.2 6.3.4.14]"	4	0.04	182.59	0.01	10.73	0.01	16.46	0.01	151.40	0.02	4.00	0.00
K00954	E2.7.7.3A, coaD, kdtB	"pantetheine-phosphate adenylyltransferase [EC:2.7.7.3]"	4	0.04	308.86	0.02	2.37	0.00	0.56	0.00	304.12	0.03	1.81	0.00
K03666	hfq	"host factor-I protein"	2	0.02	274.30	0.02	7.87	0.01	0.48	0.00	265.37	0.03	0.58	0.00
K02455	gspF	"general secretion pathway protein F"	2	0.02	108.72	0.01	0.30	0.00	16.74	0.01	88.40	0.01	3.29	0.00
K13116	DDX41, ABS	"ATP-dependent RNA helicase DDX41 [EC:3.6.4.13]"	5	0.05	370.42	0.02	7.87	0.01	0.60	0.00	359.85	0.04	2.11	0.00
K19003	mgdA	"1,2-diacylglycerol 3-beta-glucosyltransferase [EC:2.4.1.336]"	1	0.01	72.38	0.00	0.00	0.00	0.02	0.00	72.33	0.01	0.03	0.00
K02025	ABC.MS.P	"multiple sugar transport system permease protein"	4	0.04	198.80	0.01	0.44	0.00	0.69	0.00	197.11	0.02	0.55	0.00
K11473	glcF	"glycolate oxidase iron-sulfur subunit"	2	0.02	56.55	0.00	0.30	0.00	16.63	0.01	35.66	0.00	3.97	0.00
K09762	K09762	"uncharacterized protein"	2	0.02	100.65	0.01	7.32	0.01	3.43	0.00	89.44	0.01	0.46	0.00
K04486	E3.1.3.15B	"histidinol-phosphatase (PHP family) [EC:3.1.3.15]"	57	0.55	10505.42	0.67	1289.30	1.01	2362.21	1.10	3328.94	0.36	3524.96	1.16
K06103	CASK	"calcium/calmodulin-dependent serine protein kinase [EC:2.7.11.1]"	3	0.03	89.71	0.01	2.58	0.00	0.18	0.00	86.70	0.01	0.25	0.00
K07277	SAM50, TOB55, bamA	"outer membrane protein insertion porin family"	1	0.01	28.60	0.00	0.03	0.00	3.93	0.00	23.76	0.00	0.88	0.00
K00655	plsC	"1-acyl-sn-glycerol-3-phosphate acyltransferase [EC:2.3.1.51]"	2	0.02	127.32	0.01	10.49	0.01	0.06	0.00	116.49	0.01	0.28	0.00
K04654	hypD	"hydrogenase expression/formation protein HypD"	1	0.01	72.42	0.00	0.01	0.00	0.04	0.00	72.35	0.01	0.02	0.00
K00848	rhaB	"rhamnulokinase [EC:2.7.1.5]"	5	0.05	389.83	0.02	12.50	0.01	2.12	0.00	370.41	0.04	4.79	0.00
K00763	pncB, NAPRT1	"nicotinate phosphoribosyltransferase [EC:6.3.4.21]"	4	0.04	155.98	0.01	2.50	0.00	3.67	0.00	147.42	0.02	2.38	0.00
K00029	E1.1.1.40, maeB	"malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+) [EC:1.1.1.40]"	3	0.03	187.02	0.01	10.16	0.01	3.61	0.00	172.08	0.02	1.17	0.00
K13888	macA	"membrane fusion protein, macrolide-specific efflux system"	1	0.01	13.73	0.00	0.00	0.00	0.01	0.00	12.06	0.00	1.66	0.00
K02501	hisH	"imidazole glycerol-phosphate synthase subunit HisH [EC:4.3.2.10]"	3	0.03	225.41	0.01	0.02	0.00	3.99	0.00	220.18	0.02	1.22	0.00
K16566	exoY	"exopolysaccharide production protein ExoY"	1	0.01	209.74	0.01	0.01	0.00	0.50	0.00	208.87	0.02	0.36	0.00
K01056	PTH1, pth, spoVC	"peptidyl-tRNA hydrolase, PTH1 family [EC:3.1.1.29]"	5	0.05	335.12	0.02	10.12	0.01	20.35	0.01	301.02	0.03	3.64	0.00
K14652	ribBA	"3,4-dihydroxy 2-butanone 4-phosphate synthase / GTP cyclohydrolase II [EC:4.1.99.12 3.5.4.25]"	5	0.05	202.43	0.01	10.96	0.01	16.70	0.01	172.04	0.02	2.73	0.00
K02622	parE	"topoisomerase IV subunit B [EC:5.6.2.2]"	1	0.01	78.70	0.01	7.86	0.01	0.06	0.00	70.54	0.01	0.25	0.00
K05937	K05937	"uncharacterized protein"	1	0.01	49.69	0.00	2.47	0.00	0.00	0.00	47.19	0.01	0.04	0.00
K01485	codA	"cytosine/creatinine deaminase [EC:3.5.4.1 3.5.4.21]"	9	0.09	333.72	0.02	1.43	0.00	4.06	0.00	326.84	0.04	1.38	0.00
K07638	envZ	"two-component system, OmpR family, osmolarity sensor histidine kinase EnvZ [EC:2.7.13.3]"	116	1.12	14471.91	0.92	1354.81	1.06	2439.62	1.13	7091.61	0.77	3585.87	1.18
K00760	hprT, hpt, HPRT1	"hypoxanthine phosphoribosyltransferase [EC:2.4.2.8]"	82	0.79	11077.95	0.71	957.71	0.75	1892.01	0.88	5517.24	0.60	2710.99	0.89
K00122	FDH	"formate dehydrogenase [EC:1.17.1.9]"	36	0.35	3084.48	0.20	29.58	0.02	43.76	0.02	2990.42	0.33	20.72	0.01
K18313	sct	"succinyl-CoA---D-citramalate CoA-transferase [EC:2.8.3.20]"	2	0.02	42.68	0.00	0.23	0.00	0.29	0.00	41.99	0.00	0.17	0.00
K00729	ALG5	"dolichyl-phosphate beta-glucosyltransferase [EC:2.4.1.117]"	9	0.09	656.68	0.04	10.40	0.01	0.72	0.00	643.41	0.07	2.15	0.00
K01681	ACO, acnA	"aconitate hydratase [EC:4.2.1.3]"	9	0.09	384.11	0.02	22.83	0.02	5.72	0.00	351.83	0.04	3.73	0.00
K00138	aldB	"aldehyde dehydrogenase [EC:1.2.1.-]"	1	0.01	23.90	0.00	0.00	0.00	0.00	0.00	23.89	0.00	0.00	0.00
K21698	aaeR	"LysR family transcriptional regulator, transcriptional activator for aaeXAB operon"	1	0.01	68.00	0.00	0.00	0.00	0.14	0.00	67.82	0.01	0.03	0.00
K11520	manS	"two-component system, OmpR family, manganese sensing sensor histidine kinase [EC:2.7.13.3]"	72	0.69	7885.62	0.50	698.29	0.54	1213.27	0.56	4196.44	0.46	1777.63	0.59
K13278	ASPG	"60kDa lysophospholipase [EC:3.1.1.5 3.1.1.47 3.5.1.1]"	2	0.02	107.91	0.01	8.13	0.01	0.05	0.00	99.48	0.01	0.25	0.00
K03844	ALG11	"alpha-1,2-mannosyltransferase [EC:2.4.1.131]"	17	0.16	2879.21	0.18	344.62	0.27	589.95	0.27	1052.89	0.11	891.75	0.29
K01652	E2.2.1.6L, ilvB, ilvG, ilvI	"acetolactate synthase I/II/III large subunit [EC:2.2.1.6]"	47	0.45	3559.35	0.23	24.69	0.02	185.00	0.09	3284.50	0.36	65.16	0.02
K13821	putA	"RHH-type transcriptional regulator, proline utilization regulon repressor / proline dehydrogenase / delta 1-pyrroline-5-carboxylate dehydrogenase [EC:1.5.5.2 1.2.1.88]"	22	0.21	1793.46	0.11	2.06	0.00	28.12	0.01	1753.06	0.19	10.22	0.00
K03018	RPC1, POLR3A	"DNA-directed RNA polymerase III subunit RPC1 [EC:2.7.7.6]"	9	0.09	658.07	0.04	10.84	0.01	17.64	0.01	624.73	0.07	4.87	0.00
K05587	hoxF	"bidirectional [NiFe] hydrogenase diaphorase subunit [EC:7.1.1.2]"	9	0.09	708.38	0.05	6.78	0.01	1.62	0.00	696.79	0.08	3.20	0.00
K08224	ynfM	"MFS transporter, YNFM family, putative membrane transport protein"	2	0.02	41.36	0.00	10.00	0.01	1.27	0.00	25.83	0.00	4.26	0.00
K12989	lpcC	"mannosyltransferase [EC:2.4.1.-]"	10	0.10	633.22	0.04	11.20	0.01	4.50	0.00	615.51	0.07	2.01	0.00
K10726	mcm, cdc21	"replicative DNA helicase Mcm [EC:3.6.4.-]"	1	0.01	16.61	0.00	0.00	0.00	0.00	0.00	16.61	0.00	0.00	0.00
K20146	ntaB, nmoB	"nitrilotriacetate monooxygenase reductase component [EC:1.5.1.42]"	1	0.01	191.30	0.01	0.01	0.00	0.40	0.00	190.55	0.02	0.34	0.00
K02027	ABC.MS.S	"multiple sugar transport system substrate-binding protein"	9	0.09	1022.61	0.07	10.39	0.01	3.99	0.00	1003.23	0.11	4.99	0.00
K03771	surA	"peptidyl-prolyl cis-trans isomerase SurA [EC:5.2.1.8]"	1	0.01	71.59	0.00	0.00	0.00	0.01	0.00	71.56	0.01	0.02	0.00
K07393	ECM4, yqjG	"glutathionyl-hydroquinone reductase [EC:1.8.5.7]"	2	0.02	68.31	0.00	0.02	0.00	3.64	0.00	63.87	0.01	0.79	0.00
K03521	fixA, etfB	"electron transfer flavoprotein beta subunit"	2	0.02	130.92	0.01	7.89	0.01	0.18	0.00	122.47	0.01	0.38	0.00
K01239	iunH	"purine nucleosidase [EC:3.2.2.1]"	2	0.02	111.02	0.01	0.00	0.00	0.03	0.00	110.97	0.01	0.02	0.00
K11209	yghU, yfcG	"GSH-dependent disulfide-bond oxidoreductase [EC:1.8.4.-]"	4	0.04	67.56	0.00	0.42	0.00	0.01	0.00	67.05	0.01	0.09	0.00
K04079	HSP90A, htpG	"molecular chaperone HtpG"	1	0.01	59.41	0.00	0.00	0.00	0.12	0.00	59.27	0.01	0.02	0.00
