#Pathway_id	Type	Name	ECs	total_family	total_family_found	Count	Count_pct	Abund	Abund_pct	Abund_DLM2	Abund_pct_DLM2	Abund_GEM2	Abund_pct_GEM2	Abund_LCM1	Abund_pct_LCM1	Abund_PLM2	Abund_pct_PLM2
BIOTIN-BIOSYNTHESIS-PWY	"BIOTIN-SYN; Super-Pathways;"	"biotin biosynthesis I;"	1.1.1.100+2.1.1.-+2.3.1.180+2.3.1.41+2.3.1.47+2.6.1.62+3.1.1.-+4.2.1.59	11	8	61	0.59	4926.75	0.31	414.68	0.32	634.00	0.29	2933.08	0.32	945.00	0.31
PWY-6427	"Rotenoids-Biosynthesis;"	"rot-2'-enonate biosynthesis;"	2.1.1.-	2	1	37	0.36	3582.07	0.23	376.29	0.29	605.32	0.28	1669.61	0.18	930.85	0.31
PWY0-662	"Sugar-Phosphate-Biosynthesis;"	"PRPP biosynthesis;"	2.7.6.1	1	1	4	0.04	326.04	0.02	2.58	0.00	0.56	0.00	322.45	0.04	0.45	0.00
PWY-6316	"POLYKETIDE-SYN;"	"aromatic polyketides biosynthesis;"	2.3.1.-	2	1	24	0.23	1456.90	0.09	25.75	0.02	9.69	0.00	1415.85	0.15	5.62	0.00
PWY-5987	"QUINONE-SYN;"	"sorgoleone biosynthesis;"	1.-.-.-+1.14.99.-+2.1.1.-+2.3.1.-	4	4	125	1.20	12453.13	0.80	1139.24	0.89	1830.44	0.85	6781.15	0.74	2702.31	0.89
PWY-3941	"Beta-Alanine-Biosynthesis;"	"&beta;-alanine biosynthesis II;"	2.6.1.18+3.1.2.4+4.2.1.116	6	3	9	0.09	818.85	0.05	1.12	0.00	20.17	0.01	793.31	0.09	4.25	0.00
PWY0-1298	"Pyrimidine-Degradation; Super-Pathways;"	"superpathway of pyrimidine deoxyribonucleosides degradation;"	2.4.2.4+4.1.2.4+5.4.2.7	5	3	5	0.05	408.74	0.03	13.00	0.01	0.68	0.00	394.23	0.04	0.83	0.00
PWY-5140	"TERPENOPHENOLICS-SYN;"	"cannabinoid biosynthesis;"	1.3.-.-+2.3.1.-+2.5.1.-	4	3	53	0.51	3296.15	0.21	75.56	0.06	58.16	0.03	3137.48	0.34	24.96	0.01
PWY-6455	"Cell-Wall-Biosynthesis; Vancomycin-Resistnace;"	"vancomycin resistance II;"	6.3.2.-	3	1	14	0.13	561.22	0.04	10.63	0.01	8.16	0.00	537.48	0.06	4.96	0.00
PYRIDNUCSYN-PWY	"NAD-SYN;"	"NAD <i>de novo</i> biosynthesis I (from aspartate);"	1.4.3.16+2.4.2.19+2.5.1.72+2.7.7.18+6.3.1.5+6.3.5.1	6	6	17	0.16	1501.48	0.10	13.28	0.01	19.49	0.01	1458.19	0.16	10.51	0.00
