#taxon	count	count_pct	abundance	abundance_pct	depth_M1	depth_pct_M1	depth_M2	depth_pct_M2	depth_M3	depth_pct_M3	depth_M4	depth_pct_M4
d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Coleofasciculaceae;g__Moorea;s__Moorea-producens_A	5	0.11	26444.26	0.09	6256.47	0.09	7970.46	0.09	4492.75	0.10	7724.57	0.09
d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Desertifilaceae;g__Roseofilum;s__Roseofilum-reptotaenium	4	0.09	25175.50	0.09	5958.16	0.09	7761.57	0.09	3993.39	0.09	7462.38	0.09
d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Thermosynechococcales;f__Thermosynechococcaceae;g__Cyanothece;	2	0.05	12835.71	0.05	3031.10	0.05	3878.28	0.05	2145.98	0.05	3780.35	0.05
d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Eurycoccales;f__PCC-7336;g__PCC-7336;	2	0.05	12963.36	0.05	3064.27	0.05	3969.44	0.05	2070.97	0.04	3858.67	0.05
d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Microcystaceae;g__Crocosphaera;	2	0.05	13122.13	0.05	3091.95	0.05	4007.77	0.05	2163.36	0.05	3859.05	0.05
d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Nostocaceae;g__Dolichospermum_A;s__Dolichospermum_A-compactum	1	0.02	6175.40	0.02	1451.91	0.02	1747.89	0.02	1222.76	0.03	1752.83	0.02
d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Thermosynechococcales;f__Thermosynechococcaceae;g__PCC-6312;	2	0.05	13377.76	0.05	3161.70	0.05	4106.52	0.05	2202.42	0.05	3907.10	0.05
d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Rubidibacteraceae;g__Halothece;	3	0.07	20030.56	0.07	4782.63	0.07	5671.73	0.07	3960.46	0.09	5615.73	0.07
d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Nostocaceae;g__Nostoc;s__Nostoc-linckia	1	0.02	6381.14	0.02	1505.11	0.02	1934.35	0.02	1051.18	0.02	1890.51	0.02
d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Cyanobacteriaceae;g__Geminocystis;	1	0.02	6379.79	0.02	1499.08	0.02	1958.78	0.02	1040.21	0.02	1881.72	0.02
