#Taxon	Count	Count_pct	Abund	Abund_pct	Abund_DLM2	Abund_pct_DLM2	Abund_GEM2	Abund_pct_GEM2	Abund_LCM1	Abund_pct_LCM1	Abund_PLM2	Abund_pct_PLM2
Bacteria;Actinobacteria;Acidimicrobiia;Microtrichales;Microtrichaceae	1	0.38	102.62	0.23	17.62	0.29	17.36	0.39	29.68	0.11	37.94	0.61
Bacteria;Firmicutes;Bacilli;Lactobacillales;Carnobacteriaceae;Alkalibacterium	2	0.77	607.73	1.37	40.13	0.66	15.35	0.34	519.86	1.87	32.40	0.52
Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae	1	0.38	11.22	0.03	0.00	0.00	0.00	0.00	11.22	0.04	0.00	0.00
Bacteria;Bacteroidetes;Bacteroidia;Cytophagales	7	2.69	451.42	1.02	132.15	2.19	31.44	0.71	199.77	0.72	88.06	1.42
Bacteria;Spirochaetes;Spirochaetia	1	0.38	108.82	0.24	52.06	0.86	23.92	0.54	4.57	0.02	28.27	0.46
Bacteria;Bacteroidetes;Rhodothermia;Balneolales;Balneolaceae;Rhodohalobacter	1	0.38	589.46	1.33	129.30	2.14	155.64	3.49	67.91	0.24	236.61	3.81
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Pseudoruegeria	1	0.38	88.10	0.20	1.16	0.02	1.66	0.04	83.30	0.30	1.99	0.03
Bacteria;Firmicutes;Bacilli;Bacillales;Sporolactobacillaceae	2	0.77	852.29	1.92	90.20	1.49	1.11	0.02	757.75	2.73	3.23	0.05
unknown	33	12.69	4178.89	9.40	100.11	1.66	65.12	1.46	3927.15	14.16	86.50	1.39
Bacteria;Gemmatimonadetes;Gemmatimonadetes;Gemmatimonadales	1	0.38	168.48	0.38	36.94	0.61	35.27	0.79	56.70	0.20	39.57	0.64
Bacteria;Verrucomicrobia	1	0.38	9.97	0.02	1.46	0.02	0.80	0.02	6.65	0.02	1.07	0.02
Bacteria;Cyanobacteria;Oxyphotobacteria;Phormidesmiales;Nodosilineaceae;Nodosilinea PCC-7104	2	0.77	3481.64	7.83	722.68	11.97	428.35	9.61	1537.38	5.54	793.23	12.77
Bacteria;Proteobacteria	3	1.15	295.48	0.66	19.09	0.32	5.82	0.13	251.82	0.91	18.75	0.30
Bacteria;Proteobacteria;Alphaproteobacteria	6	2.31	289.05	0.65	43.59	0.72	40.13	0.90	142.15	0.51	63.17	1.02
Bacteria;Bacteroidetes;Rhodothermia;Rhodothermales	1	0.38	115.28	0.26	33.39	0.55	21.30	0.48	19.28	0.07	41.31	0.67
