#Taxon	Count	Count_pct	Abund	Abund_pct	Abund_DLM2	Abund_pct_DLM2	Abund_GEM2	Abund_pct_GEM2	Abund_LCM1	Abund_pct_LCM1	Abund_PLM2	Abund_pct_PLM2
Eukaryota;Archaeplastida;Chloroplastida;Chlorophyta	2	1.53	566.82	2.28	41.82	1.18	1.92	0.05	519.56	4.20	3.52	0.07
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales	1	0.76	484.20	1.94	224.55	6.33	67.11	1.73	6.14	0.05	186.41	3.65
Bacteria;Bacteroidetes;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Psychroflexus	1	0.76	98.31	0.39	16.91	0.48	4.11	0.11	70.29	0.57	7.00	0.14
Bacteria;Proteobacteria;Gammaproteobacteria;HOC36	1	0.76	375.63	1.51	19.86	0.56	158.92	4.10	27.46	0.22	169.39	3.32
Eukaryota;Excavata;Discoba;Discicristata;Heterolobosea	1	0.76	6.46	0.03	0.83	0.02	0.00	0.00	5.63	0.05	0.00	0.00
Bacteria;Bacteroidetes;Rhodothermia;Rhodothermales;Rhodothermaceae	2	1.53	15.64	0.06	1.11	0.03	0.07	0.00	13.89	0.11	0.57	0.01
Eukaryota;Archaeplastida;Chloroplastida;Charophyta	1	0.76	389.47	1.56	0.31	0.01	0.00	0.00	389.16	3.15	0.00	0.00
Bacteria;Proteobacteria;Deltaproteobacteria;Bradymonadales;Bradymonadaceae	1	0.76	9.82	0.04	1.59	0.04	0.72	0.02	6.75	0.05	0.76	0.01
Bacteria;Gemmatimonadetes;Longimicrobia;Longimicrobiales;Longimicrobiaceae	1	0.76	9.85	0.04	0.00	0.00	0.00	0.00	9.72	0.08	0.13	0.00
Bacteria;Proteobacteria;Gammaproteobacteria;Cellvibrionales;Cellvibrionaceae;uncultured	2	1.53	29.66	0.12	0.09	0.00	0.35	0.01	28.52	0.23	0.70	0.01
Bacteria;Actinobacteria;Acidimicrobiia;Microtrichales;Ilumatobacteraceae	1	0.76	124.16	0.50	20.59	0.58	30.00	0.77	51.13	0.41	22.44	0.44
Bacteria;Actinobacteria;Nitriliruptoria;Nitriliruptorales;Nitriliruptoraceae	5	3.82	1118.02	4.49	80.42	2.27	150.35	3.88	734.50	5.94	152.75	2.99
Bacteria;Patescibacteria;Saccharimonadia;Saccharimonadales	1	0.76	23.58	0.09	0.27	0.01	4.76	0.12	14.15	0.11	4.40	0.09
Bacteria;Actinobacteria;Acidimicrobiia;Microtrichales;Ilumatobacteraceae;uncultured	1	0.76	102.62	0.41	17.62	0.50	17.36	0.45	29.68	0.24	37.94	0.74
Eukaryota;Opisthokonta;Aphelidea;Paraphelidium	1	0.76	160.14	0.64	7.37	0.21	2.38	0.06	149.45	1.21	0.95	0.02
Bacteria;Cyanobacteria;Oxyphotobacteria;Nostocales;Oscillatoriaceae;Oscillatoria PCC-6304	1	0.76	32.60	0.13	0.49	0.01	0.50	0.01	26.49	0.21	5.13	0.10
Bacteria;Bacteroidetes;Rhodothermia;Balneolales	2	1.53	374.09	1.50	69.00	1.95	91.72	2.36	43.96	0.36	169.41	3.32
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Beijerinckiaceae;Salinarimonas	1	0.76	938.56	3.77	84.32	2.38	595.59	15.36	121.07	0.98	137.57	2.69
Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Idiomarinaceae;Aliidiomarina	1	0.76	32.92	0.13	1.92	0.05	0.98	0.03	28.72	0.23	1.30	0.03
Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Hyphomonadaceae;Oceanicaulis	1	0.76	42.62	0.17	26.08	0.74	0.78	0.02	14.99	0.12	0.76	0.01
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Roseinatronobacter	11	8.40	1149.56	4.62	35.10	0.99	56.57	1.46	1006.88	8.14	51.00	1.00
Bacteria;Cyanobacteria;Oxyphotobacteria;Nostocales;Nostocaceae;Nodularia PCC-9350	2	1.53	480.87	1.93	0.63	0.02	4.22	0.11	473.88	3.83	2.14	0.04
