#Accession	Name	Function	Count	Count_pct	Abund	Abund_pct	Abund_DLM2	Abund_pct_DLM2	Abund_GEM2	Abund_pct_GEM2	Abund_LCM1	Abund_pct_LCM1	Abund_PLM2	Abund_pct_PLM2
TIGR03043	PS_II_psbZ	"photosystem II core protein PsbZ"	1	0.01	70.45	0.00	0.00	0.00	0.03	0.00	70.38	0.01	0.04	0.00
TIGR00063	folE	"GTP cyclohydrolase I"	1	0.01	86.60	0.01	8.13	0.01	0.05	0.00	78.17	0.01	0.24	0.00
TIGR01071	rplO_bact	"ribosomal protein uL15"	2	0.02	1827.19	0.12	325.55	0.25	585.18	0.27	25.72	0.00	890.74	0.29
TIGR00159	TIGR00159	"TIGR00159 family protein"	1	0.01	37.23	0.00	0.91	0.00	0.06	0.00	36.09	0.00	0.18	0.00
TIGR00440	glnS	"glutamine--tRNA ligase"	2	0.02	24.32	0.00	0.30	0.00	0.35	0.00	23.35	0.00	0.32	0.00
TIGR00115	tig	"trigger factor"	2	0.02	121.64	0.01	2.37	0.00	0.05	0.00	119.14	0.01	0.08	0.00
TIGR00705	SppA_67K	"signal peptide peptidase SppA, 67K type"	1	0.01	66.73	0.00	0.00	0.00	0.15	0.00	66.54	0.01	0.04	0.00
TIGR00553	pabB	"aminodeoxychorismate synthase, component I"	1	0.01	13.90	0.00	0.00	0.00	0.02	0.00	12.46	0.00	1.42	0.00
TIGR00125	cyt_tran_rel	"cytidyltransferase-like domain"	10	0.10	592.32	0.04	5.98	0.00	1.39	0.00	581.05	0.06	3.90	0.00
TIGR04168	TIGR04168	"TIGR04168 family protein"	1	0.01	80.91	0.01	0.00	0.00	0.05	0.00	80.82	0.01	0.04	0.00
TIGR01076	sortase_fam	"sortase"	2	0.02	87.18	0.01	2.88	0.00	0.11	0.00	83.95	0.01	0.24	0.00
TIGR00928	purB	"adenylosuccinate lyase"	4	0.04	308.97	0.02	1.07	0.00	0.72	0.00	306.48	0.03	0.70	0.00
TIGR03302	OM_YfiO	"outer membrane assembly lipoprotein YfiO"	3	0.03	234.35	0.01	0.03	0.00	3.78	0.00	228.05	0.02	2.50	0.00
TIGR02205	septum_zipA	"cell division protein ZipA"	1	0.01	59.41	0.00	0.00	0.00	0.12	0.00	59.27	0.01	0.02	0.00
TIGR02753	sodN	"superoxide dismutase, Ni"	1	0.01	25.68	0.00	0.12	0.00	0.11	0.00	25.33	0.00	0.13	0.00
TIGR01313	therm_gnt_kin	"carbohydrate kinase, thermoresistant glucokinase family"	1	0.01	72.38	0.00	0.00	0.00	0.02	0.00	72.33	0.01	0.03	0.00
TIGR00716	rnhC	"ribonuclease HIII"	1	0.01	105.89	0.01	7.76	0.01	0.08	0.00	97.75	0.01	0.29	0.00
TIGR01221	rmlC	"dTDP-4-dehydrorhamnose 3,5-epimerase"	3	0.03	321.56	0.02	0.05	0.00	0.87	0.00	319.92	0.03	0.72	0.00
TIGR03075	PQQ_enz_alc_DH	"PQQ-dependent dehydrogenase, methanol/ethanol family"	1	0.01	204.63	0.01	0.01	0.00	0.65	0.00	203.32	0.02	0.64	0.00
TIGR02076	pyrH_arch	"putative uridylate kinase"	1	0.01	27.99	0.00	8.37	0.01	0.30	0.00	18.85	0.00	0.46	0.00
