contigName	contigLen	totalAvgDepth	MA_sorted.bam	MA_sorted.bam-var	MB_sorted.bam	MB_sorted.bam-var	MC_sorted.bam	MC_sorted.bam-var	MD_sorted.bam	MD_sorted.bam-var
bin00.contig0000	151303	6468.14	1521	101999	1981.51	127748	1053.82	150924	1911.8	123074
bin00.contig0001	148815	6417.1	1515.29	166218	1934.1	108071	1086.18	418314	1881.53	128583
bin00.contig0002	143662	6439.65	1511.91	73971.5	1994.19	105230	1020.06	113192	1913.49	95996.1
bin00.contig0003	130353	6688.88	1580.85	59966	2053.26	65587	1101.21	133002	1953.55	57829
bin00.contig0004	106596	6379.79	1499.08	72139.1	1958.78	86845.5	1040.21	143118	1881.72	83118.1
bin00.contig0005	102898	6616.09	1552.7	54309.2	2033.61	64138.4	1084.75	120221	1945.02	59022.4
bin00.contig0006	101217	6381.14	1505.11	71611.7	1934.35	82758.6	1051.18	138421	1890.51	84186.4
bin00.contig0007	100633	6521.23	1547.97	95941.1	1985.76	135136	1070.3	154776	1917.2	124511
bin00.contig0008	97133	6474.57	1532.49	59294.5	1998.36	64395.5	1042.57	116965	1901.16	61625.6
bin00.contig0009	91911	6433	1512.1	76301.9	1951.58	85888.1	1077.4	153688	1891.92	84717.6
bin00.contig0010	91864	6744.42	1611.19	103151	1950.91	118967	1224.82	187486	1957.5	119184
bin00.contig0011	86660	6522.55	1540	79710.8	2004.09	118283	1039.73	118871	1938.73	106351
bin00.contig0012	83555	6491.86	1532.7	153799	1959.32	239259	1108.61	188702	1891.23	214774
bin00.contig0013	83223	6830.4	1607.22	170523	2078.16	222604	1157.84	224789	1987.17	208239
bin00.contig0014	79963	6628.93	1569.83	57325.3	2058.29	77245.2	1050.75	117592	1950.07	66277.1
bin00.contig0015	78495	6528.49	1535.89	66245.8	1999.65	95439.8	1072.38	123450	1920.57	81447.5
bin00.contig0016	78238	6255.38	1465.78	58881.1	1978.07	97346.9	940.203	71071.7	1871.33	84604.8
bin00.contig0017	72684	6616.77	1567.67	67752.1	1995.3	77133.7	1133.1	154242	1920.7	70876.7
bin00.contig0018	70943	6501.48	1530.61	62353.6	1989.55	68434.9	1039.57	123499	1941.74	69019.4
bin00.contig0019	70842	6506.78	1539.12	173567	1976.83	263109	1067.43	172541	1923.4	249943
bin00.contig0020	68665	6330.23	1498.8	156535	1884.33	210939	1108.4	215034	1838.7	207244
bin00.contig0021	68241	6602.52	1551.34	60467.6	2042.87	63570.9	1053.93	130779	1954.38	61541.1
bin00.contig0022	65343	6547.24	1546.76	204861	1983.14	63848.7	1088.7	786249	1928.63	92100.7
bin00.contig0023	64214	6709.57	1582.63	239729	2022.99	268886	1139.1	318589	1964.86	271092
bin00.contig0024	63193	6489.2	1530.35	46460.7	2039.25	67184.7	993.131	85802.6	1926.47	59546.4
bin00.contig0025	60891	6421.77	1524.41	94382.7	1932.13	128122	1074.97	153651	1890.27	122252
bin00.contig0026	57002	6209.59	1460.09	55850	1926.12	82431.7	949.717	74591.4	1873.66	76901.4
bin00.contig0027	56581	6770.44	1616.5	64248.9	2047.11	61901.4	1118.28	144730	1988.54	59929.5
bin00.contig0028	55769	6868.99	1640.7	116524	2061.22	105227	1150.09	188918	2016.97	110101
bin00.contig0029	55657	6467.38	1525.95	79695.8	2000.8	106355	1031.52	125048	1909.11	94767.7
bin00.contig0030	53891	6452.11	1524.05	85578.3	1964.4	91570	1064.76	149129	1898.91	92413.3
bin00.contig0031	53598	6402.18	1519.72	48230.7	2029.19	85218.7	939.165	59545.6	1914.1	70516.3
bin00.contig0032	52999	6553.05	1544.02	94458.8	1982.16	95281.8	1099.75	170422	1927.12	95430
bin00.contig0033	52557	6591.63	1564.01	152937	1968.53	122262	1155.33	459030	1903.76	126120
bin00.contig0034	51841	6465.74	1520.93	61744.1	1957.14	74972.5	1065.73	124666	1921.94	69150.9
bin00.contig0035	45877	6343.85	1498.4	61675.6	1918.96	92377.1	1037.37	102992	1889.12	80646.4
bin00.contig0036	42845	6294.95	1478.05	152764	1879.43	201590	1114.52	226266	1822.95	192182
bin00.contig0037	41664	6341.34	1494.56	55515.2	1984.69	66034	975.49	92960.2	1886.6	62990.8
bin00.contig0038	40216	6175.4	1451.91	136459	1747.89	174263	1222.76	204978	1752.83	172610
bin00.contig0039	39531	6466.38	1514.72	34056.3	2006.08	47738.3	1006.32	71211.1	1939.26	46485.3
bin00.contig0040	39244	6521.33	1532.85	72093.3	1979.57	78741.1	1085.55	139098	1923.36	76324.1
bin00.contig0041	39137	6564.04	1565.29	72466	1986.41	90894.6	1090.71	155945	1921.63	82305.6
bin00.contig0042	38636	6439.52	1522.42	83703.8	1897.64	94186.5	1108.08	151218	1911.37	94429.7
bin00.contig0043	38376	6339.1	1491.71	63043.2	1976.34	100315	985.994	77075.6	1885.07	89662.8
bin00.contig0044	38356	6272.96	1473.1	53182	1949.04	74517.7	973.35	79880.1	1877.47	72100.3
bin00.contig0045	37900	6720.3	1583.07	99988.9	2109.94	124345	1013.17	127530	2014.12	114480
bin00.contig0046	37465	5879.26	1388.42	133660	1750.53	208324	1038.55	172499	1701.76	192498
bin00.contig0047	37393	6203.33	1458.46	127064	1873.99	176095	1053.97	174497	1816.91	166771
bin00.contig0048	37171	6473.07	1528.08	71468.8	1942.78	89709.2	1103.81	146452	1898.4	79698.8
bin00.contig0049	37063	6810.41	1608.79	76554.4	1993.98	53871.7	1255.71	207340	1951.94	61071.4
