#Accession	PA	PB	PC	PD
demo|03804	0.146260121	0.124515453	0.21599918	0.152504797
demo|00876	0.062069366	0.05710936	0.070357234	0.055754282
demo|01959	0.015061334	0.029994783	0.016347776	0.017211276
demo|04304	0.076860364	0.050576077	0.106190026	0.053021229
demo|00025	0.05677186	0.108851197	0.042528988	0.070235914
demo|00034	0.022273132	0.021150993	0.023794414	0.015490628
demo|03870	0.028030767	0.068815789	0.032516693	0.003944687
demo|04553	0.003464854	0.004905307	0.003402628	0.002786278
demo|02649	0.002906973	0.005674397	0.00249792	0.005844138
demo|03162	0.00917814	0.009450031	0.006759981	0.00421751
demo|00270	0.071417592	0.090755509	0.074933704	0.090680171
demo|03714	0.002237565	0.002519836	0.000961354	0.001349511
demo|01714	0.013103581	0.014638557	0.018015553	0.011380287
demo|03482	0.026955038	0.023706154	0.024265036	0.027353065
demo|01798	0.002551805	0.005747435	0.001096365	0.003078068
demo|04320	0.013343813	0.026047057	0.020384264	0.011326625
demo|02996	0.069840499	0.064534109	0.076939674	0.05928269
demo|00666	0.202503624	0.209600691	0.291317568	0.199438392
demo|03473	0.168233392	0.129043257	0.219453377	0.143978685
demo|03936	0.034868256	0.026097399	0.037797957	0.036235614
demo|02848	0.009727266	0.008763496	0.009001463	0.009627353
demo|03244	0.01833751	0.02360092	0.018008184	0.017379439
demo|04593	0.016107325	0.041827044	0.014654959	0.016000489
demo|04373	0.002572301	0.007531679	0.006631026	0.006722715
demo|01206	0.018540877	0.020247105	0.010621275	0.021686879
demo|02418	0.008574837	0.012427574	0.004485013	0.008694318
demo|01193	0.015393098	0.015897419	0.016775795	0.015095644
demo|04715	0.005770298	0.007364656	0.00909028	0.005413579
demo|01203	0.002887316	0.003034784	0.002067525	0.002128361
demo|04037	0.011709379	0.008439378	0.004024681	0.006591305
demo|04361	0.063744331	0.07626517	0.070111482	0.052900617
demo|01423	0.005553495	0.008755703	0.003976699	0.008931735
demo|03461	0.013820966	0.017432233	0.016965941	0.015877416
demo|03918	0.001880146	0.000564621	0	0.003527831
demo|02725	0.193513683	0.191528996	0.192045792	0.132601421
demo|01777	0.183000867	0.182835807	0.187490431	0.182064525
demo|04046	0.005405089	0.006086946	0.002322258	0.002716579
demo|00473	0.021445414	0.037353197	0.015561202	0.031041766
demo|04085	0.016855343	0.031263912	0.013631582	0.035879027
demo|04319	0.063780807	0.067577907	0.049402537	0.05526276
demo|02292	0.015454497	0.011602731	0.019919744	0.013463453
demo|03923	0.00126249	0.004549612	0.002169679	0.001353649
demo|03024	0.16871059	0.132491108	0.137273053	0.157280423
demo|00813	0.039294665	0.047791863	0.032639834	0.034758878
demo|04167	0.007067107	0.009382805	0.003835367	0.010468768
demo|03738	0.009655825	0.012565414	0.01290662	0.007764774
demo|02214	0.012127868	0.013316365	0.004559321	0.008838366
demo|00561	0.010049734	0.016297225	0.013816949	0.010775384
demo|03874	0.142720785	0.132761587	0.117652656	0.015862459
demo|04650	0.038109262	0.046982583	0.037917285	0.044086844
demo|01723	2.309391381	2.223943258	2.878359407	2.029861542
demo|00770	0.01206427	0.012845124	0.011309078	0.01234741
demo|04966	0.004128473	0.00318808	0.003040747	0.002371378
demo|00479	0.062386659	0.076189593	0.06552085	0.04236452
demo|02235	0.003548493	0.004528958	0.00508195	0.003566921
demo|01466	0.092661607	0.109843113	0.083813472	0.098698691
demo|04594	0.017882064	0.020504048	0.019090847	0.013290552
demo|00572	0.023949244	0.020572819	0.014357612	0.021050416
demo|01791	0.068346361	0.073449768	0.063762973	0.062420027
demo|03732	0.099466354	0.101152154	0.102305025	0.107254372
demo|02047	0.040957022	0.03502281	0.045732038	0.043170051
demo|03318	0.030279621	0.028242347	0.029385992	0.019193129
demo|02099	0.013118737	0.009733247	0.009283436	0.012411166
demo|01645	0.013264856	0.012235122	0.012483854	0.013968681
demo|00051	0.048398139	0.07143452	0.047781764	0.05382495
demo|01115	0.043716874	0.032057916	0.017472227	0.028614632
demo|02093	0.008991943	0.00623156	0.007132291	0.004449792
demo|03474	0.003839179	0.004899961	0.002749127	0.001800921
demo|00761	0.12092989	0.092523891	0.129500032	0.116304632
demo|03454	0.090799281	0.141497009	0.109653284	0.074003358
demo|02691	0.003841621	0.005348813	0.002400764	0.005055148
demo|00402	0.006671907	0.006010859	0.002457032	0.007281402
demo|01709	0.558792772	0.483243402	0.717979087	0.386827428
demo|00923	0.040301315	0.049923901	0.034630346	0.048034
demo|04333	0.147432863	0.146019898	0.229882298	0.191578449
demo|00952	0.021535352	0.02691196	0.016714212	0.021228208
demo|04414	0.039483064	0.031618767	0.037696927	0.034102369
demo|04420	0.016855343	0.022127193	0.013242109	0.020912347
demo|00573	0.029113774	0.038839398	0.024054857	0.029715194
demo|03977	0.319617357	0.294805866	0.258294866	0.323317006
demo|04324	0.000955975	0.000861257	0	0.000384376
demo|01126	0.015714541	0.022212718	0.026540933	0.019173256
demo|04648	0.007424687	0.004013433	0.007655914	0.003980397
demo|01745	2.225945736	2.569976272	1.763238861	2.209685445
demo|01965	0.048004848	0.055097486	0.039554681	0.059755812
demo|04981	0.005661905	0.00637616	0.005473344	0.005406743
demo|03452	0.034766344	0.051198968	0.020682155	0.026882222
demo|00464	0.004011501	0.002710534	0.003447026	0.002688222
demo|01624	0.01218805	0.009844557	0.01227871	0.010814979
demo|00088	0.004648063	0.011306348	0.00559162	0.00560664
demo|02384	0.020291418	0.019870609	0.028807514	0.024121425
demo|02912	0.010794995	0.012643066	0.011131183	0.009259566
demo|00099	0.053874087	0.051232744	0.051436929	0.049741322
demo|00927	0.160125759	0.179657905	0.184732395	0.136515639
demo|01223	0.075099413	0.120152378	0.064531856	0.095099301
demo|00168	0.00226807	0.000817341	0.001559136	0.001823879
demo|03018	0.002656464	0.003988773	0.005072582	0.003560346
demo|01734	0.015874536	0.017099858	0.020757683	0.013320604
demo|00949	0.005521578	0.006331187	0.001725314	0.005651166
demo|01582	0.211736541	0.110877999	0.172845084	0.179846507
demo|03054	0.006488756	0.013766046	0.009712502	0.011782495
demo|03114	0.115247463	0.092507933	0.133891709	0.066115197
demo|02827	0.029603081	0.026670031	0.024666673	0.018755809
demo|04293	0.111279315	0.108996915	0.08561391	0.07335751
demo|03368	0.124944124	0.098346051	0.140136585	0.106820124
demo|03582	0.004168133	0.006258595	0.002387745	0.003351822
demo|01733	0.004447938	0.008014479	0.005460071	0.007664633
demo|01690	0.001978897	0.005942765	0.001700438	0.003447901
demo|00548	0.028919033	0.024606327	0.014725756	0.02153275
demo|01638	0.002127917	0.003514655	0.001828489	0.00199637
demo|02583	0.004948699	0.007961403	0.004859825	0.004548021
demo|03839	0.006586149	0.010383798	0.002829692	0.008937475
demo|04654	0.003500017	0.005518166	0.002506262	0.006332746
demo|00200	0.013095787	0.011798267	0.017391036	0.011967086
demo|00966	0.001866268	0.004035262	0	0.003901995
demo|02052	0.008006288	0.015737522	0.003752558	0.009950088
demo|02274	0.008967043	0.00153878	0.005136835	0.001373502
demo|00798	0.425422875	0.490827561	0.475472011	0.508206017
demo|03363	0.011158589	0.006031803	0.007670734	0.00508483
demo|02810	0.033071725	0.026023485	0.040288899	0.023901634
demo|04358	0.019722234	0.016075964	0.011298023	0.009062699
demo|03455	0.024468655	0.025934494	0.018551971	0.02199147
demo|01803	0.047817515	0.044213472	0.027032178	0.033899063
demo|04397	0.002663214	0.008397708	0.004576924	0.003212453
demo|02510	0.023840063	0.020404108	0.020485427	0.01981013
demo|00650	0.013179075	0.015435293	0.004529837	0.010598012
demo|00008	0.012025771	0.015309291	0.00539143	0.008198968
demo|00067	0.085940914	0.068660752	0.069667739	0.050854358
demo|04018	0.003723855	0.003354898	0.000799964	0.004866151
demo|03459	0.650659004	0.677689435	0.781928312	0.498184972
demo|02102	0.035955131	0.040679236	0.030177227	0.043706422
demo|04961	0.027294163	0.022950554	0.037525577	0.031459837
demo|00808	0.022552924	0.016993569	0.028892933	0.015498066
demo|01853	0.014585713	0.016568547	0.015257925	0.00815942
demo|02824	0.039821851	0.030211649	0.047545496	0.038427503
demo|02916	0.008042846	0.013503848	0.010680796	0.009701536
demo|04098	0.022612176	0.022740591	0.024400868	0.024949703
demo|02942	0.04345793	0.039152152	0.040215302	0.041936266
demo|00997	0.048387903	0.038431259	0.057991814	0.033279442
demo|02048	0.042084334	0.03421566	0.054684709	0.034667727
demo|00331	0.036499254	0.033413306	0.051597669	0.035505287
demo|01184	0.024884408	0.020469413	0.029750007	0.011310513
demo|01468	0.023573272	0.030561496	0.018774017	0.02635423
demo|03304	0.029183592	0.022832616	0.0356358	0.014821967
demo|03268	0.060165596	0.06103334	0.074088961	0.068573526
demo|00021	0.013209027	0.017728999	0.01111869	0.010838876
demo|00636	0.008962263	0.008612574	0.002053639	0.006246104
demo|02560	0.040204736	0.029351728	0.02620834	0.040692236
demo|01749	0.140960128	0.137019742	0.12112503	0.116336707
demo|01648	0.02346165	0.024307651	0.012096157	0.034903562
demo|00374	0.023351673	0.040272757	0.034398446	0.019314876
demo|03554	0.054042444	0.053196104	0.061917203	0.074845146
demo|01751	0.001413914	0.001273824	0	0.000852754
demo|02374	0.056803022	0.062645286	0.070690384	0.058279342
demo|00044	0.011347495	0.018174567	0.013000987	0.023657766
demo|04112	0.028365134	0.028027778	0.031450008	0.023545754
demo|03871	0.022006433	0.028173865	0.031848109	0.004191293
demo|02215	0.230293226	0.171095619	0.294770204	0.147574336
demo|01080	0.023095061	0.03051667	0.024872722	0.029219941
demo|04028	0.020985142	0.015617959	0.009408122	0.008804502
demo|04949	0.012242456	0	0.014823309	0.015662222
demo|02616	0.153405575	0.135283478	0.177617446	0.178520517
demo|00129	0.041739817	0.032945332	0.043801481	0.038317863
demo|04915	0.035844665	0.057704249	0.029286016	0.037802816
demo|02049	0.039850955	0.040065168	0.055087142	0.041102893
demo|01196	0.021261512	0.017957754	0.014844143	0.014426049
demo|04007	0.009612605	0.010483394	0.009564181	0.009357391
demo|00697	0.206629348	0.161969262	0.138417699	0.157680328
demo|04044	0.29851499	0.396879902	0.388500096	0.385714877
demo|03316	0.001687755	0.003801334	0.001450264	0.003053735
demo|04952	0.04428621	0.034952288	0.050949013	0.042676679
demo|02863	0.421647767	0.383489052	0.415800651	0.381050017
demo|00062	0.023048405	0.029507855	0.018762789	0.020485475
demo|02920	0.12620081	0.0910798	0.170243156	0.110214831
demo|02383	0.020304131	0.025775673	0.019033146	0.034139647
demo|04440	0.042285637	0.043138128	0.030991998	0.039004799
demo|02173	0.013029505	0.009885096	0.009428268	0.008271896
demo|04916	0.023227033	0.025364505	0.035078855	0.022640148
demo|01746	1.442309226	1.431998825	0.985414306	1.092616046
demo|01918	0.015082489	0.021288067	0.012096157	0.017384399
demo|03978	0.093533777	0.146550473	0.103086137	0.112005844
demo|01719	0.039287361	0.029495666	0.034782072	0.026327589
demo|01804	0.028851488	0.027942373	0.022312506	0.034221553
demo|03334	0.027761741	0.068780606	0.054526329	0.019932793
demo|02442	0.103805664	0.082245136	0.087300884	0.097092405
demo|02941	0.126611065	0.112575473	0.12657206	0.080520243
demo|03052	0.006911903	0.004843282	0.001319844	0.005558238
demo|03764	0.011463142	0.009681921	0.014775171	0.010946537
demo|03689	0.025347152	0.01888343	0.019267318	0.023126894
demo|03483	0.036691332	0.032337375	0.051404901	0.031750482
demo|02430	0.100181244	0.09173496	0.104430154	0.070656129
demo|03100	0.027349303	0.029408502	0.024258959	0.021993064
demo|03944	0.012854773	0.025679901	0.00384206	0.017528335
demo|01799	0.004213836	0.008067206	0.004526111	0.007624293
demo|00355	0.055299598	0.054747864	0.060572596	0.061084366
demo|02737	0.016855343	0.008932546	0.005111843	0.010365052
demo|02565	0.069209562	0.061785492	0.097315839	0.05008966
demo|03964	0.213978109	0.176658818	0.270575486	0.204298879
demo|00524	0.014147657	0.015063358	0.008841368	0.01085977
demo|01367	0.007840433	0.009780381	0.011401368	0.009699875
demo|04060	0.021700822	0.020735613	0.01808214	0.024854187
demo|03986	0.516769495	0.587772618	0.556060829	0.508146197
demo|01693	0.035925651	0.036065156	0.035280457	0.042921947
demo|03480	0.041296656	0.040852566	0.054272137	0.03320889
demo|04162	0.015286469	0.035806933	0.015762534	0.030117071
demo|02071	0.002010999	0.005435251	0.005184067	0.001617153
demo|04777	0.018588397	0.018182102	0.014603652	0.022208371
demo|02000	0.110723214	0.14235562	0.087875022	0.097385931
demo|03484	0.034760396	0.047231236	0.041131238	0.043991178
demo|01823	0.008497553	0.010048004	0.008214554	0.011104185
demo|02533	0.008096246	0.008914982	0.012367981	0.011574458
demo|00196	0.111639842	0.120400723	0.07702451	0.095673349
demo|01753	0.013890427	0.015295102	0.006631026	0.010549491
demo|02842	0.015713275	0.018201107	0.012216271	0.015945303
demo|04850	0.121528671	0.09492067	0.073502868	0.094791793
demo|02468	0.1088602	0.174481227	0.097892811	0.095683709
demo|00815	0.048827586	0.045930512	0.039488799	0.030603541
demo|03178	0.039233092	0.02301594	0.029792386	0.020543838
demo|02877	0.218388385	0.209960038	0.245347952	0.324551979
demo|02683	0.024158238	0.023996931	0.015968331	0.025902607
demo|02112	0.006448017	0.006293249	0.005540689	0.006481502
demo|00123	0.06781007	0.060486634	0.04961453	0.06694744
demo|03693	0.003350913	0.004312724	0.003290733	0.003464552
demo|02662	0.18963534	0.278932925	0.20950836	0.279316843
demo|04759	0.005680137	0.007554188	0.005113283	0.006742806
demo|01735	0.011116168	0.006676525	0.004548555	0.004682394
demo|03901	0.019232982	0.022162945	0.02075437	0.025177679
demo|02202	0.022899522	0.02863658	0.024669963	0.028309246
demo|00476	0.193268996	0.157571453	0.231953611	0.206796016
demo|03302	0.021121758	0.021600521	0.007848487	0.032593137
demo|00232	0.073244873	0.075113803	0.101772531	0.072058744
demo|00246	0.004756211	0.007855776	0.006811573	0.001912364
demo|03620	0.072000341	0.050677034	0.070891411	0.080214787
demo|00153	0.01128403	0.018879746	0.009234482	0.012963004
demo|02558	0.679285789	0.643746483	0.658430438	0.565152101
demo|00844	0.006936856	0.006249558	0.007947655	0.005113445
demo|02580	0.00305449	0.002963534	0.002018984	0.003212061
demo|02967	0.037070915	0.050096936	0.047781764	0.028154589
demo|03787	0.014289438	0.01893184	0.008667325	0.01419466
demo|01744	1.772554914	2.028035958	1.635126131	1.858121053
demo|01973	0.000897063	0.008081828	0.003083334	0.005049641
demo|01519	0.030184626	0.035153163	0.015182762	0.016576752
demo|02407	0.021797224	0.021903445	0.012966953	0.030337502
demo|01894	0.073649574	0.076044359	0.048353371	0.097822113
demo|02574	0.002692806	0.004852009	0.003305556	0.0029388
demo|02396	0.002671236	0.002941366	0.001530237	0.002625439
demo|01479	0.037053895	0.051663584	0.030323699	0.046823943
demo|00391	0.00613385	0.010761377	0.00610295	0.008826691
demo|00098	0.013961919	0.01100626	0.017995917	0.009824097
demo|02615	1.121271819	1.011587934	1.295871041	0.950159689
demo|02107	0.263440809	0.284897744	0.214274778	0.228018635
demo|02599	0.10945305	0.123443267	0.041800643	0.108228506
demo|04793	0.024495159	0.06375257	0.021827909	0.040125333
demo|03121	0.298901417	0.418983025	0.261627601	0.441162973
