#UNIQUE-ID	TYPES	COMMON-NAME
ETOH-ACETYLCOA-ANA-PWY	Ethanol-Degradation;	ethanol degradation I;
PWY-4	UDP-Sugar-Biosynthesis;	UDP-&alpha;-D-galacturonate biosynthesis II (from D-galacturonate);
PWY-7246	Glycan-Degradation; Pectin-Degradation;	pectin degradation I;
PWY-5833	CDP-Sugar-Biosynthesis;	CDP-4-dehydro-3,6-dideoxy-D-glucose biosynthesis;
PWY-7199	Pyrimidine-Nucleotide-Salvage;	pyrimidine deoxyribonucleosides salvage;
PWY-6317	GALACTOSE-DEGRADATION;	D-galactose degradation I (Leloir pathway);
PWY-7336	UDP-Sugar-Biosynthesis;	UDP-<i>N</i>-acetyl-&alpha;-D-galactosaminuronate biosynthesis;
COA-PWY-1	CoA-Biosynthesis; Super-Pathways;	superpathway of coenzyme A biosynthesis III (mammals);
PWY-7016	Antibiotic-Biosynthesis;	neomycin biosynthesis;
TOLUENE-DEG-3-OH-PWY	TOLUENE-DEG;	toluene degradation to 2-hydroxypentadienoate (<I>via 4-methylcatechol</i>);
PWY-7998	Menaquinone-Biosynthesis;	menaquinol-4 biosynthesis II;
PWY-5640	Nitrobenzene-Degradation;	nitrobenzene degradation II;
PWY-4861	UDP-Sugar-Biosynthesis;	UDP-&alpha;-D-galacturonate biosynthesis I (from UDP-D-glucuronate);
PWY-7208	Pyrimidine-Nucleotide-Salvage; Super-Pathways;	superpathway of pyrimidine nucleobases salvage;
PWY-5470	ISOQUINOLINE-ALKALOIDS;	palmatine biosynthesis;
PWY-7941	Isorenieratene-Biosynthesis;	isorenieratene biosynthesis II (<i>Chlorobiaceae</i>);
PWY-7346	UDP-Sugar-Biosynthesis;	UDP-&alpha;-D-glucuronate biosynthesis (from UDP-glucose);
TOLUENE-DEG-DIOL-PWY	TOLUENE-DEG;	toluene degradation to 2-hydroxypentadienoate (<I>via</I> toluene-<I>cis</I>-diol);
PWY-6477	GIBBERELLINS-DEGRADATION; Gibberellin-Inactivation; Metabolic-Clusters;	gibberellin inactivation II (methylation);
PWY-5512	UDP-Nac-Galactosamine-Biosynthesis;	UDP-<i>N</i>-acetyl-D-galactosamine biosynthesis I;
PWY66-21	Ethanol-Degradation;	ethanol degradation II;
PWY-5941	Glycan-Degradation; Glycogen-Degradation;	glycogen degradation II;
ARGDEGRAD-PWY	ARGININE-DEG; Super-Pathways;	L-arginine degradation V (arginine deiminase pathway);
CITRULLINE-DEG-PWY	MISCELLANEOUS-DEG;	L-citrulline degradation;
PWY-6556	Pyrimidine-Nucleotide-Salvage; Pyrimidine-Ribonucleosides-Degradation;	pyrimidine ribonucleosides salvage II;
PWY-8013	UDP-Nac-Galactosamine-Biosynthesis;	UDP-<i>N</i>-acetyl-D-galactosamine biosynthesis III;
ORNARGDEG-PWY	ARGININE-DEG; Super-Pathways;	superpathway of L-arginine and L-ornithine degradation;
PWY-7851	CoA-Biosynthesis;	coenzyme A biosynthesis II (eukaryotic);
PWY-7018	Antibiotic-Biosynthesis;	paromomycin biosynthesis;
PWY-5481	Pyruvate-Lactate-Fermentation;	pyruvate fermentation to (<i>S</i>)-lactate;
PWY-5742	ARGININE-DEG;	L-arginine degradation IX (arginine:pyruvate transaminase pathway);
PWY-7700	TOLUENE-DEG;	4-methylphenol degradation to protocatechuate;
PWY-5514	UDP-Nac-Galactosamine-Biosynthesis;	UDP-<i>N</i>-acetyl-D-galactosamine biosynthesis II;
ARG-GLU-PWY	ARGININE-DEG;	L-arginine degradation VII (arginase 3 pathway);
HOMOSERSYN-PWY	Other-Amino-Acid-Biosynthesis;	L-homoserine biosynthesis;
PWY-6423	Protein-Degradation;	hemoglobin degradation;
ARGDEG-III-PWY	ARGININE-DEG;	L-arginine degradation IV (arginine decarboxylase/agmatine deiminase pathway);
PWY-7194	Pyrimidine-Nucleotide-Salvage; Super-Pathways;	pyrimidine nucleobases salvage II;
PWY-6337	ISOQUINOLINE-ALKALOIDS;	dehydroscoulerine biosynthesis;
ARGDEG-V-PWY	ARGININE-DEG;	L-arginine degradation X (arginine monooxygenase pathway);
TOLUENE-DEG-2-OH-PWY	TOLUENE-DEG;	toluene degradation to 2-hydroxypentadienoate I (<I>via</I> <i>o</I>-cresol);
AST-PWY	ARGININE-DEG;	L-arginine degradation II (AST pathway);
PWY1G-170	Formaldehyde-Oxidation;	formaldehyde oxidation III (mycothiol-dependent);
PWY66-162	Ethanol-Degradation;	ethanol degradation IV;
PWY-5024	ARGININE-DEG;	L-arginine degradation XI;
PWY-6717	Glycan-Degradation; Xylan-Degradation;	(1,4)-&beta;-D-xylan degradation;
PWY-7127	CDP-Sugar-Biosynthesis;	CDP-D-mannitol biosynthesis;
PWY-6054	Dimethylsulfoniopropionate-Biosynthesis;	dimethylsulfoniopropanoate biosynthesis I (Wollastonia);
PWY0-823	ARGININE-DEG;	L-arginine degradation III (arginine decarboxylase/agmatinase pathway);
PWY-7205	Pyrimidine-Nucleotide-Salvage;	CMP phosphorylation;
PWY66-422	GALACTOSE-DEGRADATION;	D-galactose degradation V (Leloir pathway);
ARGASEDEG-PWY	ARGININE-DEG; GLUTAMATE-SYN;	L-arginine degradation I (arginase pathway);
COA-PWY	CoA-Biosynthesis;	coenzyme A biosynthesis I (prokaryotic);
PWY-7019	Antibiotic-Biosynthesis;	butirosin biosynthesis;
ARGDEG-PWY	ARGININE-DEG; Super-Pathways;	superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation;
TOLUENE-DEG-CATECHOL-PWY	TOLUENE-DEG;	toluene degradation to benzoate;
PWY-5637	Nitrobenzene-Degradation;	nitrobenzene degradation I;
PWY-3061	MONOTERPENOID-SYN;	menthol biosynthesis;
ARGORNPROST-PWY	ARGININE-DEG; Super-Pathways;	L-arginine degradation (Stickland reaction);
PWY-6196	D-Amino-Acid-Degradation; Other-Amino-Acid-Biosynthesis; Super-Pathways;	D-serine metabolism;
PWY-7523	ARGININE-DEG;	L-arginine degradation XII;
PWY-7193	Pyrimidine-Nucleotide-Salvage;	pyrimidine ribonucleosides salvage I;
PWY-7757	Phenolic-Compounds-Degradation;	bisphenol A degradation;
ARG-PRO-PWY	ARGININE-DEG; PROLINE-SYN;	L-arginine degradation VI (arginase 2 pathway);
PWY-6401	AURONE-SYN;	hispidol and hispidol 4'-<i>O</i>-&beta;-<i>D</i>-glucoside biosynthesis;
ARGDEG-IV-PWY	ARGININE-DEG;	L-arginine degradation VIII (arginine oxidase pathway);
PWY-81	TOLUENE-DEG;	toluene degradation to benzoyl-CoA (anaerobic);
PWY-102	GIBBERELLINS-DEGRADATION; Gibberellin-Inactivation; Metabolic-Clusters;	gibberellin inactivation I (2&beta;-hydroxylation);
PWY-1081	Glycan-Degradation; Pectin-Degradation;	homogalacturonan degradation;
PWY-7650	LIPOPEPTIDE-BIOSYNTHESIS;	echinocandin B biosynthesis;
PWY-6334	MISCELLANEOUS-DEG;	L-dopa degradation;
PWY-7196	Pyrimidine-Nucleotide-Salvage; Super-Pathways;	superpathway of pyrimidine ribonucleosides salvage;
PWY-4221	CoA-Biosynthesis; Super-Pathways;	superpathway of coenzyme A biosynthesis II (plants);
PWY-7020	Antibiotic-Biosynthesis; Super-Pathways;	superpathway of butirocin biosynthesis;
TOLUENE-DEG-4-OH-PWY	TOLUENE-DEG;	toluene degradation to 4-methylphenol;
PWY-7097	Vanillin-Degradation;	vanillin and vanillate degradation I;
PWY-7649	Other-Amino-Acid-Biosynthesis;	3-hydroxy-<i>L</i>-homotyrosine biosynthesis;
PWY-7200	Pyrimidine-Nucleotide-Salvage; Super-Pathways;	superpathway of pyrimidine deoxyribonucleoside salvage;
PWY-1901	AURONE-SYN;	aurone biosynthesis;
PWY4FS-7	PhosphatidylglycerolBiosynthesis; Super-Pathways;	phosphatidylglycerol biosynthesis I (plastidic);
PWY-7703	TOLUENE-DEG;	2,4-xylenol degradation to protocatechuate;
PWY-7098	Vanillin-Degradation;	vanillin and vanillate degradation II;
PWY-6576	Glycan-Degradation; Glycosaminoglycan-Degradation;	dermatan sulfate degradation (metazoa);
PWY-5823	CDP-Sugar-Biosynthesis; Super-Pathways;	superpathway of CDP-glucose-derived O-antigen building blocks biosynthesis;
PWY-6053	Dimethylsulfoniopropionate-Biosynthesis;	dimethylsulfoniopropanoate biosynthesis III (algae);
PWY4FS-8	PhosphatidylglycerolBiosynthesis; Super-Pathways;	phosphatidylglycerol biosynthesis II (non-plastidic);
PWY-7021	Antibiotic-Biosynthesis; Super-Pathways;	superpathway of neomycin biosynthesis;
PWY-6942	dTDP-Sugar-Biosynthesis;	dTDP-D-desosamine biosynthesis;
PWY-5359	Tetrathionate-Reduction;	tetrathionate reductiuon II (to trithionate);
PWY-5645	Nitrobenzene-Degradation;	4-chloronitrobenzene degradation;
PWY-5829	MONOTERPENOID-SYN;	geraniol and geranial biosynthesis;
PWY-5344	Other-Amino-Acid-Biosynthesis;	L-homocysteine biosynthesis;
PWY-6325	FLAVONOID-SYN;	echinatin biosynthesis;
P281-PWY	Phenolic-Compounds-Degradation; Super-Pathways;	3-phenylpropanoate degradation;
PWY-7440	dTDP-Sugar-Biosynthesis;	dTDP-&beta;-L-4-<i>epi</i>-vancosamine biosynthesis;
PWY-6791	Glycan-Degradation; Xyloglucan-Degradation;	xyloglucan degradation I (endoglucanase);
PWY-4021	Betaine-Biosynthesis; MISCELLANEOUS-DEG;	&beta;-alanine betaine biosynthesis;
PWY-7397	FLAVONOID-SYN;	naringenin biosynthesis (engineered);
PWY-7025	Antibiotic-Biosynthesis;	gentamicin biosynthesis;
PWY-6974	dTDP-Sugar-Biosynthesis;	dTDP-L-olivose biosynthesis;
PWY-6507	Sugar-Derivatives;	4-deoxy-L-<i>threo</i>-hex-4-enopyranuronate degradation;
PWY-6936	Other-Amino-Acid-Biosynthesis;	seleno-amino acid biosynthesis (plants);
PWY-6232	FLAVONOID-SYN;	chrysoeriol biosynthesis;
PWY-6765	Hydrogen-Production;	hydrogen production IV;
PWY-7814	dTDP-Sugar-Biosynthesis;	dTDP-L-daunosamine biosynthesis;
PWY-842	Glycan-Degradation; Starch-Degradation;	starch degradation I;
PWY-5832	CDP-Sugar-Biosynthesis;	CDP-paratose biosynthesis;
PWY-6055	Dimethylsulfoniopropionate-Biosynthesis;	dimethylsulfoniopropanoate biosynthesis II (Spartina);
PWY-6787	FLAVONOID-SYN;	flavonoid biosynthesis (in equisetum);
PWY-7045	Antibiotic-Biosynthesis;	mithramycin biosynthesis;
PWY-7301	dTDP-Sugar-Biosynthesis;	dTDP-4-<i>O</i>-demethyl-&beta;-L-noviose biosynthesis;
PWY-5132	TERPENOPHENOLICS-SYN;	lupulone and humulone biosynthesis;
PWY-6436	MONOTERPENOID-SYN;	perillyl aldehyde biosynthesis;
PWY-7648	Other-Amino-Acid-Biosynthesis;	4-methyl-proline biosynthesis;
PWY1QP9-2	Sugar-Derivatives;	fructosyllysine and glucosyllysine degradation;
PWY1F-FLAVSYN	FLAVONOID-SYN;	flavonoid biosynthesis;
PWY-6785	Hydrogen-Production;	hydrogen production VIII;
PWY-5140	TERPENOPHENOLICS-SYN;	cannabinoid biosynthesis;
PWY-6690	Phenolic-Compounds-Degradation;	cinnamate and 3-hydroxycinnamate degradation to 2-hydroxypentadienoate;
PWY-7316	dTDP-Sugar-Biosynthesis;	dTDP-<i>N</i>-acetylviosamine biosynthesis;
PWY-7857	TERPENOPHENOLICS-SYN;	adlupulone and adhumulone biosynthesis;
GLYCOCAT-PWY	Glycan-Degradation; Glycogen-Degradation;	glycogen degradation I;
PWY-1781	Beta-Alanine-Degradation;	&beta;-alanine degradation II;
PWY-6029	FLAVONOID-SYN; Metabolic-Clusters;	2,3-<i>trans</i>-flavanols biosynthesis;
PWY-7105	TERPENOPHENOLICS-SYN;	olivetol biosynthesis;
