#Compounds	Process/Gene type	Gene	ID	Hmm database	Cutoff Score
Sulfur	Sulfide oxidation	fcc	PF09242	Pfam	266
Sulfur	Sulfide oxidation	Sqr	sqr_alignment	Custom	300
Sulfur	Sulfite reduction	dsrD	PF08679	Pfam	50
Sulfur	Sulfur oxidation	dsrA	TIGR02064	TIGRfam	223
Sulfur	Sulfur oxidation	dsrB	TIGR02066	TIGRfam	205
Sulfur	Sulfur oxidation	sor	PF07682	Pfam	300
Sulfur	Sulfur oxidation	sulfur dioxygenase	sulfur_dioxygenase_sdo_alignment	Custom	120
Sulfur	thiosulfate oxidation	soxB	TIGR04486	TIGRfam	375
Sulfur	thiosulfate oxidation	soxY	TIGR04488	TIGRfam	125
Sulfur	thiosulfate oxidation	soxC	TIGR04555	TIGRfam	330
Sulfur	Sulfate reduction	asrA	TIGR02910	TIGRfam	223
Sulfur	Sulfate reduction	asrB	TIGR02911	TIGRfam	226
Sulfur	Sulfate reduction	asrC	TIGR02912	TIGRfam	194
Sulfur	Sulfate reduction	aprA	TIGR02061	TIGRfam	326
Sulfur	Sulfate reduction	sat	TIGR00339	TIGRfam	181
Sulfur	Sulfate reduction	cysC	TIGR00455	TIGRfam	133
Sulfur	Sulfate reduction	cysN	TIGR02034	TIGRfam	327
Sulfur	Thiosulfate disproportionation	phsA	thiosulfate_reductase_phsA_alignment	Custom	323
Hydrogen	FeFe hydrogenase	Group B1/B3	TIGR04105	TIGRfam	380
Hydrogen	FeFe hydrogenase	Group A	TIGR02512	TIGRfam	300
Hydrogen	Ni-Fe Hydrogenase	Group 1	Hydrogenase_Vignais_Group_1_alignment	Custom	411
Hydrogen	Ni-Fe Hydrogenase	Group 2a	Hydrogenase_Vignais_Group_2a_alignment	Custom	472
Hydrogen	Ni-Fe Hydrogenase	Group 2b	Hydrogenase_Vignais_Group_2b_alignment	Custom	555
Hydrogen	Ni-Fe Hydrogenase	Group 3a	Hydrogenase_Vignais_Group_3a_alignment	Custom	368
Hydrogen	Ni-Fe Hydrogenase	Group 3b	Hydrogenase_Vignais_Group_3b_alignment	Custom	303
Hydrogen	Ni-Fe Hydrogenase	Group 3c	Hydrogenase_Vignais_Group_3c_alignment	Custom	575
Hydrogen	Ni-Fe Hydrogenase	Group 3d	Hydrogenase_Vignais_Group_3d_alignment	Custom	541
Hydrogen	Ni-Fe Hydrogenase	Group 4	Hydrogenase_Vignais_Group_4_alignment	Custom	430
Methane	Methane oxidation - Partculate methane monooxygenase	pmoA	TIGR03080	TIGRfam	92
Methane	Methane oxidation - Partculate methane monooxygenase	pmoB	TIGR03079	TIGRfam	202
Methane	Methane oxidation - Partculate methane monooxygenase	pmoC	TIGR03078	TIGRfam	124
Methane	Methane oxidation - Soluble methane monoxygenase	mmoB	PF02406	Pfam	-
Methane	Methane oxidation - Soluble methane monoxygenase	mmoD	TIGR04550	TIGRfam	-
Methane	Methane production	mcr alpha	TIGR03256	TIGRfam	314
Methane	Methane production	mcr beta	TIGR03257	TIGRfam	173
Methane	Methane production	mcr gamma	TIGR03259	TIGRfam	171
Nitrogen	Ammonia oxidation	pmoA	TIGR03080	TIGRfam	92
Nitrogen	Ammonia oxidation	pmoB	TIGR03079	TIGRfam	202
Nitrogen	Ammonia oxidation	pmoC	TIGR03078	TIGRfam	124
Nitrogen	N2 fixation	Fe only alpha	TIGR01861	TIGRfam	873
Nitrogen	N2 fixation	Fe only beta	TIGR02931	TIGRfam	853
Nitrogen	N2 fixation	Fe only delta	TIGR02929	TIGRfam	124
Nitrogen	N2 fixation	Mo-Fe type Alpha	TIGR01282	TIGRfam	503
Nitrogen	N2 fixation	Mo-Fe type beta	TIGR01286	TIGRfam	414
Nitrogen	N2 fixation	Vanadium-type alpha	TIGR01860	TIGRfam	822
Nitrogen	N2 fixation	Vanadium-type beta	TIGR02932	TIGRfam	821
Nitrogen	N2 fixation	Vanadium-type delta	TIGR02930	TIGRfam	122
Nitrogen	N2 fixation	nifH	TIGR01287	TIGRfam	261
Nitrogen	Nitrite oxidation	nxrA	nxrA_alignment	Custom	370
Nitrogen	Nitrite oxidation	nxrB	nxrB_alignment	Custom	252
Nitrogen	Nitrate reduction	napA	TIGR01706	TIGRfam	472
Nitrogen	Nitrate reduction	napB	PF03892	Pfam	23.9
Nitrogen	Nitrate reduction	narG	TIGR01580	TIGRfam	600
Nitrogen	Nitrate reduction	narH	TIGR01660 	TIGRfam	348
Nitrogen	Nitrite reduction	cyt c552 small NrfH	TIGR03153	TIGRfam	75
Nitrogen	Nitrite reduction	cyt c552 large NrFA	PF02335	Pfam	57
Nitrogen	Nitrite reduction	cyt c552 large NrFA	PF02335/TIGR03152 	Pfam/TIGRfam	576
Nitrogen	Nitrite reduction	nrfD	TIGR03148	TIGRfam	300
Nitrogen	Nitrite reduction	NirB	TIGR02374	TIGRfam	442
Nitrogen	Nitrite reduction	NirD	TIGR02378	TIGRfam	69
Nitrogen	Nitrite reduction	nirK	TIGR02376	TIGRfam	169
Nitrogen	Nitrite reduction	nirS	nirS_alignment	Custom	200
Nitrogen	Nitric oxide reduction	norB	norB_alignment	Custom	79
Nitrogen	Nitric oxide reduction	norC	norC_alignment	Custom	50
Nitrogen	Nitrous oxide reduction	nosD	PF05048/TIGR04247	Pfam/TIGRfam	290
Nitrogen	Nitrous oxide reduction	nosZ	TIGR04246	TIGRfam	550
Nitrogen	Anammox	hzoA	hzoA_alignment	Custom 	325
Nitrogen	Anammox	hzsA	hzsA_alignment	Custom	466
Nitrogen	Octaheme c-type cytochrome Shewanella-type	octR	TIGR04315	TIGRfam	325
Oxygen	Cytochrome c oxidase, caa3-type	CoxA	TIGR02891	TIGRfam	617
Oxygen	Cytochrome c oxidase, caa3-type	CoxB	TIGR02866	TIGRfam	144
Oxygen	Cytochrome c oxidase, cbb3-type	ccoN	TIGR00780	TIGRfam	168
Oxygen	Cytochrome c oxidase, cbb3-type	ccoO	TIGR00781	TIGRfam	62
