#Gene	Start	End	Length	Strand	Contig	Source	Feature	Taxonomy
demo|00307	5204	5275	72	-1	bin00.contig0002	aragorn	tRNA	unknow
demo|00596	126904	126993	90	1	bin00.contig0003	aragorn	tRNA	unknow
demo|00700	77636	77709	74	-1	bin00.contig0004	aragorn	tRNA	unknow
demo|00747	20134	20220	87	-1	bin00.contig0005	aragorn	tRNA	unknow
demo|00857	11964	12037	74	1	bin00.contig0006	aragorn	tRNA	unknow
demo|00893	45538	45609	72	1	bin00.contig0006	aragorn	tRNA	unknow
demo|01029	83176	83247	72	-1	bin00.contig0007	aragorn	tRNA	unknow
demo|01131	78933	79008	76	1	bin00.contig0008	aragorn	tRNA	unknow
demo|01260	24319	24393	75	1	bin00.contig0010	aragorn	tRNA	unknow
demo|01328	84784	84874	91	-1	bin00.contig0010	aragorn	tRNA	unknow
demo|01656	50671	50744	74	-1	bin00.contig0014	aragorn	tRNA	unknow
demo|01787	13576	13647	72	-1	bin00.contig0016	aragorn	tRNA	unknow
demo|01886	39889	39961	73	1	bin00.contig0017	aragorn	tRNA	unknow
demo|01918	65768	65840	73	-1	bin00.contig0017	aragorn	tRNA	unknow
demo|01984	46269	46355	87	-1	bin00.contig0018	aragorn	tRNA	unknow
demo|02062	40248	40329	82	1	bin00.contig0019	aragorn	tRNA	unknow
demo|02438	47339	47412	74	-1	bin00.contig0024	aragorn	tRNA	unknow
demo|02571	42448	42520	73	-1	bin00.contig0026	aragorn	tRNA	unknow
demo|02599	13324	13395	72	1	bin00.contig0027	aragorn	tRNA	unknow
demo|02711	11185	11258	74	1	bin00.contig0029	aragorn	tRNA	unknow
demo|02761	2494	2565	72	1	bin00.contig0030	aragorn	tRNA	unknow
demo|02800	40608	40681	74	-1	bin00.contig0030	aragorn	tRNA	unknow
demo|02916	49103	49176	74	-1	bin00.contig0032	aragorn	tRNA	unknow
demo|03189	15742	15814	73	1	bin00.contig0038	aragorn	tRNA	unknow
demo|03276	206	292	87	1	bin00.contig0040	aragorn	tRNA	unknow
demo|03568	17663	17758	96	1	bin00.contig0047	aragorn	tRNA	unknow
demo|03670	1585	1658	74	-1	bin00.contig0050	aragorn	tRNA	unknow
demo|03699	21120	21204	85	-1	bin00.contig0050	aragorn	tRNA	unknow
demo|03703	26650	26725	76	-1	bin00.contig0050	aragorn	tRNA	unknow
demo|04196	1127	1198	72	-1	bin00.contig0066	aragorn	tRNA	unknow
demo|04197	1206	1289	84	-1	bin00.contig0066	aragorn	tRNA	unknow
demo|04207	7471	7542	72	-1	bin00.contig0066	aragorn	tRNA	unknow
demo|04255	3973	4056	84	1	bin00.contig0068	aragorn	tRNA	unknow
demo|04330	11494	11567	74	-1	bin00.contig0070	aragorn	tRNA	unknow
demo|04387	12171	12244	74	-1	bin00.contig0073	aragorn	tRNA	unknow
demo|04472	4815	4889	75	1	bin00.contig0077	aragorn	tRNA	unknow
demo|04644	14629	14702	74	-1	bin00.contig0085	aragorn	tRNA	unknow
demo|04666	2228	2303	76	1	bin00.contig0087	aragorn	tRNA	unknow
demo|04712	15083	15156	74	-1	bin00.contig0088	aragorn	tRNA	unknow
demo|04739	11564	11639	76	-1	bin00.contig0090	aragorn	tRNA	unknow
demo|04762	9986	10070	85	1	bin00.contig0092	aragorn	tRNA	unknow
demo|05214	405	493	89	1	bin00.contig0156	aragorn	tRNA	unknow
demo|05256	8	78	71	-1	bin00.contig0183	aragorn	tRNA	unknow
demo|05286	118	192	75	-1	bin00.contig0204	aragorn	tRNA	unknow
demo|05287	230	305	76	-1	bin00.contig0204	aragorn	tRNA	unknow
