#Gene	Contig	Start	End	Gene_Length	Strand	SP	TM	ec_id	ec_name	Taxonomy
metaerg.pl|00012	NODE_1_length_345883_cov_22.9161	1964	3148	1185	1	No	0	2.5.1.6	"Methionine adenosyltransferase."	"d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium olivapovliticus"
metaerg.pl|00015	NODE_1_length_345883_cov_22.9161	4393	4980	588	1	No	4	2.7.8.5	"CDP-diacylglycerol--glycerol-3-phosphate 1-phosphatidyltransferase."	"d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium olivapovliticus"
metaerg.pl|00017	NODE_1_length_345883_cov_22.9161	5117	6397	1281	1	No	0	3.5.-.-	"Acting on carbon-nitrogen bonds, other than peptide bonds."	"d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium pelagium"
metaerg.pl|00019	NODE_1_length_345883_cov_22.9161	7795	9357	1563	1	No	1	3.1.-.-	"Acting on ester bonds."	"d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium thalassium"
metaerg.pl|00021	NODE_1_length_345883_cov_22.9161	9497	10303	807	1	No	0	3.1.4.16	"2',3'-cyclic-nucleotide 2'-phosphodiesterase."	"d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium sp001885615"
metaerg.pl|00024	NODE_1_length_345883_cov_22.9161	14870	15304	435	1	No	0	1.8.4.12	"Peptide-methionine (R)-S-oxide reductase."	"d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium olivapovliticus"
metaerg.pl|00024	NODE_1_length_345883_cov_22.9161	14870	15304	435	1	No	0	1.8.4.-	"With a disulfide as acceptor."	"d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium olivapovliticus"
metaerg.pl|00025	NODE_1_length_345883_cov_22.9161	15402	16016	615	1	No	0	3.6.4.12	"DNA helicase."	"d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium olivapovliticus"
metaerg.pl|00026	NODE_1_length_345883_cov_22.9161	16056	17069	1014	1	No	0	3.6.4.12	"DNA helicase."	"d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium olivapovliticus"
metaerg.pl|00027	NODE_1_length_345883_cov_22.9161	17083	18123	1041	1	No	0	2.4.99.17	"S-adenosylmethionine:tRNA ribosyltransferase-isomerase."	"d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium pelagium"
metaerg.pl|00028	NODE_1_length_345883_cov_22.9161	18141	19286	1146	1	No	0	2.4.2.29	"tRNA-guanine(34) transglycosylase."	"d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium olivapovliticus"
metaerg.pl|00033	NODE_1_length_345883_cov_22.9161	20260	21414	1155	1	No	0	2.7.7.7	"DNA-directed DNA polymerase."	"d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium olivapovliticus"
metaerg.pl|00035	NODE_1_length_345883_cov_22.9161	22739	23719	981	1	No	0	3.1.-.-	"Acting on ester bonds."	"d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium olivapovliticus"
metaerg.pl|00036	NODE_1_length_345883_cov_22.9161	23791	25908	2118	1	No	1	2.4.1.129	"Peptidoglycan glycosyltransferase."	"d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium olivapovliticus"
metaerg.pl|00036	NODE_1_length_345883_cov_22.9161	23791	25908	2118	1	No	1	3.4.16.4	"Serine-type D-Ala-D-Ala carboxypeptidase."	"d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium olivapovliticus"
metaerg.pl|00042	NODE_1_length_345883_cov_22.9161	30497	31465	969	1	No	0	3.1.-.-	"Acting on ester bonds."	"d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium pelagium"
