demo|00008	3.5.2.9
demo|00011	1.14.19.6
demo|00017	2.3.1.-
demo|00026	3.5.2.3
demo|00027	3.4.21.89
demo|00035	6.1.1.10
demo|00037	2.3.1.-
demo|00038	4.1.2.4
demo|00046	4.1.1.-
demo|00052	1.1.1.94
demo|00060	3.6.3.-
demo|00062	2.7.1.24
demo|00063	2.5.1.-
demo|00064	2.7.11.1
demo|00068	2.6.1.1
demo|00072	2.7.2.4
demo|00073	5.4.99.25
demo|00083	4.-.-.-
demo|00084	4.-.-.-
demo|00097	3.1.11.6
demo|00098	3.1.11.6
demo|00100	1.3.1.33
demo|00101	1.3.7.7
demo|00103	1.3.7.7
demo|00108	3.1.3.69
demo|00109	1.8.1.9
demo|00113	2.1.1.-
demo|00123	3.1.-.-
demo|00125	2.1.1.-
demo|00127	1.8.1.4
demo|00133	4.2.1.3
demo|00160	2.3.1.181
demo|00163	3.1.3.7
demo|00164	1.8.5.-
demo|00170	1.3.1.42
demo|00173	5.1.3.2
demo|00183	5.1.3.1
demo|00191	2.7.7.-
demo|00197	1.3.1.83
demo|00197	1.3.1.-
demo|00198	4.1.1.48
demo|00200	1.12.-.-
demo|00204	6.1.1.6
demo|00221	7.3.2.7
demo|00221	3.6.1.-
demo|00232	2.1.1.137
demo|00236	2.6.1.83
demo|00237	3.1.3.71
demo|00240	2.7.2.8
demo|00242	2.7.1.71
demo|00244	4.1.1.19
demo|00250	1.17.7.4
demo|00250	1.17.1.2
demo|00255	5.4.99.18
demo|00255	4.1.1.21
demo|00256	3.5.1.-
demo|00256	3.5.1.25
demo|00262	7.1.1.6
demo|00271	1.1.1.374
demo|00277	3.1.1.29
demo|00295	1.3.1.9
demo|00306	3.6.4.12
demo|00313	3.4.24.-
demo|00317	2.4.2.29
demo|00322	3.2.1.1
demo|00325	1.4.3.19
demo|00325	2.8.1.10
demo|00329	2.3.1.182
demo|00333	3.4.24.-
demo|00335	2.1.1.74
demo|00339	5.4.2.2
demo|00359	3.1.-.-
demo|00364	6.3.5.-
demo|00380	3.1.26.-
demo|00380	3.1.4.-
demo|00381	3.1.26.4
demo|00388	2.5.1.145
demo|00388	2.4.99.-
demo|00395	7.3.2.1
demo|00395	3.6.3.27
demo|00396	2.7.1.49
demo|00396	2.7.1.49 2.7.4.7
demo|00400	1.2.1.88
demo|00408	2.7.7.10
demo|00409	3.5.99.10
demo|00412	7.2.2.12
demo|00412	3.6.3.-
demo|00417	2.1.1.207
demo|00418	6.3.2.2
demo|00429	7.6.2.11
demo|00429	3.6.3.31
demo|00430	3.4.16.4
demo|00433	4.2.1.24
demo|00434	4.1.99.22
demo|00435	2.1.2.9
demo|00440	2.4.2.7
demo|00446	2.1.1.44
demo|00465	3.1.1.85
demo|00468	2.1.1.-
demo|00469	3.1.26.-
demo|00471	6.3.5.5
demo|00472	1.1.1.267
demo|00474	2.7.7.7
demo|00486	2.7.2.3
demo|00489	4.1.99.17
demo|00492	1.10.3.9
demo|00494	3.-.-.-
demo|00495	1.4.3.19
demo|00497	6.3.3.3
demo|00505	2.7.1.167
demo|00505	2.7.7.70
demo|00512	6.5.1.2
demo|00516	2.7.13.3
demo|00517	5.6.2.3
demo|00519	2.1.1.193
demo|00519	2.1.1.-
demo|00532	6.3.2.13
demo|00536	3.1.25.-
demo|00552	2.1.1.216
demo|00556	2.7.1.40
demo|00567	2.7.6.3
demo|00569	4.1.99.3
demo|00581	1.-.-.-
demo|00582	1.-.-.-
demo|00585	1.1.1.65
demo|00594	5.3.1.8
demo|00594	2.7.7.13
demo|00597	2.7.4.9
demo|00601	1.1.1.-
demo|00607	1.1.1.103
demo|00608	3.2.2.-
demo|00615	1.14.-.-
demo|00623	2.5.1.16
demo|00638	1.1.1.85
demo|00639	5.4.99.5
demo|00639	4.2.1.51
demo|00640	4.-.-.-
demo|00646	2.3.3.13
demo|00652	1.8.3.7
demo|00660	1.3.5.6
demo|00671	7.2.2.9
demo|00671	3.6.3.-
demo|00672	3.6.3.-
demo|00677	2.4.1.-
demo|00679	5.1.3.34
demo|00684	1.14.99.44
demo|00684	1.3.99.-
demo|00685	3.4.24.-
demo|00701	4.6.1.17
demo|00706	2.3.1.179
demo|00707	2.2.1.1
demo|00710	2.8.4.4
demo|00710	2.1.1.- 2.8.1.-
demo|00719	3.6.4.-
demo|00743	6.3.4.13
demo|00745	5.4.3.8
demo|00750	3.6.3.-
demo|00757	6.3.4.21
demo|00758	2.7.7.18
demo|00760	6.3.5.1
demo|00760	6.3.1.5
demo|00769	1.3.5.2
demo|00769	1.3.98.1
demo|00770	1.1.1.95
demo|00771	2.1.1.-
demo|00779	6.1.1.19
demo|00780	2.7.4.3
demo|00781	3.5.4.13
demo|00785	4.1.99.12
demo|00785	3.5.4.25
demo|00794	2.5.1.75
demo|00795	5.6.2.3
demo|00795	5.99.1.3
demo|00799	1.13.11.18
demo|00802	3.1.3.48
demo|00804	1.3.1.98
demo|00805	6.3.2.8
demo|00808	1.2.1.59
demo|00808	1.2.1.-
demo|00812	3.4.16.4
demo|00819	2.4.1.18
demo|00824	3.4.-.-
