#kegg_pathway_id	kegg_pathway_name	total_family_in_pathway	total_family_found_in_pathway	ko	ko_name	gene_num
00530	Aminosugars metabolism	38	17	K00075	murB	10
00530	Aminosugars metabolism	38	17	K00326	E1.6.2.2	3
00530	Aminosugars metabolism	38	17	K00698	CHS1	13
00530	Aminosugars metabolism	38	17	K00790	murA	2
00530	Aminosugars metabolism	38	17	K00820	E2.6.1.16, glmS	8
00530	Aminosugars metabolism	38	17	K00972	E2.7.7.23, UAP1	12
00530	Aminosugars metabolism	38	17	K01183	E3.2.1.14	28
00530	Aminosugars metabolism	38	17	K01207	E3.2.1.52, nagZ	16
00530	Aminosugars metabolism	38	17	K01443	E3.5.1.25, nagA, AMDHD2	5
00530	Aminosugars metabolism	38	17	K01836	E5.4.2.3	1
00530	Aminosugars metabolism	38	17	K02472	wecC	3
00530	Aminosugars metabolism	38	17	K02474	wbpO	3
00530	Aminosugars metabolism	38	17	K02564	nagB, GNPDA	1
00530	Aminosugars metabolism	38	17	K03431	glmM	8
00530	Aminosugars metabolism	38	17	K04042	glmU	26
00530	Aminosugars metabolism	38	17	K07106	murQ	1
00530	Aminosugars metabolism	38	17	K11528	K11528	19
00510	N-Glycan biosynthesis	35	7	K00721	DPM1	14
00510	N-Glycan biosynthesis	35	7	K00729	ALG5	9
00510	N-Glycan biosynthesis	35	7	K00810	E2.5.1.-	1
00510	N-Glycan biosynthesis	35	7	K00902	E2.7.1.108	3
00510	N-Glycan biosynthesis	35	7	K03844	ALG11	17
00510	N-Glycan biosynthesis	35	7	K07432	ALG13	2
00510	N-Glycan biosynthesis	35	7	K07441	ALG14	2
00450	Selenoamino acid metabolism	22	19	K00392	E1.8.7.1, sir	5
00450	Selenoamino acid metabolism	22	19	K00394	E1.8.99.2A, aprA	5
00450	Selenoamino acid metabolism	22	19	K00395	E1.8.99.2B, aprB	7
00450	Selenoamino acid metabolism	22	19	K00599	E2.1.1.-	50
00450	Selenoamino acid metabolism	22	19	K00681	E2.3.2.2, ggt	8
00450	Selenoamino acid metabolism	22	19	K00789	E2.5.1.6, metK	3
00450	Selenoamino acid metabolism	22	19	K00860	E2.7.1.25, cysC	20
00450	Selenoamino acid metabolism	22	19	K00956	E2.7.7.4A, cysN	21
00450	Selenoamino acid metabolism	22	19	K00958	E2.7.7.4C, met3	2
00450	Selenoamino acid metabolism	22	19	K01008	E2.7.9.3, selD	19
00450	Selenoamino acid metabolism	22	19	K01042	E2.9.1.1, selA	1
00450	Selenoamino acid metabolism	22	19	K01251	E3.3.1.1, ahcY	3
00450	Selenoamino acid metabolism	22	19	K01697	E4.2.1.22, CBS	40
00450	Selenoamino acid metabolism	22	19	K01738	E2.5.1.47, cysK	24
00450	Selenoamino acid metabolism	22	19	K01739	E2.5.1.48, metB	4
00450	Selenoamino acid metabolism	22	19	K01758	E4.4.1.1	2
00450	Selenoamino acid metabolism	22	19	K01760	E4.4.1.8, metC	12
00450	Selenoamino acid metabolism	22	19	K01761	E4.4.1.11	1
00450	Selenoamino acid metabolism	22	19	K01874	E6.1.1.10, metG	2
00760	Nicotinate and nicotinamide metabolism	30	21	K00157	E1.2.3.1, AOX1	6
00760	Nicotinate and nicotinamide metabolism	30	21	K00278	E1.4.3.16, nadB	7
00760	Nicotinate and nicotinamide metabolism	30	21	K00322	E1.6.1.1, udhA	4
00760	Nicotinate and nicotinamide metabolism	30	21	K00324	E1.6.1.2A, pntA	5
00760	Nicotinate and nicotinamide metabolism	30	21	K00325	E1.6.1.2B, pntB	6
00760	Nicotinate and nicotinamide metabolism	30	21	K00763	E2.4.2.11, pncB	4
00760	Nicotinate and nicotinamide metabolism	30	21	K00767	E2.4.2.19, nadC	1
00760	Nicotinate and nicotinamide metabolism	30	21	K00858	E2.7.1.23	11
00760	Nicotinate and nicotinamide metabolism	30	21	K00952	E2.7.7.1, nadR	4
00760	Nicotinate and nicotinamide metabolism	30	21	K00969	E2.7.7.18, nadD	5
00760	Nicotinate and nicotinamide metabolism	30	21	K01081	E3.1.3.5, ushA	12
00760	Nicotinate and nicotinamide metabolism	30	21	K01239	E3.2.2.1, iunH	2
00760	Nicotinate and nicotinamide metabolism	30	21	K01513	E3.6.1.9	2
00760	Nicotinate and nicotinamide metabolism	30	21	K01916	E6.3.1.5	2
00760	Nicotinate and nicotinamide metabolism	30	21	K01950	E6.3.5.1, nadE	1
00760	Nicotinate and nicotinamide metabolism	30	21	K03517	NADA	3
00760	Nicotinate and nicotinamide metabolism	30	21	K03783	PUNA	2
00760	Nicotinate and nicotinamide metabolism	30	21	K03784	DEOD	3
00760	Nicotinate and nicotinamide metabolism	30	21	K06989	E1.4.1.21	1
00760	Nicotinate and nicotinamide metabolism	30	21	K08722	YFBR	1
00760	Nicotinate and nicotinamide metabolism	30	21	K08723	YJJG	1
00062	Fatty acid elongation in mitochondria	8	6	K00022	E1.1.1.35, fadB	50
00062	Fatty acid elongation in mitochondria	8	6	K07508	ACAA2	15
00062	Fatty acid elongation in mitochondria	8	6	K07509	HADHB	16
00062	Fatty acid elongation in mitochondria	8	6	K07511	ECHS1	16
00062	Fatty acid elongation in mitochondria	8	6	K07512	MECR, NRBF1	2
00062	Fatty acid elongation in mitochondria	8	6	K07515	HADHA1	35
00330	Arginine and proline metabolism	53	26	K00261	E1.4.1.3	9
00330	Arginine and proline metabolism	53	26	K00273	E1.4.3.3, DAO	1
00330	Arginine and proline metabolism	53	26	K00286	E1.5.1.2, proC	4
00330	Arginine and proline metabolism	53	26	K00294	E1.5.1.12, putA	22
00330	Arginine and proline metabolism	53	26	K00318	E1.5.99.8, putA	17
00330	Arginine and proline metabolism	53	26	K00491	E1.14.13.39, nos	2
00330	Arginine and proline metabolism	53	26	K00611	E2.1.3.3, OTC, argF, argI	5
00330	Arginine and proline metabolism	53	26	K00812	E2.6.1.1A, aspB	6
00330	Arginine and proline metabolism	53	26	K00813	E2.6.1.1B, aspC	1
00330	Arginine and proline metabolism	53	26	K00819	E2.6.1.13, rocD	2
00330	Arginine and proline metabolism	53	26	K00824	E2.6.1.21, dat	2
00330	Arginine and proline metabolism	53	26	K00926	E2.7.2.2, arcC	1
00330	Arginine and proline metabolism	53	26	K01259	E3.4.11.5, pip	13
00330	Arginine and proline metabolism	53	26	K01470	E3.5.2.10	3
00330	Arginine and proline metabolism	53	26	K01473	E3.5.2.14A, hyuA	2
00330	Arginine and proline metabolism	53	26	K01474	E3.5.2.14B, hyuB	2
00330	Arginine and proline metabolism	53	26	K01478	E3.5.3.6, arcA	1
00330	Arginine and proline metabolism	53	26	K01571	E4.1.1.3A, oadA	23
00330	Arginine and proline metabolism	53	26	K01625	eda	2
00330	Arginine and proline metabolism	53	26	K01750	E4.3.1.12, ocd	2
00330	Arginine and proline metabolism	53	26	K01755	E4.3.2.1, argH	11
00330	Arginine and proline metabolism	53	26	K01881	E6.1.1.15, proS	4
00330	Arginine and proline metabolism	53	26	K01887	E6.1.1.19, argS	4
00330	Arginine and proline metabolism	53	26	K01940	E6.3.4.5, argG	12
00330	Arginine and proline metabolism	53	26	K01948	E6.3.4.16, CPS1	3
00330	Arginine and proline metabolism	53	26	K11142	LAP3	6
00940	Phenylpropanoid biosynthesis	19	5	K00430	E1.11.1.7	9
00940	Phenylpropanoid biosynthesis	19	5	K00517	E1.14.-.-	22
00940	Phenylpropanoid biosynthesis	19	5	K01188	E3.2.1.21	3
00940	Phenylpropanoid biosynthesis	19	5	K01904	E6.2.1.12	30
00940	Phenylpropanoid biosynthesis	19	5	K05349	BGLX	3
00030	Pentose phosphate pathway	42	24	K00033	E1.1.1.44, PGD, gnd	1
00030	Pentose phosphate pathway	42	24	K00034	E1.1.1.47, gdh	2
00030	Pentose phosphate pathway	42	24	K00036	G6PD, zwf	2
00030	Pentose phosphate pathway	42	24	K00615	E2.2.1.1, tktA, tktB	20
00030	Pentose phosphate pathway	42	24	K00616	E2.2.1.2, talA, talB	4
00030	Pentose phosphate pathway	42	24	K00850	PFK	2
00030	Pentose phosphate pathway	42	24	K00851	E2.7.1.12, gntK, idnK	6
00030	Pentose phosphate pathway	42	24	K00852	E2.7.1.15, rbsK	1
00030	Pentose phosphate pathway	42	24	K00874	kdgK	2
00030	Pentose phosphate pathway	42	24	K00948	E2.7.6.1, prsA	4
00030	Pentose phosphate pathway	42	24	K01057	PGLS, pgl, devB	2
00030	Pentose phosphate pathway	42	24	K01619	E4.1.2.4, deoC	2
00030	Pentose phosphate pathway	42	24	K01623	ALDO, fbaB	3
00030	Pentose phosphate pathway	42	24	K01624	FBA, fbaA	2
00030	Pentose phosphate pathway	42	24	K01625	eda	2
00030	Pentose phosphate pathway	42	24	K01690	edd	2
00030	Pentose phosphate pathway	42	24	K01783	E5.1.3.1, rpe	3
00030	Pentose phosphate pathway	42	24	K01807	E5.3.1.6A, rpiA	1
00030	Pentose phosphate pathway	42	24	K01810	GPI, pgi	2
00030	Pentose phosphate pathway	42	24	K01835	E5.4.2.2, pgm	12
00030	Pentose phosphate pathway	42	24	K01839	deoB	2
00030	Pentose phosphate pathway	42	24	K02446	glpX	1
00030	Pentose phosphate pathway	42	24	K03841	FBP	2
00030	Pentose phosphate pathway	42	24	K11532	glpX-SEBP	1
00631	1,2-Dichloroethane degradation	5	4	K00114	E1.1.99.8	3
00631	1,2-Dichloroethane degradation	5	4	K00128	E1.2.1.3	17
00631	1,2-Dichloroethane degradation	5	4	K01561	E3.8.1.3	1
00631	1,2-Dichloroethane degradation	5	4	K01563	E3.8.1.5, dhaA	1
00623	2,4-Dichlorobenzoate degradation	14	6	K00448	E1.13.11.3A, pcaG	3
00623	2,4-Dichlorobenzoate degradation	14	6	K00449	E1.13.11.3B, pcaH	3
00623	2,4-Dichlorobenzoate degradation	14	6	K00465	E1.13.11.-	5
00623	2,4-Dichlorobenzoate degradation	14	6	K00481	E1.14.13.2, pobA	1
00623	2,4-Dichlorobenzoate degradation	14	6	K03384	E1.14.12.-	3
00623	2,4-Dichlorobenzoate degradation	14	6	K07519	E1.14.12.7	3
00410	beta-Alanine metabolism	24	15	K00128	E1.2.1.3	17
00410	beta-Alanine metabolism	24	15	K00137	E1.2.1.19	1
00410	beta-Alanine metabolism	24	15	K00207	E1.3.1.2, DPYD	10
00410	beta-Alanine metabolism	24	15	K00249	E1.3.99.3, ACADM, acd	33
00410	beta-Alanine metabolism	24	15	K00797	E2.5.1.16, SRM, speE	1
00410	beta-Alanine metabolism	24	15	K00822	E2.6.1.18	1
00410	beta-Alanine metabolism	24	15	K01270	E3.4.13.3, pepD	2
00410	beta-Alanine metabolism	24	15	K01464	E3.5.2.2, DPYS	1
00410	beta-Alanine metabolism	24	15	K01579	E4.1.1.11, panD	2
