metaerg.pl|00012	K00789
metaerg.pl|00015	K00998
metaerg.pl|00015	K00995
metaerg.pl|00017	K03742
metaerg.pl|00018	K03553
metaerg.pl|00019	K18682
metaerg.pl|00021	K09769
metaerg.pl|00022	K03555
metaerg.pl|00023	K06379
metaerg.pl|00023	K04757
metaerg.pl|00023	K01768
metaerg.pl|00023	K02668
metaerg.pl|00023	K07636
metaerg.pl|00023	K07653
metaerg.pl|00023	K07638
metaerg.pl|00023	K02484
metaerg.pl|00023	K07642
metaerg.pl|00023	K08282
metaerg.pl|00023	K07641
metaerg.pl|00023	K07646
metaerg.pl|00023	K03407
metaerg.pl|00023	K07654
metaerg.pl|00024	K07304
metaerg.pl|00024	K07305
metaerg.pl|00024	K12267
metaerg.pl|00025	K03550
metaerg.pl|00026	K03551
metaerg.pl|00027	K07568
metaerg.pl|00028	K00773
metaerg.pl|00029	K03210
metaerg.pl|00033	K03515
metaerg.pl|00033	K02346
metaerg.pl|00034	K00641
metaerg.pl|00034	K05847
metaerg.pl|00034	K00088
metaerg.pl|00034	K00970
metaerg.pl|00034	K00825
metaerg.pl|00034	K00974
metaerg.pl|00034	K02806
metaerg.pl|00035	K06881
metaerg.pl|00036	K05367
metaerg.pl|00036	K08884
metaerg.pl|00036	K04478
metaerg.pl|00036	K05366
metaerg.pl|00036	K08282
metaerg.pl|00036	K03587
metaerg.pl|00036	K12555
metaerg.pl|00036	K03814
metaerg.pl|00036	K12556
metaerg.pl|00036	K05365
metaerg.pl|00036	K08384
metaerg.pl|00036	K05364
metaerg.pl|00039	K03547
metaerg.pl|00042	K03698
metaerg.pl|00048	K02503
metaerg.pl|00049	K05816
metaerg.pl|00049	K02049
metaerg.pl|00049	K01995
metaerg.pl|00049	K10111
metaerg.pl|00049	K11962
metaerg.pl|00049	K01990
metaerg.pl|00049	K02023
metaerg.pl|00049	K05847
metaerg.pl|00049	K02010
metaerg.pl|00049	K02006
metaerg.pl|00049	K02052
metaerg.pl|00049	K02045
metaerg.pl|00049	K01996
metaerg.pl|00049	K06861
metaerg.pl|00049	K02071
metaerg.pl|00050	K01992
metaerg.pl|00052	K00826
metaerg.pl|00052	K00824
metaerg.pl|00054	K03439
metaerg.pl|00057	K01179
metaerg.pl|00057	K01261
metaerg.pl|00058	K06878
metaerg.pl|00060	K01928
metaerg.pl|00060	K02558
metaerg.pl|00060	K01925
metaerg.pl|00060	K01929
metaerg.pl|00060	K01924
metaerg.pl|00061	K02349
metaerg.pl|00061	K02332
metaerg.pl|00061	K02334
metaerg.pl|00061	K02335
metaerg.pl|00062	K05522
metaerg.pl|00062	K10563
metaerg.pl|00063	K00859
metaerg.pl|00064	K00527
metaerg.pl|00064	K07738
metaerg.pl|00066	K11144
metaerg.pl|00067	K01868
metaerg.pl|00068	K02520
metaerg.pl|00069	K02916
metaerg.pl|00070	K02887
metaerg.pl|00071	K00231
metaerg.pl|00073	K03800
metaerg.pl|00074	K16509
metaerg.pl|00075	K16511
metaerg.pl|00077	K08602
metaerg.pl|00079	K01768
metaerg.pl|00080	K00951
metaerg.pl|00080	K07816
metaerg.pl|00081	K00858
metaerg.pl|00082	K06180
metaerg.pl|00083	K09994
metaerg.pl|00083	K00669
metaerg.pl|00083	K03830
metaerg.pl|00083	K06957
metaerg.pl|00086	K00956
metaerg.pl|00086	K00860
metaerg.pl|00086	K00955
metaerg.pl|00086	K02837
metaerg.pl|00087	K03697
metaerg.pl|00088	K02793
metaerg.pl|00088	K05881
metaerg.pl|00088	K02744
metaerg.pl|00088	K11189
metaerg.pl|00088	K02794
metaerg.pl|00088	K02812
metaerg.pl|00088	K02821
metaerg.pl|00089	K08484
metaerg.pl|00089	K02770
metaerg.pl|00089	K02768
metaerg.pl|00089	K02821
metaerg.pl|00089	K02806
metaerg.pl|00089	K02812
metaerg.pl|00089	K08483
metaerg.pl|00089	K00873
metaerg.pl|00089	K01006
metaerg.pl|00089	K02769
metaerg.pl|00089	K02793
metaerg.pl|00089	K11183
metaerg.pl|00089	K05881
metaerg.pl|00089	K01007
metaerg.pl|00089	K02744
metaerg.pl|00089	K11189
metaerg.pl|00089	K11201
metaerg.pl|00089	K02794
metaerg.pl|00090	K00286
metaerg.pl|00090	K00020
metaerg.pl|00091	K14155
metaerg.pl|00091	K00812
metaerg.pl|00091	K00825
metaerg.pl|00091	K14264
metaerg.pl|00091	K14287
metaerg.pl|00091	K00837
metaerg.pl|00091	K00841
metaerg.pl|00091	K14267
metaerg.pl|00091	K00818
metaerg.pl|00091	K00842
metaerg.pl|00091	K00816
metaerg.pl|00091	K10907
metaerg.pl|00091	K01760
metaerg.pl|00094	K07015
metaerg.pl|00095	K06948
metaerg.pl|00096	K07574
metaerg.pl|00097	K00969
metaerg.pl|00099	K09710
metaerg.pl|00100	K00568
metaerg.pl|00100	K00599
metaerg.pl|00105	K03925
metaerg.pl|00106	K03438
metaerg.pl|00109	K08384
metaerg.pl|00109	K05364
metaerg.pl|00109	K12556
metaerg.pl|00109	K03587
metaerg.pl|00109	K08282
metaerg.pl|00109	K08884
metaerg.pl|00109	K08724
metaerg.pl|00111	K01000
metaerg.pl|00113	K01924
