demo|00008	3.5.2.9
demo|00026	3.5.2.3
demo|00027	3.4.21.89
demo|00037	2.3.1.-
demo|00062	2.7.1.24
demo|00063	2.5.1.-
demo|00064	2.7.11.1
demo|00084	4.-.-.-
demo|00098	3.1.11.6
demo|00101	1.3.7.7
demo|00108	3.1.3.69
demo|00123	3.1.-.-
demo|00160	2.3.1.181
demo|00173	5.1.3.2
demo|00197	1.3.1.83
demo|00197	1.3.1.-
demo|00200	1.12.-.-
demo|00232	2.1.1.137
demo|00236	2.6.1.83
demo|00240	2.7.2.8
demo|00242	2.7.1.71
demo|00262	7.1.1.6
demo|00313	3.4.24.-
demo|00317	2.4.2.29
demo|00322	3.2.1.1
demo|00333	3.4.24.-
demo|00364	6.3.5.-
demo|00381	3.1.26.4
demo|00388	2.5.1.145
demo|00388	2.4.99.-
demo|00408	2.7.7.10
demo|00409	3.5.99.10
demo|00418	6.3.2.2
demo|00429	7.6.2.11
demo|00429	3.6.3.31
demo|00430	3.4.16.4
demo|00433	4.2.1.24
demo|00440	2.4.2.7
demo|00465	3.1.1.85
demo|00468	2.1.1.-
demo|00471	6.3.5.5
demo|00474	2.7.7.7
demo|00489	4.1.99.17
demo|00494	3.-.-.-
demo|00495	1.4.3.19
demo|00505	2.7.1.167
demo|00505	2.7.7.70
demo|00517	5.6.2.3
demo|00519	2.1.1.193
demo|00519	2.1.1.-
demo|00532	6.3.2.13
demo|00536	3.1.25.-
demo|00585	1.1.1.65
demo|00607	1.1.1.103
demo|00608	3.2.2.-
demo|00638	1.1.1.85
demo|00640	4.-.-.-
demo|00671	7.2.2.9
demo|00671	3.6.3.-
demo|00707	2.2.1.1
demo|00710	2.8.4.4
demo|00710	2.1.1.- 2.8.1.-
demo|00719	3.6.4.-
demo|00743	6.3.4.13
demo|00770	1.1.1.95
demo|00779	6.1.1.19
demo|00780	2.7.4.3
demo|00781	3.5.4.13
demo|00794	2.5.1.75
demo|00799	1.13.11.18
demo|00808	1.2.1.59
demo|00808	1.2.1.-
demo|00843	1.10.3.9
demo|00862	3.1.3.100
demo|00862	3.5.99.2
demo|00871	2.-.-.-
demo|00888	5.4.2.10
demo|00922	7.3.2.7
demo|00923	2.1.1.295
demo|00927	3.6.4.12
demo|00933	2.7.1.-
demo|00976	7.2.2.16
demo|00992	2.7.11.1
demo|01007	4.1.2.13
demo|01023	3.1.21.3
demo|01051	2.7.1.33
demo|01103	3.6.3.-
demo|01109	2.1.1.107
demo|01110	3.1.1.29
demo|01122	3.4.21.102
demo|01122	3.4.21.-
demo|01126	3.1.11.2
demo|01148	4.2.1.19
demo|01152	3.1.2.28
demo|01177	3.6.4.13
demo|01178	4.2.3.12
demo|01191	2.5.1.3
demo|01194	5.1.1.7
demo|01212	2.1.1.-
demo|01212	2.1.1.170
demo|01214	2.5.1.32
demo|01231	6.3.3.1
demo|01240	1.97.1.12
demo|01247	2.1.1.37
demo|01281	5.6.2.3
demo|01281	5.99.1.3
demo|01315	3.6.1.-
demo|01320	2.7.1.182
demo|01340	2.3.1.-
demo|01349	1.4.1.1
demo|01384	5.4.2.12
demo|01409	1.7.1.13
demo|01423	1.2.1.80
demo|01423	1.1.1.-
demo|01426	2.7.8.5
demo|01437	6.6.1.1
demo|01448	5.2.1.13
demo|01448	5.-.-.-
demo|01455	3.4.21.105
demo|01460	5.4.99.-
demo|01463	2.8.1.6
demo|01469	3.5.1.-
demo|01509	3.1.3.16
demo|01515	3.1.-.-
demo|01520	2.7.13.3
demo|01525	1.15.1.1
demo|01528	2.7.1.2
demo|01534	5.1.3.14
demo|01576	5.4.99.12
demo|01578	2.7.7.6
demo|01582	2.7.4.3
demo|01582	2.7.4.-
demo|01603	7.1.1.-
demo|01622	3.6.4.-
demo|01622	3.6.1.-
demo|01625	3.6.4.12
demo|01626	4.1.3.27
demo|01626	2.6.1.85
demo|01628	2.7.7.65
demo|01645	1.1.1.25
demo|01662	3.4.21.-
demo|01662	3.4.-.-
demo|01700	2.3.3.16
demo|01701	6.4.-.-
demo|01709	3.4.19.5
demo|01724	1.8.1.7
demo|01725	1.11.1.15
demo|01735	6.3.5.2
demo|01745	1.5.1.2
demo|01747	2.1.1.72
demo|01749	3.2.1.28
demo|01751	3.2.1.141
demo|01777	4.3.2.2
demo|01783	1.8.5.7
demo|01800	6.3.5.10
demo|01801	3.6.4.-
demo|01810	6.2.1.1
demo|01830	3.4.-.-
demo|01843	6.1.1.15
demo|01849	7.1.1.-
demo|01873	4.1.1.-
demo|01894	4.2.1.47
demo|01895	2.-.-.-
demo|01907	7.6.2.2
demo|01914	1.-.-.-
demo|01932	2.5.1.29
demo|01966	2.7.7.7
demo|01973	6.3.4.15
demo|01980	6.1.1.1
demo|01994	2.7.7.24
demo|02003	3.5.1.10
demo|02030	3.1.3.-
demo|02041	2.3.1.30
demo|02071	2.7.7.6
demo|02107	4.1.1.50
demo|02153	6.3.2.9
demo|02168	1.17.4.1
demo|02173	2.3.1.47
demo|02202	2.5.1.147
demo|02212	2.7.7.7
demo|02215	2.7.7.7
demo|02216	2.5.1.6
demo|02217	5.4.2.2
demo|02218	3.4.21.93
demo|02220	3.4.21.-
demo|02235	1.3.1.-
demo|02242	2.7.1.40
demo|02245	2.4.1.129
demo|02245	3.4.16.4
demo|02289	1.14.13.81
demo|02299	2.4.1.18
demo|02330	3.4.21.102
demo|02330	3.4.21.-
demo|02352	2.1.1.271
demo|02352	2.1.1.133
demo|02356	3.4.13.22
demo|02374	2.8.1.7
demo|02382	3.1.3.16
demo|02387	2.5.1.78
demo|02430	3.-.-.-
demo|02430	2.8.2.-
demo|02457	2.7.7.-
demo|02457	2.8.1.-
demo|02461	3.1.26.3
demo|02468	2.3.1.31
demo|02469	2.5.1.49
demo|02504	6.3.4.18
demo|02504	4.1.1.21
demo|02566	4.1.1.19
demo|02579	3.4.21.89
demo|02586	3.4.19.13
demo|02586	2.3.2.2
demo|02597	2.4.1.213
demo|02629	4.99.1.1
demo|02631	3.5.1.49
demo|02634	4.1.3.27
demo|02639	4.99.1.1
demo|02654	1.2.1.12
demo|02654	1.2.1.-
demo|02662	3.4.11.18
demo|02672	4.3.1.1
demo|02683	2.1.1.176
demo|02684	5.2.1.13
demo|02744	2.1.1.195
demo|02745	3.6.3.-
demo|02754	5.3.1.6
demo|02755	1.11.1.15
demo|02764	1.4.1.4
demo|02806	3.5.1.5
demo|02808	2.1.1.37
demo|02842	2.3.1.54
demo|02857	1.4.7.1
demo|02863	2.1.3.2
demo|02865	3.4.16.4
demo|02908	5.2.1.12
demo|02910	1.18.1.2
demo|03002	4.1.1.35
demo|03006	2.1.1.11
demo|03007	5.3.3.2
demo|03017	4.1.3.27
demo|03018	2.7.1.107
demo|03022	3.6.1.8
demo|03053	2.1.1.200
demo|03053	2.1.1.-
demo|03086	2.-.-.-
demo|03089	2.7.7.33
demo|03100	2.1.1.198
demo|03106	2.3.1.269
demo|03106	2.3.1.-
demo|03132	3.6.1.1
demo|03144	6.3.2.6
demo|03146	3.5.1.108
demo|03146	3.5.1.-
demo|03152	1.1.1.1
demo|03152	1.2.1.10
demo|03165	1.1.1.291
demo|03218	2.5.1.54
demo|03232	2.5.1.141
demo|03232	2.5.1.-
demo|03244	1.7.7.1
demo|03244	1.14.13.83
demo|03250	3.4.22.-
demo|03252	2.6.1.106
demo|03256	1.17.4.-
demo|03258	2.3.1.35
demo|03258	2.3.1.1
demo|03258	2.3.1.35 2.3.1.1
demo|03289	3.6.1.7
demo|03302	7.1.1.-
demo|03304	7.1.1.-
demo|03316	3.4.23.-
demo|03343	4.2.1.9
demo|03376	2.-.-.-
demo|03425	3.4.23.-
demo|03430	2.7.13.3
demo|03438	4.2.1.47
demo|03441	1.1.1.219
demo|03442	2.7.13.3
demo|03450	6.6.1.2
demo|03474	1.-.-.-
demo|03501	6.3.1.2
demo|03529	3.1.-.-
demo|03545	6.1.1.20
demo|03583	2.8.1.7
demo|03630	2.1.1.-
demo|03653	2.7.7.7
demo|03663	2.1.2.1
demo|03680	4.3.99.3
demo|03689	2.1.3.15
demo|03689	6.4.1.2
demo|03733	6.2.1.-
demo|03788	3.6.4.12
demo|03814	7.6.2.11
demo|03815	4.1.2.13
demo|03821	2.7.1.47
demo|03832	4.2.3.5
demo|03839	2.3.1.-
demo|03842	3.6.3.-
demo|03856	2.3.1.51
demo|03858	3.1.1.31
demo|03870	3.6.4.-
demo|03908	3.6.4.12
demo|03923	2.8.1.7
demo|03935	3.1.3.-
demo|03955	2.7.7.77
demo|03984	6.1.1.23
demo|03984	6.1.1.-
demo|03991	6.1.1.7
demo|04018	3.6.3.14
demo|04035	7.1.2.2
demo|04035	3.6.3.14
demo|04036	3.6.3.14
demo|04058	1.97.1.12
demo|04059	1.3.5.-
demo|04067	2.3.1.47
demo|04076	3.1.-.-
demo|04150	5.2.1.8
demo|04153	7.4.2.10
demo|04208	4.3.1.32
demo|04208	2.5.1.77
demo|04211	5.4.4.2
demo|04212	2.5.1.130
demo|04212	2.5.1.-
demo|04214	4.2.1.113
demo|04218	2.1.1.37
demo|04220	6.1.1.4
demo|04247	7.1.1.-
demo|04256	3.2.2.31
demo|04256	3.6.1.-
demo|04259	2.4.1.187
demo|04259	2.4.1.-
demo|04265	3.4.21.92
demo|04267	2.7.1.23
demo|04295	7.3.2.1
demo|04319	2.7.13.3
demo|04320	2.7.7.87
demo|04324	5.4.99.-
demo|04336	6.1.1.11
demo|04350	2.1.1.34
demo|04353	3.6.4.13
demo|04365	2.7.1.-
demo|04407	2.4.-.-
demo|04409	3.1.1.-
demo|04422	3.4.24.-
demo|04432	3.4.24.-
demo|04444	2.1.1.72
demo|04445	2.3.2.6
demo|04505	4.1.1.36
demo|04505	6.3.2.5
demo|04505	4.1.1.36 6.3.2.5
demo|04526	6.3.3.2
demo|04555	4.1.1.23
demo|04560	3.6.1.27
demo|04574	3.-.-.-
demo|04586	3.6.4.12
demo|04634	4.2.99.18
demo|04637	4.1.1.31
demo|04655	1.2.7.-
demo|04655	1.2.7.1
demo|04657	6.2.-.-
demo|04667	3.1.13.-
demo|04711	6.1.1.17
demo|04758	2.5.1.-
demo|04758	2.5.1.31
demo|04782	7.1.1.-
demo|04823	2.1.1.13
demo|04825	2.1.1.37
demo|04827	2.1.2.-
demo|04847	6.3.2.12
demo|04847	6.3.2.-
demo|04911	2.1.1.37
demo|04916	2.6.1.42
demo|04919	2.2.1.7
demo|04952	4.3.2.10
demo|04952	2.4.2.-
demo|04982	2.2.1.6
demo|04989	7.1.1.-
demo|04994	2.7.4.8
demo|05021	1.14.13.-
demo|05045	1.6.5.2
demo|05052	2.3.1.-
demo|05160	3.5.3.11
demo|05174	2.1.1.72
demo|05197	1.8.4.12
demo|05197	1.8.4.-
