#Accession	ID	Description	Count	Count_pct	Abund	Abund_pct	Abund_DLM2	Abund_pct_DLM2	Abund_GEM2	Abund_pct_GEM2	Abund_LCM1	Abund_pct_LCM1	Abund_PLM2	Abund_pct_PLM2
PF01327	Pep_deformylase	"Polypeptide deformylase"	9	0.09	689.80	0.04	9.92	0.01	8.29	0.00	667.61	0.07	3.97	0.00
PF01220	DHquinase_II	"Dehydroquinase class II"	1	0.01	13.13	0.00	0.00	0.00	0.02	0.00	11.70	0.00	1.41	0.00
PF09037	Sulphotransf	"Stf0 sulphotransferase"	1	0.01	30.93	0.00	0.03	0.00	3.52	0.00	26.54	0.00	0.84	0.00
PF11695	DUF3291	"Domain of unknown function (DUF3291)"	1	0.01	191.30	0.01	0.01	0.00	0.40	0.00	190.55	0.02	0.34	0.00
PF01316	Arg_repressor	"Arginine repressor, DNA binding domain"	4	0.04	242.79	0.02	14.13	0.01	5.77	0.00	219.86	0.02	3.03	0.00
PF12007	DUF3501	"Protein of unknown function (DUF3501)"	1	0.01	171.43	0.01	12.03	0.01	40.15	0.02	62.43	0.01	56.82	0.02
PF00573	Ribosomal_L4	"Ribosomal protein L4/L1 family"	1	0.01	1814.06	0.12	325.55	0.25	585.16	0.27	14.02	0.00	889.33	0.29
PF07969	Amidohydro_3	"Amidohydrolase family"	35	0.34	2085.58	0.13	58.07	0.05	49.18	0.02	1888.46	0.21	89.87	0.03
PF11279	DUF3080	"Protein of unknown function (DUF3080)"	2	0.02	35.65	0.00	0.23	0.00	0.01	0.00	35.30	0.00	0.11	0.00
PF04371	PAD_porph	"Porphyromonas-type peptidyl-arginine deiminase"	1	0.01	54.97	0.00	0.04	0.00	0.13	0.00	54.73	0.01	0.07	0.00
PF07332	Phage_holin_3_6	"Putative Actinobacterial Holin-X, holin superfamily III"	2	0.02	46.27	0.00	0.13	0.00	0.10	0.00	45.95	0.01	0.10	0.00
PF03706	LPG_synthase_TM	"Lysylphosphatidylglycerol synthase TM region"	2	0.02	104.21	0.01	0.33	0.00	0.63	0.00	101.49	0.01	1.76	0.00
PF01496	V_ATPase_I	"V-type ATPase 116kDa subunit family"	1	0.01	40.73	0.00	2.37	0.00	0.00	0.00	38.32	0.00	0.04	0.00
PF07091	FmrO	"Ribosomal RNA methyltransferase (FmrO)"	1	0.01	72.73	0.00	0.00	0.00	0.02	0.00	72.68	0.01	0.03	0.00
PF13507	GATase_5	"CobB/CobQ-like glutamine amidotransferase domain"	3	0.03	114.30	0.01	0.97	0.00	0.40	0.00	111.74	0.01	1.18	0.00
PF14572	Pribosyl_synth	"Phosphoribosyl synthetase-associated domain"	3	0.03	312.34	0.02	2.38	0.00	0.56	0.00	309.00	0.03	0.41	0.00
PF02653	BPD_transp_2	"Branched-chain amino acid transport system / permease component"	18	0.17	5340.13	0.34	609.18	0.48	1172.85	0.55	1842.20	0.20	1715.89	0.57
PF01032	FecCD	"FecCD transport family"	9	0.09	345.74	0.02	12.14	0.01	3.61	0.00	327.46	0.04	2.53	0.00
PF00146	NADHdh	"NADH dehydrogenase"	4	0.04	367.95	0.02	0.92	0.00	0.82	0.00	364.64	0.04	1.57	0.00
PF04101	Glyco_tran_28_C	"Glycosyltransferase family 28 C-terminal domain"	5	0.05	318.36	0.02	10.77	0.01	3.95	0.00	302.06	0.03	1.58	0.00
PF01636	APH	"Phosphotransferase enzyme family"	18	0.17	1223.22	0.08	12.88	0.01	3.30	0.00	1200.64	0.13	6.40	0.00
PF05639	Pup	"Pup-like protein"	1	0.01	50.96	0.00	4.85	0.00	3.43	0.00	42.25	0.00	0.43	0.00
PF13516	LRR_6	"Leucine Rich repeat"	1	0.01	73.16	0.00	0.00	0.00	0.01	0.00	73.10	0.01	0.04	0.00
PF00512	HisKA	"His Kinase A (phospho-acceptor) domain"	73	0.70	8290.84	0.53	707.74	0.55	1215.16	0.56	4587.03	0.50	1780.91	0.59
PF02410	RsfS	"Ribosomal silencing factor during starvation"	3	0.03	198.84	0.01	2.70	0.00	0.76	0.00	194.88	0.02	0.50	0.00
PF14226	DIOX_N	"non-haem dioxygenase in morphine synthesis N-terminal"	3	0.03	465.85	0.03	0.01	0.00	0.99	0.00	464.16	0.05	0.69	0.00
PF13433	Peripla_BP_5	"Periplasmic binding protein domain"	7	0.07	2180.39	0.14	299.07	0.23	581.88	0.27	443.18	0.05	856.25	0.28
PF11165	DUF2949	"Protein of unknown function (DUF2949)"	1	0.01	74.07	0.00	0.00	0.00	0.01	0.00	74.05	0.01	0.01	0.00
