#accession	id	type	count	count_pct	abundance	abundance_pct	depth_M1	depth_pct_M1	depth_M2	depth_pct_M2	depth_M3	depth_pct_M3	depth_M4	depth_pct_M4	plevel_pct_P1	plevel_pct_P2	plevel_pct_P3	plevel_pct_P4	desc
PF00004.29	AAA	Domain	29	0.67	189705.31	0.68	44811.33	0.68	57627.43	0.67	31570.54	0.68	55696.00	0.68	0.13	0.15	0.09	0.18	ATPase family associated with various cellular activities (AAA)
PF00005.27	ABC_tran	Domain	44	1.01	280699.97	1.00	66167.20	1.00	85688.88	1.00	45970.30	1.00	82873.60	1.01	0.09	0.08	0.07	0.08	ABC transporter
PF00006.25	ATP-synt_ab	Domain	2	0.05	12602.17	0.04	2953.89	0.04	3901.75	0.05	1998.74	0.04	3747.79	0.05	0.00	0.00	0	0.00	ATP synthase alpha/beta family, nucleotide-binding domain
PF00009.27	GTP_EFTU	Domain	7	0.16	45917.77	0.16	10894.98	0.16	13992.47	0.16	7547.38	0.16	13482.91	0.16	0.05	0.06	0.03	0.04	Elongation factor Tu GTP binding domain
PF00012.20	HSP70	Family	4	0.09	27177.90	0.10	6433.76	0.10	8395.34	0.10	4371.17	0.09	7977.64	0.10	0.03	0.03	0.02	0.04	Hsp70 protein
PF00013.29	KH_1	Domain	1	0.02	6401.27	0.02	1501.25	0.02	1959.78	0.02	1041.93	0.02	1898.31	0.02	0	0	0	0	KH domain
PF00015.21	MCPsignal	Family	8	0.18	51948.65	0.19	12281.83	0.19	15987.93	0.19	8385.64	0.18	15293.31	0.19	0.01	0.01	0.01	0.01	Methyl-accepting chemotaxis protein (MCP) signalling domain
PF00016.20	RuBisCO_large	Domain	1	0.02	6521.33	0.02	1532.85	0.02	1979.57	0.02	1085.55	0.02	1923.36	0.02	0	0	0	0	Ribulose bisphosphate carboxylase large chain, catalytic domain
PF00022.19	Actin	Family	1	0.02	6335.54	0.02	1484.31	0.02	1933.18	0.02	1041.26	0.02	1876.79	0.02	0.01	0.00	0.02	0.01	Actin
PF00023.30	Ank	Repeat	1	0.02	6473.07	0.02	1528.08	0.02	1942.78	0.02	1103.81	0.02	1898.40	0.02	0.02	0.03	0.02	0.02	Ankyrin repeat
PF00025.21	Arf	Domain	1	0.02	6439.65	0.02	1511.91	0.02	1994.19	0.02	1020.06	0.02	1913.49	0.02	0	0	0	0	ADP-ribosylation factor family
PF00027.29	cNMP_binding	Domain	10	0.23	64791.45	0.23	15271.01	0.23	19902.47	0.23	10427.37	0.23	19190.58	0.23	0.00	0.01	0.00	0.00	Cyclic nucleotide-binding domain
PF00032.17	Cytochrom_B_C	Domain	1	0.02	6474.57	0.02	1532.49	0.02	1998.36	0.02	1042.57	0.02	1901.16	0.02	0	0	0	0	Cytochrome b(C-terminal)/b6/petD
PF00033.19	Cytochrome_B	Domain	1	0.02	6474.57	0.02	1532.49	0.02	1998.36	0.02	1042.57	0.02	1901.16	0.02	0	0	0	0	Cytochrome b/b6/petB
PF00035.26	dsrm	Domain	2	0.05	12896.34	0.05	3056.90	0.05	3930.49	0.05	2117.54	0.05	3791.43	0.05	0.03	0.05	0.03	0.03	Double-stranded RNA binding motif
PF00037.27	Fer4	Domain	8	0.18	51524.13	0.18	12231.45	0.18	15545.08	0.18	8603.34	0.19	15144.24	0.18	0.05	0.05	0.07	0.04	4Fe-4S binding domain
PF00043.25	GST_C	Domain	2	0.05	12289.95	0.04	2894.28	0.04	3767.11	0.04	1980.89	0.04	3647.67	0.04	0.02	0.04	0.01	0.03	Glutathione S-transferase, C-terminal domain
PF00044.24	Gp_dh_N	Domain	2	0.05	13485.08	0.05	3193.40	0.05	4094.83	0.05	2234.84	0.05	3961.99	0.05	0.03	0.03	0.03	0.02	Glyceraldehyde 3-phosphate dehydrogenase, NAD binding domain
PF00056.23	Ldh_1_N	Family	2	0.05	13929.47	0.05	3300.67	0.05	4013.23	0.05	2606.76	0.06	4008.81	0.05	0	0	0	0	lactate/malate dehydrogenase, NAD binding domain
PF00067.22	p450	Domain	1	0.02	6379.79	0.02	1499.08	0.02	1958.78	0.02	1040.21	0.02	1881.72	0.02	0	0	0	0	Cytochrome P450
PF00069.25	Pkinase	Domain	18	0.41	116906.08	0.42	27653.87	0.42	35566.40	0.42	19252.00	0.42	34433.78	0.42	4.18	3.45	4.47	3.78	Protein kinase domain
PF00070.27	Pyr_redox	Domain	6	0.14	38671.58	0.14	9111.29	0.14	11815.03	0.14	6341.19	0.14	11404.05	0.14	1.84	1.93	1.78	2.37	Pyridine nucleotide-disulphide oxidoreductase
PF00072.24	Response_reg	Domain	78	1.79	495074.46	1.77	116770.90	1.77	151453.86	1.77	81198.65	1.76	145651.03	1.77	0.65	0.85	0.69	0.76	Response regulator receiver domain
PF00075.24	RNase_H	Domain	1	0.02	6501.48	0.02	1530.61	0.02	1989.55	0.02	1039.57	0.02	1941.74	0.02	0	0	0	0	RNase H
PF00076.22	RRM_1	Domain	3	0.07	19837.86	0.07	4682.33	0.07	6112.95	0.07	3214.70	0.07	5827.88	0.07	0.00	0	0	0.00	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)
PF00078.27	RVT_1	Family	3	0.07	19634.30	0.07	4640.22	0.07	6055.43	0.07	3168.19	0.07	5770.45	0.07	0	0	0	0	Reverse transcriptase (RNA-dependent DNA polymerase)
PF00079.20	Serpin	Domain	1	0.02	6401.27	0.02	1501.25	0.02	1959.78	0.02	1041.93	0.02	1898.31	0.02	0	0	0	0	Serpin (serine protease inhibitor)
PF00081.22	Sod_Fe_N	Domain	1	0.02	6830.40	0.02	1607.22	0.02	2078.16	0.02	1157.84	0.03	1987.17	0.02	0.02	0.02	0.01	0.02	Iron/manganese superoxide dismutases, alpha-hairpin domain
PF00082.22	Peptidase_S8	Domain	10	0.23	64878.32	0.23	15338.17	0.23	19734.67	0.23	10739.59	0.23	19065.92	0.23	0.01	0.02	0.03	0.02	Subtilase family
PF00085.20	Thioredoxin	Domain	5	0.11	32606.97	0.12	7703.86	0.12	9874.24	0.12	5450.34	0.12	9578.52	0.12	0.01	0.00	0.01	0.00	Thioredoxin
PF00089.26	Trypsin	Domain	6	0.14	39356.54	0.14	9284.73	0.14	12020.77	0.14	6479.22	0.14	11571.80	0.14	0	0.00	0	0	Trypsin
PF00091.25	Tubulin	Domain	1	0.02	6439.65	0.02	1511.91	0.02	1994.19	0.02	1020.06	0.02	1913.49	0.02	0.00	0	0.00	0.00	Tubulin/FtsZ family, GTPase domain
PF00092.28	VWA	Domain	6	0.14	38967.73	0.14	9236.89	0.14	11738.88	0.14	6575.40	0.14	11416.56	0.14	0.03	0.02	0.02	0.02	von Willebrand factor type A domain
PF00101.20	RuBisCO_small	Domain	2	0.05	12973.44	0.05	3056.90	0.05	3943.97	0.05	2150.31	0.05	3822.27	0.05	0	0	0	0	Ribulose bisphosphate carboxylase, small chain
PF00106.25	adh_short	Domain	14	0.32	91910.73	0.33	21741.18	0.33	27959.09	0.33	15234.36	0.33	26976.05	0.33	0.02	0.02	0.01	0.01	short chain dehydrogenase
PF00107.26	ADH_zinc_N	Family	4	0.09	30692.84	0.11	7222.32	0.11	9270.96	0.11	5201.21	0.11	8998.30	0.11	0.10	0.15	0.12	0.10	Zinc-binding dehydrogenase
PF00109.26	ketoacyl-synt	Domain	2	0.05	12806.82	0.05	3023.50	0.05	3836.75	0.04	2120.16	0.05	3826.41	0.05	0	0	0	0	Beta-ketoacyl synthase, N-terminal domain
PF00111.27	Fer2	Domain	6	0.14	38417.83	0.14	9052.26	0.14	11748.24	0.14	6234.30	0.14	11383.01	0.14	0.01	0.01	0.00	0.01	2Fe-2S iron-sulfur cluster binding domain
PF00113.22	Enolase_C	Domain	1	0.02	6381.14	0.02	1505.11	0.02	1934.35	0.02	1051.18	0.02	1890.51	0.02	0	0	0	0	Enolase, C-terminal TIM barrel domain
PF00115.20	COX1	Family	2	0.05	12409.90	0.04	2889.98	0.04	3899.93	0.05	1896.40	0.04	3723.59	0.05	0	0	0	0	Cytochrome C and Quinol oxidase polypeptide I
PF00116.20	COX2	Domain	1	0.02	6466.38	0.02	1514.72	0.02	2006.08	0.02	1006.32	0.02	1939.26	0.02	0	0	0	0	Cytochrome C oxidase subunit II, periplasmic domain
PF00117.28	GATase	Domain	5	0.11	33033.21	0.12	7769.49	0.12	9954.62	0.12	5660.11	0.12	9648.97	0.12	0.07	0.05	0.07	0.06	Glutamine amidotransferase class-I
PF00118.24	Cpn60_TCP1	Family	2	0.05	13150.23	0.05	3115.58	0.05	4005.89	0.05	2158.49	0.05	3870.26	0.05	0	0	0	0	TCP-1/cpn60 chaperonin family
PF00119.20	ATP-synt_A	Domain	1	0.02	6266.63	0.02	1469.58	0.02	1968.57	0.02	957.48	0.02	1871.00	0.02	0	0	0	0	ATP synthase A chain
