metaerg.pl|00012	2.5.1.6
metaerg.pl|00015	2.7.8.5
metaerg.pl|00017	3.5.-.-
metaerg.pl|00019	3.1.-.-
metaerg.pl|00021	3.1.4.16
metaerg.pl|00024	1.8.4.12
metaerg.pl|00024	1.8.4.-
metaerg.pl|00025	3.6.4.12
metaerg.pl|00026	3.6.4.12
metaerg.pl|00027	2.4.99.17
metaerg.pl|00028	2.4.2.29
metaerg.pl|00033	2.7.7.7
metaerg.pl|00035	3.1.-.-
metaerg.pl|00036	2.4.1.129
metaerg.pl|00036	3.4.16.4
metaerg.pl|00042	3.1.-.-
metaerg.pl|00052	2.6.1.21
metaerg.pl|00053	2.7.-.-
metaerg.pl|00054	2.1.1.33
metaerg.pl|00057	3.4.11.7
metaerg.pl|00060	6.3.2.8
metaerg.pl|00061	2.7.7.7
metaerg.pl|00062	3.2.2.23
metaerg.pl|00063	2.7.1.24
metaerg.pl|00067	6.1.1.3
metaerg.pl|00071	1.3.3.4
metaerg.pl|00072	3.-.-.-
metaerg.pl|00073	6.3.1.20
metaerg.pl|00077	3.4.24.-
metaerg.pl|00079	3.6.1.-
metaerg.pl|00080	2.7.6.5
metaerg.pl|00081	2.7.1.23
metaerg.pl|00082	5.4.99.-
metaerg.pl|00083	2.3.1.-
metaerg.pl|00089	2.7.3.9
metaerg.pl|00090	1.1.-.-
metaerg.pl|00091	2.6.1.-
metaerg.pl|00094	3.1.3.-
metaerg.pl|00097	2.7.7.18
metaerg.pl|00100	2.1.1.-
metaerg.pl|00101	6.3.4.-
metaerg.pl|00106	2.1.1.199
metaerg.pl|00111	2.7.8.13
metaerg.pl|00113	6.3.2.9
metaerg.pl|00116	2.4.1.227
metaerg.pl|00126	6.1.1.5
metaerg.pl|00133	3.-.-.-
metaerg.pl|00136	3.2.2.9
metaerg.pl|00136	3.2.2.16 3.2.2.9
metaerg.pl|00141	7.2.2.-
metaerg.pl|00144	2.3.1.-
metaerg.pl|00151	2.8.1.4
metaerg.pl|00152	1.11.1.15
metaerg.pl|00153	6.1.1.9
metaerg.pl|00154	3.1.3.-
metaerg.pl|00169	2.7.2.1
metaerg.pl|00172	6.3.2.2
metaerg.pl|00172	6.3.2.3
metaerg.pl|00172	6.3.2.2 6.3.2.3
metaerg.pl|00173	2.8.1.7
metaerg.pl|00175	2.8.1.13
metaerg.pl|00175	2.1.1.61
metaerg.pl|00177	3.6.4.12
metaerg.pl|00178	2.7.-.-
metaerg.pl|00181	6.1.1.7
metaerg.pl|00183	3.1.-.-
metaerg.pl|00185	4.2.2.-
metaerg.pl|00187	2.7.1.48
metaerg.pl|00191	2.7.13.3
metaerg.pl|00194	3.1.-.-
metaerg.pl|00199	3.5.1.88
metaerg.pl|00200	1.2.4.1
metaerg.pl|00201	1.2.4.1
metaerg.pl|00202	2.3.1.12
metaerg.pl|00203	1.8.1.4
metaerg.pl|00204	3.1.3.25
metaerg.pl|00208	2.1.1.-
metaerg.pl|00208	2.1.1.171
metaerg.pl|00209	2.7.7.3
metaerg.pl|00215	3.5.-.-
metaerg.pl|00218	2.7.7.7
metaerg.pl|00220	3.1.25.-
metaerg.pl|00221	2.4.2.9
metaerg.pl|00222	2.1.3.2
metaerg.pl|00223	3.5.2.3
metaerg.pl|00224	6.3.5.5
metaerg.pl|00225	6.3.5.5
metaerg.pl|00226	1.3.98.1
metaerg.pl|00226	1.3.-.-
metaerg.pl|00227	4.1.1.23
metaerg.pl|00228	2.4.2.10
metaerg.pl|00230	2.7.7.8
metaerg.pl|00231	6.3.4.15
metaerg.pl|00232	3.1.-.-
metaerg.pl|00235	2.7.8.-
metaerg.pl|00237	2.7.8.-
metaerg.pl|00239	7.6.2.9
metaerg.pl|00257	7.2.2.1
metaerg.pl|00259	3.6.3.14
metaerg.pl|00261	2.7.4.8
metaerg.pl|00262	2.7.7.6
metaerg.pl|00263	4.1.1.36
metaerg.pl|00263	6.3.2.5
metaerg.pl|00263	4.1.1.36 6.3.2.5
metaerg.pl|00264	3.6.4.-
metaerg.pl|00264	3.6.1.-
metaerg.pl|00265	2.1.2.9
metaerg.pl|00266	2.1.1.176
metaerg.pl|00267	3.1.3.16
metaerg.pl|00268	2.7.11.1
metaerg.pl|00270	3.6.1.-
metaerg.pl|00270	3.6.-.-
metaerg.pl|00271	5.1.3.1
metaerg.pl|00272	2.7.6.2
metaerg.pl|00277	3.6.4.12
metaerg.pl|00278	2.3.1.274
metaerg.pl|00290	3.6.3.-
metaerg.pl|00291	1.3.8.-
metaerg.pl|00291	1.14.99.-
metaerg.pl|00293	3.1.3.104
metaerg.pl|00295	2.7.7.7
metaerg.pl|00296	2.7.1.11
metaerg.pl|00297	2.7.1.40
metaerg.pl|00301	5.4.2.7
metaerg.pl|00302	2.4.2.1
metaerg.pl|00303	4.1.1.20
metaerg.pl|00304	2.3.1.-
metaerg.pl|00307	5.4.99.22
metaerg.pl|00307	5.4.99.-
metaerg.pl|00309	2.7.13.3
metaerg.pl|00315	3.6.4.12
metaerg.pl|00318	2.7.4.25
metaerg.pl|00318	2.7.4.14
metaerg.pl|00322	6.3.1.2
metaerg.pl|00323	6.3.1.2
metaerg.pl|00331	2.3.1.180
metaerg.pl|00333	1.13.12.-
metaerg.pl|00333	1.3.1.-
metaerg.pl|00334	2.3.1.39
metaerg.pl|00335	1.1.1.100
metaerg.pl|00336	2.3.1.179
metaerg.pl|00338	4.2.1.59
metaerg.pl|00338	4.2.1.-
metaerg.pl|00339	6.3.4.14
metaerg.pl|00340	2.1.3.15
metaerg.pl|00340	6.4.1.2
metaerg.pl|00341	2.1.3.15
metaerg.pl|00341	6.4.1.2
metaerg.pl|00343	5.2.1.8
metaerg.pl|00347	3.6.5.-
metaerg.pl|00348	3.1.26.11
metaerg.pl|00349	1.-.-.-
metaerg.pl|00353	3.1.-.-
metaerg.pl|00354	2.4.2.7
metaerg.pl|00355	3.4.21.88
metaerg.pl|00357	2.2.1.1
metaerg.pl|00360	3.6.3.-
metaerg.pl|00364	2.3.1.n4
metaerg.pl|00367	2.7.4.22
metaerg.pl|00369	2.5.1.-
metaerg.pl|00369	2.5.1.31
metaerg.pl|00370	2.7.7.41
metaerg.pl|00372	3.4.24.-
metaerg.pl|00374	6.1.1.15
metaerg.pl|00375	2.7.7.7
metaerg.pl|00382	5.4.99.25
metaerg.pl|00383	2.7.1.26
metaerg.pl|00383	2.7.7.2
metaerg.pl|00383	2.7.1.26 2.7.7.2
metaerg.pl|00388	3.6.5.n1
metaerg.pl|00388	3.6.5.-
metaerg.pl|00392	3.2.2.-
metaerg.pl|00394	2.1.1.-
metaerg.pl|00395	4.1.2.4
metaerg.pl|00396	2.7.6.5
metaerg.pl|00397	3.1.1.96
metaerg.pl|00397	3.6.1.-
metaerg.pl|00398	3.5.1.28
metaerg.pl|00401	6.1.1.21
metaerg.pl|00402	6.1.1.12
metaerg.pl|00402	6.1.1.-
metaerg.pl|00403	3.1.21.2
metaerg.pl|00404	5.1.99.6
metaerg.pl|00475	3.1.22.4
metaerg.pl|00485	2.7.1.21
metaerg.pl|00527	1.17.4.2
metaerg.pl|00531	2.7.7.7
metaerg.pl|00558	3.6.1.23
metaerg.pl|00564	1.8.1.9
metaerg.pl|00567	3.6.4.12
metaerg.pl|00621	2.5.1.17
metaerg.pl|00641	3.2.2.-
metaerg.pl|00713	5.6.2.2
metaerg.pl|00713	5.99.1.2
metaerg.pl|00715	3.4.25.2
metaerg.pl|00720	2.7.4.22
metaerg.pl|00722	2.5.1.-
metaerg.pl|00722	2.5.1.31
metaerg.pl|00723	2.7.7.41
metaerg.pl|00725	1.1.1.267
metaerg.pl|00726	3.4.24.-
metaerg.pl|00728	6.1.1.15
metaerg.pl|00729	2.7.7.7
metaerg.pl|00738	5.4.99.25
metaerg.pl|00739	2.7.1.26
metaerg.pl|00739	2.7.7.2
metaerg.pl|00739	2.7.1.26 2.7.7.2
metaerg.pl|00741	2.7.7.8
metaerg.pl|00742	3.4.24.-
metaerg.pl|00743	1.2.1.11
metaerg.pl|00744	2.7.2.4
metaerg.pl|00745	4.3.3.7
metaerg.pl|00746	3.1.-.-
metaerg.pl|00751	3.4.24.-
metaerg.pl|00752	1.-.-.-
metaerg.pl|00757	2.7.8.5
metaerg.pl|00759	3.5.-.-
metaerg.pl|00760	3.6.4.13
metaerg.pl|00762	3.1.-.-
metaerg.pl|00764	3.1.4.16
metaerg.pl|00766	1.1.1.103
metaerg.pl|00767	2.3.1.47
metaerg.pl|00768	2.8.4.3
metaerg.pl|00768	2.1.1.- 2.8.1.-
metaerg.pl|00773	2.5.1.75
metaerg.pl|00778	6.3.1.2
metaerg.pl|00780	3.4.21.88
metaerg.pl|00784	2.2.1.1
metaerg.pl|00787	2.5.1.-
metaerg.pl|00787	2.9.1.-
metaerg.pl|00788	7.6.2.2
metaerg.pl|00798	2.7.9.3
metaerg.pl|00799	2.9.1.1
metaerg.pl|00800	4.2.1.-
metaerg.pl|00800	4.2.1.3
metaerg.pl|00806	3.1.2.-
metaerg.pl|00808	6.3.1.5
metaerg.pl|00819	3.1.3.-
metaerg.pl|00819	5.2.1.8
metaerg.pl|00825	3.5.1.124
metaerg.pl|00829	3.5.1.-
metaerg.pl|00830	3.6.4.-
metaerg.pl|00833	2.7.7.7
metaerg.pl|00837	2.1.1.-
metaerg.pl|00838	4.1.99.22
metaerg.pl|00840	3.4.17.19
metaerg.pl|00841	7.6.2.9
metaerg.pl|00846	5.6.2.3
metaerg.pl|00846	5.99.1.-
metaerg.pl|00847	5.6.2.3
metaerg.pl|00847	5.99.1.-
metaerg.pl|00849	1.5.1.36
metaerg.pl|00852	3.1.3.104
metaerg.pl|00861	1.-.-.-
metaerg.pl|00866	5.6.2.2
metaerg.pl|00866	5.99.1.2
metaerg.pl|00868	4.3.1.19
metaerg.pl|00869	2.7.7.7
metaerg.pl|00875	2.3.-.-
metaerg.pl|00881	2.7.2.11
metaerg.pl|00882	1.2.1.41
metaerg.pl|00889	3.1.11.-
metaerg.pl|00892	2.6.1.42
metaerg.pl|00893	4.3.2.1
metaerg.pl|00894	6.3.4.5
metaerg.pl|00895	2.1.3.3
metaerg.pl|00896	6.3.5.5
metaerg.pl|00897	6.3.5.5
metaerg.pl|00898	2.6.1.11
metaerg.pl|00899	2.7.2.8
metaerg.pl|00900	2.3.1.35
metaerg.pl|00900	2.3.1.1
metaerg.pl|00900	2.3.1.35 2.3.1.1
metaerg.pl|00901	1.2.1.38
metaerg.pl|00902	2.7.8.-
metaerg.pl|00905	1.8.4.11
metaerg.pl|00906	1.8.4.11
metaerg.pl|00906	1.8.4.12
metaerg.pl|00906	1.8.4.-
metaerg.pl|00912	2.3.2.-
metaerg.pl|00917	3.1.-.-
metaerg.pl|00917	3.1.-.- 3.6.4.12
metaerg.pl|00918	3.1.-.-
metaerg.pl|00918	3.1.-.- 3.6.4.12
metaerg.pl|00919	1.14.13.-
metaerg.pl|00922	1.-.-.-
metaerg.pl|00924	4.3.3.7
metaerg.pl|00925	3.5.1.47
metaerg.pl|00927	6.1.1.3
metaerg.pl|00931	6.1.1.20
metaerg.pl|00932	6.1.1.20
metaerg.pl|00936	3.5.4.16
metaerg.pl|00941	4.2.2.n1
metaerg.pl|00943	3.1.13.1
metaerg.pl|00944	2.1.1.185
metaerg.pl|00955	5.4.99.22
metaerg.pl|00955	5.4.99.-
metaerg.pl|00962	1.7.1.13
metaerg.pl|00967	6.5.1.2
metaerg.pl|00970	3.6.1.1
