#Gene	Contig	Start	End	Gene_Length	Strand	SP	TM	sprot_id	sprot_desc	Taxonomy
metaerg.pl|00012	NODE_1_length_345883_cov_22.9161	1964	3148	1185	1	No	0	sp|A8FGH7|METK_BACP2	"S-adenosylmethionine synthase"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium olivapovliticus
metaerg.pl|00015	NODE_1_length_345883_cov_22.9161	4393	4980	588	1	No	4	sp|P46322|PGSA_BACSU	"CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium olivapovliticus
metaerg.pl|00017	NODE_1_length_345883_cov_22.9161	5117	6397	1281	1	No	0	sp|A0AIJ9|CINA_LISW6	"Putative competence-damage inducible protein"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium pelagium
metaerg.pl|00018	NODE_1_length_345883_cov_22.9161	6507	7550	1044	1	No	0	sp|Q6KCJ5|RECA_ENTHA	"hypothetical protein"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium thalassium
metaerg.pl|00019	NODE_1_length_345883_cov_22.9161	7795	9357	1563	1	No	1	sp|A0AIK1|RNY_LISW6	"Ribonuclease Y"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium thalassium
metaerg.pl|00021	NODE_1_length_345883_cov_22.9161	9497	10303	807	1	No	0	sp|O31775|YMDB_BACSU	"2',3'-cyclic-nucleotide 2'-phosphodiesterase"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium sp001885615
metaerg.pl|00022	NODE_1_length_345883_cov_22.9161	10334	12943	2610	1	No	0	sp|Q82ZA2|MUTS_ENTFA	"DNA mismatch repair protein MutS"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium olivapovliticus
metaerg.pl|00023	NODE_1_length_345883_cov_22.9161	12964	14856	1893	1	No	0	sp|Q03EQ8|MUTL_PEDPA	"DNA mismatch repair protein MutL"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium olivapovliticus
metaerg.pl|00024	NODE_1_length_345883_cov_22.9161	14870	15304	435	1	No	0	sp|P0DM32|MSRB_ENTFA	"Peptide methionine sulfoxide reductase MsrB"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium olivapovliticus
metaerg.pl|00025	NODE_1_length_345883_cov_22.9161	15402	16016	615	1	No	0	sp|Q38YR0|RUVA_LACSS	"Holliday junction ATP-dependent DNA helicase RuvA"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium olivapovliticus
