#Gene	Contig	Start	End	Gene_Length	Strand	SP	TM	genomedb_acc	Taxonomy
metaerg.pl|00012	NODE_1_length_345883_cov_22.9161	1964	3148	1185	1	No	0	GCF_003003275.1	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium olivapovliticus
metaerg.pl|00013	NODE_1_length_345883_cov_22.9161	3424	4323	900	1	No	1	GCF_900109325.1	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium pelagium
metaerg.pl|00015	NODE_1_length_345883_cov_22.9161	4393	4980	588	1	No	4	GCF_003003275.1	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium olivapovliticus
metaerg.pl|00017	NODE_1_length_345883_cov_22.9161	5117	6397	1281	1	No	0	GCF_900109325.1	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium pelagium
metaerg.pl|00018	NODE_1_length_345883_cov_22.9161	6507	7550	1044	1	No	0	GCF_900101165.1	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium thalassium
metaerg.pl|00019	NODE_1_length_345883_cov_22.9161	7795	9357	1563	1	No	1	GCF_900101165.1	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium thalassium
metaerg.pl|00021	NODE_1_length_345883_cov_22.9161	9497	10303	807	1	No	0	GCF_001885615.1	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium sp001885615
metaerg.pl|00022	NODE_1_length_345883_cov_22.9161	10334	12943	2610	1	No	0	GCF_003003275.1	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium olivapovliticus
metaerg.pl|00023	NODE_1_length_345883_cov_22.9161	12964	14856	1893	1	No	0	GCF_003003275.1	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium olivapovliticus
metaerg.pl|00024	NODE_1_length_345883_cov_22.9161	14870	15304	435	1	No	0	GCF_003003275.1	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium olivapovliticus
metaerg.pl|00025	NODE_1_length_345883_cov_22.9161	15402	16016	615	1	No	0	GCF_003003275.1	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium olivapovliticus
metaerg.pl|00026	NODE_1_length_345883_cov_22.9161	16056	17069	1014	1	No	0	GCF_003003275.1	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium olivapovliticus
metaerg.pl|00027	NODE_1_length_345883_cov_22.9161	17083	18123	1041	1	No	0	GCF_900109325.1	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium pelagium
metaerg.pl|00028	NODE_1_length_345883_cov_22.9161	18141	19286	1146	1	No	0	GCF_003003275.1	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium olivapovliticus
metaerg.pl|00029	NODE_1_length_345883_cov_22.9161	19437	19772	336	1	YES	1	GCF_900109325.1	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium pelagium
metaerg.pl|00032	NODE_1_length_345883_cov_22.9161	19824	20108	285	1	No	0	GCF_900109085.1	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium gilvum
metaerg.pl|00033	NODE_1_length_345883_cov_22.9161	20260	21414	1155	1	No	0	GCF_003003275.1	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium olivapovliticus
