#Gene	Contig	Start	End	Gene_Length	Strand	Feature	Taxonomy
metaerg.pl|04255	NODE_23_length_110672_cov_25.9406	110568	110671	104	-1	bac_5SrRNA	unknown
metaerg.pl|12874	NODE_278_length_54558_cov_93.7421	1	758	758	-1	bac_16SrRNA	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Roseinatronobacter
metaerg.pl|12952	NODE_298_length_53607_cov_46.7431	1	304	304	-1	bac_16SrRNA	Bacteria;Cyanobacteria;Oxyphotobacteria;Nostocales;Nostocaceae;Nodularia PCC-9350
metaerg.pl|13019	NODE_396_length_47810_cov_9.34581	1	326	326	-1	bac_16SrRNA	Bacteria;Cyanobacteria;Oxyphotobacteria;Phormidesmiales;Nodosilineaceae;Nodosilinea PCC-7104
metaerg.pl|13120	NODE_628_length_39243_cov_20.7514	38486	39243	758	1	bac_16SrRNA	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Roseinatronobacter
metaerg.pl|13121	NODE_1188_length_30529_cov_9.36119	1	318	318	-1	bac_16SrRNA	Bacteria;Cyanobacteria;Oxyphotobacteria;Nostocales
metaerg.pl|13199	NODE_1195_length_30458_cov_17.1381	30213	30326	114	-1	bac_5SrRNA	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales
metaerg.pl|13200	NODE_1860_length_24588_cov_17.6553	166	273	108	1	bac_5SrRNA	unknown
metaerg.pl|13233	NODE_1894_length_24309_cov_76.6133	21	1524	1504	1	bac_23SrRNA	unknown
metaerg.pl|13234	NODE_1894_length_24309_cov_76.6133	1726	2694	969	1	bac_23SrRNA	unknown
metaerg.pl|13249	NODE_1894_length_24309_cov_76.6133	7575	8430	856	1	bac_16SrRNA	unknown
metaerg.pl|13295	NODE_2264_length_22430_cov_55.3873	22072	22429	358	1	bac_16SrRNA	Bacteria;Actinobacteria;Nitriliruptoria;Nitriliruptorales;Nitriliruptoraceae
metaerg.pl|13296	NODE_2993_length_19396_cov_43.0945	2	1090	1089	1	bac_23SrRNA	Bacteria;Proteobacteria;Gammaproteobacteria;Ectothiorhodospirales;Ectothiorhodospiraceae;Thioalkalivibrio
metaerg.pl|13297	NODE_2993_length_19396_cov_43.0945	1195	1308	114	1	bac_5SrRNA	unknown
metaerg.pl|13346	NODE_3798_length_17023_cov_12.0159	1	929	929	1	bac_23SrRNA	Bacteria;Patescibacteria;Parcubacteria;OLB19
metaerg.pl|13348	NODE_3798_length_17023_cov_12.0159	1262	1360	99	1	bac_5SrRNA	unknown
metaerg.pl|13400	NODE_4613_length_15247_cov_53.4285	15004	15119	116	-1	bac_5SrRNA	unknown
metaerg.pl|13417	NODE_5065_length_14422_cov_37.977	250	359	110	-1	bac_5SrRNA	Bacteria;Firmicutes;Negativicutes
metaerg.pl|13445	NODE_5401_length_13876_cov_89.7481	4379	5628	1250	1	bac_23SrRNA	unknown
metaerg.pl|13446	NODE_5401_length_13876_cov_89.7481	5728	7327	1600	1	bac_23SrRNA	unknown
metaerg.pl|13485	NODE_5721_length_13422_cov_7.02155	12973	13421	449	1	bac_23SrRNA	Bacteria;Gemmatimonadetes
metaerg.pl|13486	NODE_5836_length_13249_cov_52.6354	1	758	758	-1	bac_16SrRNA	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Roseinatronobacter
metaerg.pl|13504	NODE_6140_length_12811_cov_61.2677	1	99	99	1	bac_5SrRNA	unknown
metaerg.pl|13546	NODE_6587_length_12261_cov_6.09495	11385	12261	877	1	arc_16SrRNA	Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Haloferacaceae;uncultured
