#Gene	pfamid	SP	TM	Start	End	Length	Strand	Contig	Source	pfam_desc	Taxonomy
demo|00001	PF12770.7;	YES	1	178	2730	2553	-1	bin00.contig0000	Prodigal_v2.6.3	"CHAT domain";	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Geitlerinemaceae;g__Phormidium_A;s__Phormidium_A willei
demo|00004	PF05226.11;PF02518.26;PF00512.25;PF00072.24;	No	2	2730	5558	2829	-1	bin00.contig0000	Prodigal_v2.6.3	"CHASE2 domain";"Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase";"His Kinase A (phospho-acceptor) domain";"Response regulator receiver domain";	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Geitlerinemaceae;g__Phormidium_A;s__Phormidium_A willei
demo|00006	PF06051.12;	No	1	5555	6316	762	-1	bin00.contig0000	Prodigal_v2.6.3	"Domain of Unknown Function (DUF928)";	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Geitlerinemaceae;g__Phormidium_A;
demo|00008	PF01968.18;PF02538.14;PF05378.13;	No	0	6646	10323	3678	1	bin00.contig0000	Prodigal_v2.6.3	"Hydantoinase/oxoprolinase";"Hydantoinase B/oxoprolinase";"Hydantoinase/oxoprolinase N-terminal region";	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Geitlerinemaceae;g__Phormidium_A;
demo|00009	PF07466.11;	No	1	10500	11801	1302	1	bin00.contig0000	Prodigal_v2.6.3	"Protein of unknown function (DUF1517)";	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Geitlerinemaceae;g__Phormidium_A;s__Phormidium_A willei
demo|00011	PF00487.24;	No	3	12124	13155	1032	1	bin00.contig0000	Prodigal_v2.6.3	"Fatty acid desaturase";	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Geitlerinemaceae;g__Phormidium_A;
demo|00013	PF14218.6;	No	0	13375	13896	522	1	bin00.contig0000	Prodigal_v2.6.3	"Circadian oscillating protein COP23";	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Geitlerinemaceae;g__Phormidium_A;s__Phormidium_A willei
demo|00014	PF00089.26;	No	0	14023	14949	927	1	bin00.contig0000	Prodigal_v2.6.3	"Trypsin";	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Geitlerinemaceae;g__Phormidium_A;s__Phormidium_A willei
demo|00015	PF04966.12;PF00395.20;	No	0	15020	16579	1560	1	bin00.contig0000	Prodigal_v2.6.3	"Carbohydrate-selective porin, OprB family";"S-layer homology domain";	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Geitlerinemaceae;g__Phormidium_A;s__Phormidium_A willei
demo|00016	PF00188.26;	No	0	16606	17127	522	1	bin00.contig0000	Prodigal_v2.6.3	"Cysteine-rich secretory protein family";	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Geitlerinemaceae;g__Phormidium_A;
demo|00017	PF03062.19;	No	9	17231	18751	1521	1	bin00.contig0000	Prodigal_v2.6.3	"MBOAT, membrane-bound O-acyltransferase family";	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Geitlerinemaceae;g__Phormidium_A;
demo|00019	PF00072.24;	No	0	18901	19266	366	1	bin00.contig0000	Prodigal_v2.6.3	"Response regulator receiver domain";	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Geitlerinemaceae;g__Phormidium_A;s__Phormidium_A willei
demo|00020	PF01584.19;PF02518.26;PF01627.23;PF00072.24;	No	0	19427	23227	3801	-1	bin00.contig0000	Prodigal_v2.6.3	"CheW-like domain";"Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase";"Hpt domain";"Response regulator receiver domain";	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Geitlerinemaceae;g__Phormidium_A;
demo|00021	PF01590.26;PF01590.26;	No	0	23335	26901	3567	-1	bin00.contig0000	Prodigal_v2.6.3	"GAF domain";"Methyl-accepting chemotaxis protein (MCP) signalling domain";	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Geitlerinemaceae;g__Phormidium_A;s__Phormidium_A willei
demo|00022	PF01584.19;	No	0	27102	27689	588	-1	bin00.contig0000	Prodigal_v2.6.3	"CheW-like domain";	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Geitlerinemaceae;g__Phormidium_A;s__Phormidium_A willei
demo|00023	PF00072.24;	No	0	27801	28166	366	-1	bin00.contig0000	Prodigal_v2.6.3	"Response regulator receiver domain";	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Geitlerinemaceae;g__Phormidium_A;s__Phormidium_A willei
demo|00024	PF00072.24;	No	0	28355	29530	1176	-1	bin00.contig0000	Prodigal_v2.6.3	"Response regulator receiver domain";	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Geitlerinemaceae;g__Phormidium_A;
demo|00026	PF01979.20;	No	0	30020	31342	1323	-1	bin00.contig0000	Prodigal_v2.6.3	"Amidohydrolase family";	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Geitlerinemaceae;g__Phormidium_A;
demo|00027	PF00717.23;	No	0	31469	32038	570	1	bin00.contig0000	Prodigal_v2.6.3	"Peptidase S24-like";	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Geitlerinemaceae;g__Phormidium_A;
demo|00028	PF03739.14;	No	5	32121	33293	1173	1	bin00.contig0000	Prodigal_v2.6.3	"Lipopolysaccharide export system permease LptF/LptG";	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Geitlerinemaceae;g__Phormidium_A;
demo|00030	PF04055.21;	No	0	33606	34379	774	1	bin00.contig0000	Prodigal_v2.6.3	"Radical SAM superfamily";	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Geitlerinemaceae;g__Phormidium_A;
demo|00031	PF00353.19;	No	0	34460	35881	1422	-1	bin00.contig0000	Prodigal_v2.6.3	"RTX calcium-binding nonapeptide repeat (4 copies)";	UNKNOWN
demo|00033	PF06835.13;	No	0	36849	38111	1263	-1	bin00.contig0000	Prodigal_v2.6.3	"Lipopolysaccharide-assembly, LptC-related";	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Geitlerinemaceae;g__Phormidium_A;
demo|00034	PF01936.18;	No	0	38134	38751	618	-1	bin00.contig0000	Prodigal_v2.6.3	"NYN domain";	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Geitlerinemaceae;g__Phormidium_A;
demo|00035	PF00133.22;	No	0	38964	40562	1599	-1	bin00.contig0000	Prodigal_v2.6.3	"tRNA synthetases class I (I, L, M and V)";	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Geitlerinemaceae;g__Phormidium_A;
demo|00036	PF01553.21;	No	0	40793	41524	732	1	bin00.contig0000	Prodigal_v2.6.3	"Acyltransferase";	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Geitlerinemaceae;g__Phormidium_A;
demo|00037	PF12697.7;	No	0	41524	42306	783	1	bin00.contig0000	Prodigal_v2.6.3	"Alpha/beta hydrolase family";	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Geitlerinemaceae;g__Phormidium_A;
demo|00038	PF01791.9;	No	0	42381	43061	681	1	bin00.contig0000	Prodigal_v2.6.3	"DeoC/LacD family aldolase";	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Geitlerinemaceae;g__Phormidium_A;
demo|00039	PF02565.15;PF11967.8;	No	0	43174	44073	900	1	bin00.contig0000	Prodigal_v2.6.3	"Recombination protein O C terminal";"Recombination protein O N terminal";	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Geitlerinemaceae;g__Phormidium_A;
demo|00040	PF07690.16;	No	10	44161	45531	1371	1	bin00.contig0000	Prodigal_v2.6.3	"Major Facilitator Superfamily";	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Geitlerinemaceae;g__Phormidium_A;
demo|00042	PF00534.20;PF13439.6;	No	0	45673	46869	1197	1	bin00.contig0000	Prodigal_v2.6.3	"Glycosyl transferases group 1";"Glycosyltransferase Family 4";	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Geitlerinemaceae;g__Phormidium_A;
demo|00045	PF17876.1;PF08206.11;PF00773.19;PF00575.23;	No	0	48278	50566	2289	1	bin00.contig0000	Prodigal_v2.6.3	"Cold shock domain";"Ribonuclease B OB domain";"RNB domain";"S1 RNA binding domain";	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Geitlerinemaceae;g__Phormidium_A;
demo|00046	PF02441.19;	No	1	50538	51449	912	1	bin00.contig0000	Prodigal_v2.6.3	"Flavoprotein";	UNKNOWN
