#Gene	Contig	Start	End	Gene_Length	Strand	SP	TM	tigrfam_acc	tigrfam_desc	Taxonomy
metaerg.pl|00012	NODE_1_length_345883_cov_22.9161	1964	3148	1185	1	No	0	TIGR01034	"methionine adenosyltransferase"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium olivapovliticus
metaerg.pl|00015	NODE_1_length_345883_cov_22.9161	4393	4980	588	1	No	4	TIGR00560	"CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium olivapovliticus
metaerg.pl|00017	NODE_1_length_345883_cov_22.9161	5117	6397	1281	1	No	0	TIGR00177	"molybdenum cofactor synthesis domain"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium pelagium
metaerg.pl|00017	NODE_1_length_345883_cov_22.9161	5117	6397	1281	1	No	0	TIGR00199	"amidohydrolase, PncC family"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium pelagium
metaerg.pl|00017	NODE_1_length_345883_cov_22.9161	5117	6397	1281	1	No	0	TIGR00200	"competence/damage-inducible protein CinA N-terminal domain"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium pelagium
metaerg.pl|00018	NODE_1_length_345883_cov_22.9161	6507	7550	1044	1	No	0	TIGR02012	"protein RecA"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium thalassium
metaerg.pl|00019	NODE_1_length_345883_cov_22.9161	7795	9357	1563	1	No	1	TIGR00277	"HDIG domain"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium thalassium
metaerg.pl|00019	NODE_1_length_345883_cov_22.9161	7795	9357	1563	1	No	1	TIGR03319	"ribonuclease Y"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium thalassium
metaerg.pl|00021	NODE_1_length_345883_cov_22.9161	9497	10303	807	1	No	0	TIGR00282	"metallophosphoesterase, MG_246/BB_0505 family"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium sp001885615
metaerg.pl|00022	NODE_1_length_345883_cov_22.9161	10334	12943	2610	1	No	0	TIGR01070	"DNA mismatch repair protein MutS"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium olivapovliticus
metaerg.pl|00023	NODE_1_length_345883_cov_22.9161	12964	14856	1893	1	No	0	TIGR00585	"DNA mismatch repair protein MutL"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium olivapovliticus
metaerg.pl|00024	NODE_1_length_345883_cov_22.9161	14870	15304	435	1	No	0	TIGR00357	"methionine-R-sulfoxide reductase"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium olivapovliticus
metaerg.pl|00025	NODE_1_length_345883_cov_22.9161	15402	16016	615	1	No	0	TIGR00084	"Holliday junction DNA helicase RuvA"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium olivapovliticus
metaerg.pl|00026	NODE_1_length_345883_cov_22.9161	16056	17069	1014	1	No	0	TIGR00635	"Holliday junction DNA helicase RuvB"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium olivapovliticus
metaerg.pl|00027	NODE_1_length_345883_cov_22.9161	17083	18123	1041	1	No	0	TIGR00113	"S-adenosylmethionine:tRNA ribosyltransferase-isomerase"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium pelagium
metaerg.pl|00028	NODE_1_length_345883_cov_22.9161	18141	19286	1146	1	No	0	TIGR00430	"tRNA-guanine transglycosylase"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium olivapovliticus
