#Gene	Contig	Start	End	Gene_Length	Strand	SP	TM	casgene_name	casgene_acc	Taxonomy
metaerg.pl|00019	NODE_1_length_345883_cov_22.9161	7795	9357	1563	1	No	1	cas3HD	"cd09641_cas3HD_CAS-I"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium thalassium
metaerg.pl|00034	NODE_1_length_345883_cov_22.9161	21404	22708	1305	1	No	0	casR	"cd09655_casR_CAS-I"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium olivapovliticus
metaerg.pl|00034	NODE_1_length_345883_cov_22.9161	21404	22708	1305	1	No	0	casR	"cls001593_casR_CAS-I"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium olivapovliticus
metaerg.pl|00277	NODE_1_length_345883_cov_22.9161	225740	227782	2043	1	No	0	cas3	"cd09639_cas3_CAS-I"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium olivapovliticus
metaerg.pl|00375	NODE_1_length_345883_cov_22.9161	312207	316538	4332	1	No	0	DEDDh	"cd06127_DEDDh_CAS-I"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium olivapovliticus
metaerg.pl|00563	NODE_2_length_224354_cov_20.305	139918	140508	591	-1	No	0	DEDDh	"cd06127_DEDDh_CAS-I"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae_G;g__Bacillus_A;s__Bacillus_A cereus_O
metaerg.pl|00729	NODE_3_length_206448_cov_46.9221	15819	20120	4302	1	No	0	DEDDh	"cd06127_DEDDh_CAS-I"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Salisediminibacteriaceae;g__Alkalicoccus;s__Alkalicoccus saliphilus
metaerg.pl|00760	NODE_3_length_206448_cov_46.9221	47974	49566	1593	1	No	0	cas3	"cd09639_cas3_CAS-I"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Salisediminibacteriaceae;g__Alkalicoccus;s__Alkalicoccus saliphilus
metaerg.pl|00830	NODE_3_length_206448_cov_46.9221	109549	111834	2286	1	No	0	cas3	"cd09639_cas3_CAS-I"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Salisediminibacteriaceae;g__Alkalicoccus;s__Alkalicoccus saliphilus
metaerg.pl|00830	NODE_3_length_206448_cov_46.9221	109549	111834	2286	1	No	0	cas3	"cd09710_cas3_CAS-I-D"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Salisediminibacteriaceae;g__Alkalicoccus;s__Alkalicoccus saliphilus
metaerg.pl|00830	NODE_3_length_206448_cov_46.9221	109549	111834	2286	1	No	0	cas3	"mkCas0139_cas3_CAS-I"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Salisediminibacteriaceae;g__Alkalicoccus;s__Alkalicoccus saliphilus
metaerg.pl|00833	NODE_3_length_206448_cov_46.9221	114930	115670	741	1	No	0	DEDDh	"cd06127_DEDDh_CAS-I"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Salisediminibacteriaceae;g__Alkalicoccus;s__Alkalicoccus saliphilus
metaerg.pl|00869	NODE_3_length_206448_cov_46.9221	147826	148545	720	-1	No	0	DEDDh	"cd06127_DEDDh_CAS-I"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Salisediminibacteriaceae;g__Alkalicoccus;s__Alkalicoccus saliphilus
metaerg.pl|01150	NODE_4_length_188394_cov_35.2671	178509	181571	3063	-1	No	0	cas3	"cd09639_cas3_CAS-I"	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Wenzhouxiangellaceae;g__Wenzhouxiangella;s__Wenzhouxiangella marina
metaerg.pl|01238	NODE_5_length_167708_cov_10.8636	53684	54595	912	-1	No	0	cas4	"cd09637_cas4_CAS-I:CAS-II:CAS-V"	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__UBA5794;f__UBA5794;g__UBA6912;s__UBA6912 sp002450985
metaerg.pl|02092	NODE_9_length_146778_cov_15.8091	57327	58040	714	-1	No	0	DEDDh	"cd06127_DEDDh_CAS-I"	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Pararhodobacter;s__Pararhodobacter sp001314715
metaerg.pl|02123	NODE_9_length_146778_cov_15.8091	92140	92508	369	-1	No	0	csa3	"COG0640_csa3_CAS-I-A"	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Mangrovicoccus;s__Mangrovicoccus sp003254465
metaerg.pl|02292	NODE_10_length_136080_cov_23.017	82952	85117	2166	-1	No	0	cas3	"cd09639_cas3_CAS-I"	d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__SG8-23;f__UBA6960;g__SZUA-318;s__SZUA-318 sp003248075
metaerg.pl|03354	NODE_17_length_116352_cov_46.5074	52216	52488	273	-1	No	0	cas2	"cd09638_cas2_CAS-I:CAS-II:CAS-III"	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Nostocaceae;g__Nodularia;s__Nodularia sp002218065
metaerg.pl|03354	NODE_17_length_116352_cov_46.5074	52216	52488	273	-1	No	0	cas2	"cd09725_cas2_CAS-I:CAS-II:CAS-III:CAS-V"	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Nostocaceae;g__Nodularia;s__Nodularia sp002218065
metaerg.pl|03354	NODE_17_length_116352_cov_46.5074	52216	52488	273	-1	No	0	cas2	"COG1343_cas2_CAS-I:CAS-II:CAS-III"	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Nostocaceae;g__Nodularia;s__Nodularia sp002218065
metaerg.pl|03354	NODE_17_length_116352_cov_46.5074	52216	52488	273	-1	No	0	cas2	"mkCas0081_cas2_CAS-I:CAS-II:CAS-III"	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Nostocaceae;g__Nodularia;s__Nodularia sp002218065
metaerg.pl|03354	NODE_17_length_116352_cov_46.5074	52216	52488	273	-1	No	0	cas2	"mkCas0128_cas2_CAS-I:CAS-II:CAS-III"	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Nostocaceae;g__Nodularia;s__Nodularia sp002218065
metaerg.pl|03354	NODE_17_length_116352_cov_46.5074	52216	52488	273	-1	No	0	cas2	"pfam09827_cas2_CAS-I:CAS-II:CAS-III"	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Nostocaceae;g__Nodularia;s__Nodularia sp002218065
metaerg.pl|03355	NODE_17_length_116352_cov_46.5074	52500	53501	1002	-1	No	0	cas1	"cd09634_cas1_CAS-I:CAS-II:CAS-III:CAS-V"	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Nostocaceae;g__Nodularia;s__Nodularia sp002218065
metaerg.pl|03355	NODE_17_length_116352_cov_46.5074	52500	53501	1002	-1	No	0	cas1	"cd09636_cas1_CAS-I:CAS-II:CAS-III"	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Nostocaceae;g__Nodularia;s__Nodularia sp002218065
metaerg.pl|03355	NODE_17_length_116352_cov_46.5074	52500	53501	1002	-1	No	0	cas1	"cd09720_cas1_CAS-II-A:CAS-II-B:CAS-II-C"	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Nostocaceae;g__Nodularia;s__Nodularia sp002218065
metaerg.pl|03355	NODE_17_length_116352_cov_46.5074	52500	53501	1002	-1	No	0	cas1	"cd09721_cas1_CAS-I-C"	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Nostocaceae;g__Nodularia;s__Nodularia sp002218065
