#accession	name	isology	mainrole	subrole	count	count_pct	abundance	abundance_pct	depth_M1	depth_pct_M1	depth_M2	depth_pct_M2	depth_M3	depth_pct_M3	depth_M4	depth_pct_M4	plevel_pct_P1	plevel_pct_P2	plevel_pct_P3	plevel_pct_P4	description
TIGR00001	rpmI_bact	equivalog	Protein synthesis	Ribosomal proteins synthesis and modification	1	0.02	6688.88	0.02	1580.85	0.02	2053.26	0.02	1101.21	0.02	1953.55	0.02	0	0	0	0	ribosomal protein bL35
TIGR00002	S16	equivalog	Protein synthesis	Ribosomal proteins synthesis and modification	1	0.02	6616.09	0.02	1552.70	0.02	2033.61	0.02	1084.75	0.02	1945.02	0.02	0	0	0	0	ribosomal protein bS16
TIGR00004	TIGR00004	subfamily	Cellular processes	Other	1	0.02	6439.65	0.02	1511.91	0.02	1994.19	0.02	1020.06	0.02	1913.49	0.02	0.01	0.01	0.02	0.02	reactive intermediate/imine deaminase
TIGR00005	rluA_subfam	subfamily	Protein synthesis	tRNA and rRNA base modification	1	0.02	6998.30	0.02	1655.34	0.03	2103.77	0.02	1209.87	0.03	2029.32	0.02	0.00	0.00	0.00	0	pseudouridine synthase, RluA family
TIGR00006	TIGR00006	equivalog	Protein synthesis	tRNA and rRNA base modification	1	0.02	6491.86	0.02	1532.70	0.02	1959.32	0.02	1108.61	0.02	1891.23	0.02	0	0	0	0	16S rRNA (cytosine(1402)-N(4))-methyltransferase
TIGR00007	TIGR00007	equivalog	Amino acid biosynthesis	Histidine family	1	0.02	6281.03	0.02	1447.63	0.02	1895.02	0.02	1078.76	0.02	1859.62	0.02	0	0	0	0	1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino]imidazole-4-carboxamide isomerase
TIGR00008	infA	equivalog	Protein synthesis	Translation factors	1	0.02	6830.40	0.02	1607.22	0.02	2078.16	0.02	1157.84	0.03	1987.17	0.02	0.21	0.17	0.08	0.19	translation initiation factor IF-1
TIGR00009	L28	equivalog	Protein synthesis	Ribosomal proteins synthesis and modification	1	0.02	6770.44	0.02	1616.50	0.02	2047.11	0.02	1118.28	0.02	1988.54	0.02	0	0.00	0	0.00	ribosomal protein bL28
TIGR00010	TIGR00010	subfamily	Unknown function	Enzymes of unknown specificity	1	0.02	6506.78	0.02	1539.12	0.02	1976.83	0.02	1067.43	0.02	1923.40	0.02	0	0	0	0	hydrolase, TatD family
TIGR00012	L29	equivalog	Protein synthesis	Ribosomal proteins synthesis and modification	1	0.02	6830.40	0.02	1607.22	0.02	2078.16	0.02	1157.84	0.03	1987.17	0.02	0	0	0	0	ribosomal protein uL29
TIGR00016	ackA	equivalog	Energy metabolism	Fermentation	1	0.02	6547.24	0.02	1546.76	0.02	1983.14	0.02	1088.70	0.02	1928.63	0.02	0	0	0	0	acetate kinase
TIGR00017	cmk	equivalog	Purines, pyrimidines, nucleosides, and nucleotides	Nucleotide and nucleoside interconversions	1	0.02	6744.42	0.02	1611.19	0.02	1950.91	0.02	1224.82	0.03	1957.50	0.02	0	0	0	0	cytidylate kinase
TIGR00018	panC	equivalog	Biosynthesis of cofactors, prosthetic groups, and carriers	Pantothenate and coenzyme A	1	0.02	6744.42	0.02	1611.19	0.02	1950.91	0.02	1224.82	0.03	1957.50	0.02	0	0	0	0	pantoate--beta-alanine ligase
TIGR00019	prfA	equivalog	Protein synthesis	Translation factors	1	0.02	6830.40	0.02	1607.22	0.02	2078.16	0.02	1157.84	0.03	1987.17	0.02	0.05	0.06	0.14	0.07	peptide chain release factor 1
TIGR00020	prfB	equivalog	Protein synthesis	Translation factors	1	0.02	6489.20	0.02	1530.35	0.02	2039.25	0.02	993.13	0.02	1926.47	0.02	0	0	0	0	peptide chain release factor 2
TIGR00021	rpiA	equivalog	Energy metabolism	Pentose phosphate pathway	1	0.02	6467.38	0.02	1525.95	0.02	2000.80	0.02	1031.52	0.02	1909.11	0.02	0.00	0.00	0.00	0.00	ribose 5-phosphate isomerase A
TIGR00023	TIGR00023	equivalog	Fatty acid and phospholipid metabolism	Biosynthesis	1	0.02	6335.54	0.02	1484.31	0.02	1933.18	0.02	1041.26	0.02	1876.79	0.02	0	0	0	0	acyl-phosphate glycerol 3-phosphate acyltransferase
TIGR00029	S20	equivalog	Protein synthesis	Ribosomal proteins synthesis and modification	1	0.02	6506.78	0.02	1539.12	0.02	1976.83	0.02	1067.43	0.02	1923.40	0.02	0	0	0	0	ribosomal protein bS20
TIGR00030	S21p	equivalog	Protein synthesis	Ribosomal proteins synthesis and modification	2	0.05	13251.20	0.05	3150.31	0.05	3927.74	0.05	2292.25	0.05	3880.90	0.05	0	0	0	0	ribosomal protein bS21
TIGR00032	argG	equivalog	Amino acid biosynthesis	Glutamate family	1	0.02	6541.96	0.02	1539.11	0.02	2045.73	0.02	1006.63	0.02	1950.49	0.02	0.00	0	0	0	argininosuccinate synthase
TIGR00033	aroC	equivalog	Amino acid biosynthesis	Aromatic amino acid family	1	0.02	6457.71	0.02	1531.97	0.02	1934.38	0.02	1081.78	0.02	1909.58	0.02	0.06	0.05	0.05	0.05	chorismate synthase
TIGR00034	aroFGH	equivalog	Amino acid biosynthesis	Aromatic amino acid family	1	0.02	6226.02	0.02	1464.95	0.02	1925.15	0.02	983.52	0.02	1852.41	0.02	0	0	0	0	3-deoxy-7-phosphoheptulonate synthase
TIGR00036	dapB	equivalog	Amino acid biosynthesis	Aspartate family	1	0.02	6421.77	0.02	1524.41	0.02	1932.13	0.02	1074.97	0.02	1890.27	0.02	0	0	0	0	4-hydroxy-tetrahydrodipicolinate reductase
TIGR00038	efp	equivalog	Protein synthesis	Translation factors	1	0.02	6709.57	0.02	1582.63	0.02	2022.99	0.02	1139.10	0.02	1964.86	0.02	0	0	0	0	translation elongation factor P
TIGR00041	DTMP_kinase	equivalog	Purines, pyrimidines, nucleosides, and nucleotides	Nucleotide and nucleoside interconversions	1	0.02	6688.88	0.02	1580.85	0.02	2053.26	0.02	1101.21	0.02	1953.55	0.02	0	0	0	0	dTMP kinase
TIGR00042	TIGR00042	equivalog	DNA metabolism	DNA replication, recombination, and repair	1	0.02	6255.38	0.02	1465.78	0.02	1978.07	0.02	940.20	0.02	1871.33	0.02	0	0	0	0	non-canonical purine NTP pyrophosphatase, RdgB/HAM1 family
TIGR00043	TIGR00043	equivalog	Protein synthesis	Other	1	0.02	6465.74	0.02	1520.93	0.02	1957.14	0.02	1065.73	0.02	1921.94	0.02	0	0	0	0	rRNA maturation RNase YbeY
TIGR00044	TIGR00044	hypoth_equivalog	Unknown function	Enzymes of unknown specificity	1	0.02	6528.49	0.02	1535.89	0.02	1999.65	0.02	1072.38	0.02	1920.57	0.02	0.00	0.00	0.00	0.00	pyridoxal phosphate enzyme, YggS family
TIGR00046	TIGR00046	subfamily	Protein synthesis	tRNA and rRNA base modification	1	0.02	6688.88	0.02	1580.85	0.02	2053.26	0.02	1101.21	0.02	1953.55	0.02	0.00	0.00	0	0.00	RNA methyltransferase, RsmE family
TIGR00048	rRNA_mod_RlmN	equivalog	Protein synthesis	tRNA and rRNA base modification	1	0.02	6212.62	0.02	1460.35	0.02	1906.40	0.02	980.73	0.02	1865.14	0.02	0	0	0	0	23S rRNA (adenine(2503)-C(2))-methyltransferase
TIGR00049	TIGR00049	subfamily	Biosynthesis of cofactors, prosthetic groups, and carriers	Other	2	0.05	13239.01	0.05	3143.35	0.05	4010.06	0.05	2176.27	0.05	3909.32	0.05	0	0	0	0	iron-sulfur cluster assembly accessory protein
TIGR00050	rRNA_methyl_1	subfamily	Protein synthesis	tRNA and rRNA base modification	1	0.02	6343.85	0.02	1498.40	0.02	1918.96	0.02	1037.37	0.02	1889.12	0.02	0	0.00	0	0.00	RNA methyltransferase, TrmH family, group 1
TIGR00054	TIGR00054	equivalog	Protein fate	Degradation of proteins, peptides, and glycopeptides	2	0.05	12974.64	0.05	3038.90	0.05	4124.38	0.05	1959.53	0.04	3851.86	0.05	0	0	0	0	RIP metalloprotease RseP
TIGR00055	uppS	equivalog	Cell envelope	Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides	1	0.02	6699.09	0.02	1588.53	0.02	1983.47	0.02	1181.26	0.03	1945.83	0.02	0.00	0.01	0	0.00	di-trans,poly-cis-decaprenylcistransferase
TIGR00056	TIGR00056	subfamily	Hypothetical proteins	Conserved	1	0.02	6433.00	0.02	1512.10	0.02	1951.58	0.02	1077.40	0.02	1891.92	0.02	0	0	0	0	ABC transport permease subunit
TIGR00057	TIGR00057	equivalog	Protein synthesis	tRNA and rRNA base modification	1	0.02	6209.59	0.02	1460.09	0.02	1926.12	0.02	949.72	0.02	1873.66	0.02	0	0	0	0	tRNA threonylcarbamoyl adenosine modification protein, Sua5/YciO/YrdC/YwlC family
TIGR00059	L17	equivalog	Protein synthesis	Ribosomal proteins synthesis and modification	1	0.02	6830.40	0.02	1607.22	0.02	2078.16	0.02	1157.84	0.03	1987.17	0.02	0.06	0.06	0.08	0.07	ribosomal protein bL17
TIGR00060	L18_bact	equivalog	Protein synthesis	Ribosomal proteins synthesis and modification	1	0.02	6830.40	0.02	1607.22	0.02	2078.16	0.02	1157.84	0.03	1987.17	0.02	0.35	0.22	0.14	0.34	ribosomal protein uL18
TIGR00061	L21	equivalog	Protein synthesis	Ribosomal proteins synthesis and modification	1	0.02	6370.02	0.02	1502.65	0.02	1948.84	0.02	1026.18	0.02	1892.35	0.02	0	0	0	0	ribosomal protein bL21
TIGR00062	L27	equivalog	Protein synthesis	Ribosomal proteins synthesis and modification	1	0.02	6370.02	0.02	1502.65	0.02	1948.84	0.02	1026.18	0.02	1892.35	0.02	0	0	0	0	ribosomal protein bL27
TIGR00063	folE	equivalog	Biosynthesis of cofactors, prosthetic groups, and carriers	Folic acid	2	0.05	12822.65	0.05	3012.83	0.05	3878.35	0.05	2169.04	0.05	3762.42	0.05	0	0	0	0	GTP cyclohydrolase I
TIGR00064	ftsY	equivalog	Protein fate	Protein and peptide secretion and trafficking	1	0.02	6541.96	0.02	1539.11	0.02	2045.73	0.02	1006.63	0.02	1950.49	0.02	0	0	0	0	signal recognition particle-docking protein FtsY
TIGR00065	ftsZ	equivalog	Cellular processes	Cell division	1	0.02	6439.65	0.02	1511.91	0.02	1994.19	0.02	1020.06	0.02	1913.49	0.02	0.00	0	0.00	0.00	cell division protein FtsZ
TIGR00066	g_glut_trans	equivalog	Biosynthesis of cofactors, prosthetic groups, and carriers	Glutathione and analogs	1	0.02	6209.59	0.02	1460.09	0.02	1926.12	0.02	949.72	0.02	1873.66	0.02	0.00	0.01	0.00	0.01	gamma-glutamyltransferase
TIGR00067	glut_race	equivalog	Cell envelope	Biosynthesis and degradation of murein sacculus and peptidoglycan	1	0.02	6272.96	0.02	1473.10	0.02	1949.04	0.02	973.35	0.02	1877.47	0.02	0	0	0	0	glutamate racemase
TIGR00068	glyox_I	equivalog	Energy metabolism	Other	1	0.02	6628.93	0.02	1569.83	0.02	2058.29	0.02	1050.75	0.02	1950.07	0.02	0	0	0	0	lactoylglutathione lyase
TIGR00069	hisD	equivalog_domain	Amino acid biosynthesis	Histidine family	1	0.02	6506.78	0.02	1539.12	0.02	1976.83	0.02	1067.43	0.02	1923.40	0.02	0	0	0	0	histidinol dehydrogenase
TIGR00070	hisG	equivalog	Amino acid biosynthesis	Histidine family	1	0.02	6433.00	0.02	1512.10	0.02	1951.58	0.02	1077.40	0.02	1891.92	0.02	0	0	0	0	ATP phosphoribosyltransferase
TIGR00071	hisT_truA	equivalog	Protein synthesis	tRNA and rRNA base modification	1	0.02	6830.40	0.02	1607.22	0.02	2078.16	0.02	1157.84	0.03	1987.17	0.02	0.22	0.20	0.32	0.23	tRNA pseudouridine(38-40) synthase
TIGR00072	hydrog_prot	superfamily	UNKNOWN	UNKNOWN	1	0.02	6203.33	0.02	1458.46	0.02	1873.99	0.02	1053.97	0.02	1816.91	0.02	0	0	0	0	hydrogenase maturation protease
